detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,selected_purity,pair_delta_xy,kinematic_point,incoming_state,initial_component,ensemble_weight,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,weighted_abs2,fraction,decomposition_rank,retained_fraction_total
c_ep_L_proton_region_0,enhanced_cluster,C_e_p,C_{ep},L_proton,enhanced_region_0,0,7.6697584349223432e-04,8.0962257041598429e-01,2.3790547516769580e+00,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,L_p)$","electron h=+1, proton L",5.0000000000000000e-01,5,1,-1,1,1.8248889909781741e+02,-4.5522412594102752e+02,4.9043980581994555e+02,-1.1895341114275853e+00,2.4053120313270591e+05,1.2026560156635295e+05,8.1865851790479249e-01,1,9.9999563321612395e-01
c_ep_L_proton_region_0,enhanced_cluster,C_e_p,C_{ep},L_proton,enhanced_region_0,0,7.6697584349223432e-04,8.0962257041598429e-01,2.3790547516769580e+00,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,L_p)$","electron h=-1, proton L",5.0000000000000000e-01,3,-1,1,1,-5.5233859969023229e+01,-1.3757216202857532e+02,1.4824600855434269e+02,-1.9525866054417218e+00,2.1976879052294247e+04,1.0988439526147124e+04,7.4799273436460478e-02,2,9.9999563321612395e-01
c_ep_L_proton_region_0,enhanced_cluster,C_e_p,C_{ep},L_proton,enhanced_region_0,0,7.6697584349223432e-04,8.0962257041598429e-01,2.3790547516769580e+00,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,L_p)$","electron h=+1, proton L",5.0000000000000000e-01,6,1,1,-1,-5.5226645357519509e+01,1.3757505442570343e+02,1.4824600486245993e+02,1.9525341736115609e+00,2.1976877957680492e+04,1.0988438978840246e+04,7.4799269710894470e-02,3,9.9999563321612395e-01
c_ep_L_proton_region_0,enhanced_cluster,C_e_p,C_{ep},L_proton,enhanced_region_0,0,7.6697584349223432e-04,8.0962257041598429e-01,2.3790547516769580e+00,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,L_p)$","electron h=-1, proton L",5.0000000000000000e-01,1,-1,-1,1,-3.5933836212600923e+01,-8.9632101692305994e+01,9.6566838193729382e+01,-1.9520814647733233e+00,9.3251542387339123e+03,4.6625771193669561e+03,3.1738572163976589e-02,4,9.9999563321612395e-01
c_ep_L_proton_region_1,enhanced_cluster,C_e_p,C_{ep},L_proton,enhanced_region_1,1,4.7480281130490231e-05,9.9995165845778611e-01,3.0483844733968901e+00,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,L_p)$","electron h=+1, proton L",5.0000000000000000e-01,7,1,1,1,1.6870764856094431e-01,3.6163475002042027e+00,3.6202805848326380e+00,1.5241787329331726e+00,1.3106431512916147e+01,6.5532157564580737e+00,9.6495381054728691e-01,1,9.9995816213323607e-01
c_ep_L_proton_region_1,enhanced_cluster,C_e_p,C_{ep},L_proton,enhanced_region_1,1,4.7480281130490231e-05,9.9995165845778611e-01,3.0483844733968901e+00,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,L_p)$","electron h=+1, proton L",5.0000000000000000e-01,6,1,1,-1,-3.2113725856559104e-02,-6.8877671924072847e-01,6.8952495267133840e-01,-1.6173868769633160e+00,4.7544466035641147e-01,2.3772233017820574e-01,3.5004351585949119e-02,2,9.9995816213323607e-01
c_ep_L_proton_region_2,enhanced_cluster,C_e_p,C_{ep},L_proton,enhanced_region_2,2,4.4192441080540967e-05,9.9943874938538046e-01,2.1407035068594427e+00,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,L_p)$","electron h=+1, proton L",5.0000000000000000e-01,7,1,1,1,-5.9856162821001591e-01,1.4851273650727441e+00,1.6012118264781012e+00,1.9539182654281835e+00,2.5638793132533371e+00,1.2819396566266685e+00,8.4591493995359912e-01,1,9.9437570003835152e-01
c_ep_L_proton_region_2,enhanced_cluster,C_e_p,C_{ep},L_proton,enhanced_region_2,2,4.4192441080540967e-05,9.9943874938538046e-01,2.1407035068594427e+00,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,L_p)$","electron h=+1, proton L",5.0000000000000000e-01,5,1,-1,1,2.2441799287526995e-01,-5.5681977704580876e-01,6.0034298499733374e-01,-1.1876761045612914e+00,3.6041169963550890e-01,1.8020584981775445e-01,1.1891263355484671e-01,2,9.9437570003835152e-01
c_ep_L_proton_region_2,enhanced_cluster,C_e_p,C_{ep},L_proton,enhanced_region_2,2,4.4192441080540967e-05,9.9943874938538046e-01,2.1407035068594427e+00,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,L_p)$","electron h=+1, proton L",5.0000000000000000e-01,6,1,1,-1,1.1187285999653915e-01,-2.7756392138521191e-01,2.9926120239439885e-01,-1.1876611716970160e+00,8.9557267258541351e-02,4.4778633629270675e-02,2.9548126529905738e-02,3,9.9437570003835152e-01
c_ep_L_proton_region_3,enhanced_cluster,C_e_p,C_{ep},L_proton,enhanced_region_3,3,4.4192441053741157e-05,9.9943874938538069e-01,2.1407035068594427e+00,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,L_p)$","electron h=+1, proton L",5.0000000000000000e-01,7,1,1,1,-5.9856162821001557e-01,-1.4851273650727437e+00,1.6012118264781008e+00,-1.9539182654281833e+00,2.5638793132533357e+00,1.2819396566266679e+00,8.4591493995359934e-01,1,9.9437570003835174e-01
