detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,pair_delta_xy,kinematic_point,incoming_state,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,fraction
c_ep_Ty_region_3,enhanced_cluster,C_e_p,C_{ep},Ty,enhanced_region_3,3,2.3645617086566378e-01,2.9153450120718105e+00,high_s_high_theta_in_low_Egamma,"$[A(h_e=+1,h_p=+1) + i A(h_e=-1,h_p=+1)]/\sqrt{2}$",1,-1,-1,1,-2.3823111989148521e-02,-2.7064944753251228e-03,2.3976358714210076e-02,-3.0284697417410316e+00,5.7486577719247729e-04,1.4498822362168456e-02
c_ep_low_egamma_region_0,egamma_region_max,C_e_p,C_{ep},double_transverse,low_Egamma_region_0,0,9.6844091833626633e-01,3.1415926535897931e+00,high_s_high_theta_in_low_Egamma,$T_x(h_e) \otimes T_x(h_p)$ coherent incoming state,0,-1,-1,-1,1.1380842696926942e+04,1.5912705505706905e-03,1.1380842696927053e+04,1.3982009882276604e-07,1.2952358049219784e+08,3.1231080749555157e-01
c_ep_low_egamma_region_0,egamma_region_max,C_e_p,C_{ep},double_transverse,low_Egamma_region_0,0,9.6844091833626633e-01,3.1415926535897931e+00,high_s_high_theta_in_low_Egamma,$T_x(h_e) \otimes T_x(h_p)$ coherent incoming state,7,1,1,1,1.1380842696926942e+04,1.5933714760306297e-03,1.1380842696927053e+04,1.4000470074688423e-07,1.2952358049219784e+08,3.1231080749555157e-01
c_ep_low_egamma_region_0,egamma_region_max,C_e_p,C_{ep},double_transverse,low_Egamma_region_0,0,9.6844091833626633e-01,3.1415926535897931e+00,high_s_high_theta_in_low_Egamma,$T_x(h_e) \otimes T_x(h_p)$ coherent incoming state,1,-1,-1,1,8.8226803942810166e+03,1.2743889535230789e-03,8.8226803942811093e+03,1.4444464681607946e-07,7.7839689339632273e+07,1.8768919250443214e-01
c_ep_low_egamma_region_0,egamma_region_max,C_e_p,C_{ep},double_transverse,low_Egamma_region_0,0,9.6844091833626633e-01,3.1415926535897931e+00,high_s_high_theta_in_low_Egamma,$T_x(h_e) \otimes T_x(h_p)$ coherent incoming state,6,1,1,-1,8.8226803942810166e+03,1.2727602635093920e-03,8.8226803942811093e+03,1.4426004418503066e-07,7.7839689339632273e+07,1.8768919250443214e-01
c_ep_low_egamma_region_0,egamma_region_max,C_e_p,C_{ep},double_transverse,low_Egamma_region_0,0,9.6844091833626633e-01,3.1415926535897931e+00,high_s_high_theta_in_low_Egamma,$T_x(h_e) \otimes T_x(h_p)$ coherent incoming state,2,-1,1,-1,3.8970332048886713e-09,2.0350107061891010e-03,2.0350107061928324e-03,1.5707944118009396e+00,4.1412685743194502e-06,9.9855402976569806e-15
c_ep_low_egamma_region_0,egamma_region_max,C_e_p,C_{ep},double_transverse,low_Egamma_region_0,0,9.6844091833626633e-01,3.1415926535897931e+00,high_s_high_theta_in_low_Egamma,$T_x(h_e) \otimes T_x(h_p)$ coherent incoming state,5,1,-1,1,3.8972210344486135e-09,2.0350107061891001e-03,2.0350107061928319e-03,1.5707944117086405e+00,4.1412685743194468e-06,9.9855402976569712e-15
c_ep_low_egamma_region_0,egamma_region_max,C_e_p,C_{ep},double_transverse,low_Egamma_region_0,0,9.6844091833626633e-01,3.1415926535897931e+00,high_s_high_theta_in_low_Egamma,$T_x(h_e) \otimes T_x(h_p)$ coherent incoming state,3,-1,1,1,3.9447392127829550e-09,1.6167574270654593e-03,1.6167574270702716e-03,1.5707938868870002e+00,2.6139045779868849e-06,6.3027183649897459e-15
c_ep_low_egamma_region_0,egamma_region_max,C_e_p,C_{ep},double_transverse,low_Egamma_region_0,0,9.6844091833626633e-01,3.1415926535897931e+00,high_s_high_theta_in_low_Egamma,$T_x(h_e) \otimes T_x(h_p)$ coherent incoming state,4,1,-1,-1,3.9454817172389217e-09,1.6167574270654563e-03,1.6167574270702706e-03,1.5707938864277449e+00,2.6139045779868807e-06,6.3027183649897356e-15
c_ep_low_egamma_region_1,egamma_region_max,C_e_p,C_{ep},double_transverse,low_Egamma_region_1,1,9.6843989911347406e-01,3.1226349647502598e+00,high_s_high_theta_in_low_Egamma,$T_x(h_e) \otimes T_x(h_p)$ coherent incoming state,7,1,1,1,9.3204647412987670e-04,-9.8324324088223711e-02,9.8328741566420894e-02,-1.5613173034989971e+00,9.6685414180359905e-03,3.1231162708598537e-01
c_ep_low_egamma_region_1,egamma_region_max,C_e_p,C_{ep},double_transverse,low_Egamma_region_1,1,9.6843989911347406e-01,3.1226349647502598e+00,high_s_high_theta_in_low_Egamma,$T_x(h_e) \otimes T_x(h_p)$ coherent incoming state,0,-1,-1,-1,9.3201556907410220e-04,9.8324324381177372e-02,9.8328741566420894e-02,1.5613176178164969e+00,9.6685414180359853e-03,3.1231162708598520e-01
c_ep_low_egamma_region_1,egamma_region_max,C_e_p,C_{ep},double_transverse,low_Egamma_region_1,1,9.6843989911347406e-01,3.1226349647502598e+00,high_s_high_theta_in_low_Egamma,$T_x(h_e) \otimes T_x(h_p)$ coherent incoming state,1,-1,-1,1,-7.2281702361288351e-04,-7.6254976367915478e-02,7.6258402063778999e-02,-1.5802749918043635e+00,5.8153438853209734e-03,1.8784627715418742e-01
c_ep_low_egamma_region_1,egamma_region_max,C_e_p,C_{ep},double_transverse,low_Egamma_region_1,1,9.6843989911347406e-01,3.1226349647502598e+00,high_s_high_theta_in_low_Egamma,$T_x(h_e) \otimes T_x(h_p)$ coherent incoming state,6,1,1,-1,-7.2223297941545527e-04,7.6190834860549367e-02,7.6194257901918430e-02,1.5802753061167201e+00,5.8055649372240588e-03,1.8753039918880585e-01
c_ep_low_egamma_region_1,egamma_region_max,C_e_p,C_{ep},double_transverse,low_Egamma_region_1,1,9.6843989911347406e-01,3.1226349647502598e+00,high_s_high_theta_in_low_Egamma,$T_x(h_e) \otimes T_x(h_p)$ coherent incoming state,4,1,-1,-1,3.5604693578642410e-07,-3.8921724659032869e-05,3.8923353142477974e-05,-1.5616488132181048e+00,1.5150274198540500e-09,4.8938165346414334e-08
