selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,size,max_concurrence,best_purity,best_kinematic_point,best_pair_delta_xy,s_min,s_max,theta_in_min,theta_in_max,phi_in_lepton_min,phi_in_lepton_max,qOut_min,qOut_max,phiOut_min,phiOut_max,Q2_min,Q2_max,xB_min,xB_max,t_min,t_max,W2_min,W2_max,y_min,y_max,theta_lepton_gamma_deg_min,theta_lepton_gamma_deg_max,pair_delta_xy_min,pair_delta_xy_max,abs_k_dot_qout_min,abs_k_dot_qout_max,abs_kp_dot_qout_min,abs_kp_dot_qout_max,best_lepton,best_s_regime,best_theta_in_regime,best_qOut_regime,best_lepton_mass,best_s,best_sqrt_s,best_pIn,best_pOut,best_theta_in,best_phi_in_lepton,best_phi_in,best_qOut,best_phiOut,best_Q2,best_xB,best_t,best_W2,best_y,best_theta_lepton_gamma_deg,best_k_dot_qout,best_kp_dot_qout,best_abs_k_dot_qout,best_abs_kp_dot_qout
C_massless_gamma,C_{l_0\gamma},lepton_massless_L_proton_Ty,enhanced_region_0,0,29,2.6524048058350398e-10,1.0000000000000000e+00,high_s_high_theta_in_low_Egamma,7.6642230105823916e-01,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,1.8653206380689404e+00,4.9087385212340520e+00,2.5000000000000000e-01,2.5000000000000000e-01,1.8653206380689396e+00,4.9087385212340520e+00,6.7629333476385348e-04,1.9315366538406327e+01,2.9227382274944644e-04,9.9237432065978914e-01,-1.7144532450825579e+01,-7.5203434823376364e-08,1.0282686301965929e+00,3.1930709101813792e+00,1.1135341797836643e-01,9.4319592792221985e-01,6.3358759095448072e+00,1.6500814417603530e+02,1.1058189561934828e-01,2.8799354084773219e+00,4.8938630925476900e-13,1.0685390297795324e-02,3.0159037972540379e-03,1.0854170437909594e+00,massless,high_s,high_theta_in,low_Egamma,0.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.1915955855647962e+00,1.5707949999999999e+00,4.0251655874119221e+00,8.8357293382212898e-01,2.5000000000000000e-01,4.0251655874119221e+00,2.4935738046869744e+00,5.5014418231352991e-01,-2.2133236212737391e+00,2.9188525343658691e+00,2.1964442426113812e-01,4.3912763175342114e+01,4.8944182040600026e-13,1.4012509170710863e-01,4.8944182040600026e-13,1.4012509170710863e-01
C_massless_gamma,C_{l_0\gamma},lepton_massless_L_proton_Ty,enhanced_region_1,1,22,1.7319654318716270e-10,1.0000000000000000e+00,high_s_high_theta_in_low_Egamma,1.2907544244968481e+00,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,0.0000000000000000e+00,6.1850105367549055e+00,2.5000000000000000e-01,2.5000000000000000e-01,0.0000000000000000e+00,6.1850105367549055e+00,4.7872472040683950e-01,1.9690182787340667e+01,1.7445091418080641e-01,9.9463038846228391e-01,-1.7477223488821959e+01,-4.2492134372611490e-01,9.8614341926276639e-01,3.1452993411013157e+00,1.3298023170712142e-01,9.5931780415794921e-01,1.8975250868623640e+01,1.8000000000000000e+02,3.3118060404939698e-01,3.1415926535897931e+00,4.8938630925476900e-13,4.8960835385969403e-13,2.6901688340848509e-02,1.1064796492597375e+00,massless,high_s,high_theta_in,low_Egamma,0.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.1371912273948257e+00,1.5707949999999999e+00,5.8904862254808616e+00,2.7488935718910685e+00,2.5000000000000000e-01,5.8904862254808616e+00,6.6139796599277174e+00,8.0757758086513898e-01,-5.8706413198675502e+00,2.4557643777161151e+00,3.9687439608663683e-01,7.3954780911506873e+01,4.8955284270846278e-13,3.7166917003062372e-01,4.8955284270846278e-13,3.7166917003062372e-01
C_massless_gamma,C_{l_0\gamma},lepton_massless_L_proton_Ty,enhanced_region_2,2,18,1.3867299694196678e-10,1.0000000000000000e+00,high_s_high_theta_in_mid_Egamma,1.1556371606650035e+00,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,2.0616701789183018e+00,4.9087385212340520e+00,1.0000000000000000e+00,1.0000000000000000e+00,2.0616701789183018e+00,4.9087385212340520e+00,8.6399393138379674e-02,1.8563562186374064e+01,9.2657549740413157e-03,9.5221004526620068e-01,-1.0218203893330685e+01,-4.7558039055035889e-02,1.8115205780777632e+00,1.0118037517038267e+01,4.5186048217564706e-01,9.4471984708527978e-01,1.0200877014772592e+01,1.6469796364367846e+02,1.7803889049879285e-01,2.8745217369121061e+00,1.9575452370190760e-12,1.9584334154387761e-12,1.9420677043626152e-02,4.1726791465229409e+00,massless,high_s,high_theta_in,mid_Egamma,0.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.0268215637865308e+00,1.5707949999999999e+00,4.0251655874119221e+00,8.8357293382212898e-01,1.0000000000000000e+00,4.0251655874119221e+00,3.7299646910771584e+00,3.2920635927379788e-01,-2.0531371805581982e+00,8.4800513605963044e+00,5.4904884917975705e-01,6.6213131954586558e+01,1.9577672816240010e-12,8.3841375526151585e-01,1.9577672816240010e-12,8.3841375526151585e-01
C_massless_gamma,C_{l_0\gamma},lepton_massless_L_proton_Ty,enhanced_region_3,3,11,7.7665929266297819e-11,1.0000000000000000e+00,high_s_high_theta_in_mid_Egamma,1.7717645593496201e+00,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,1.9634954084936229e-01,6.1850105367549055e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.9634954084936207e-01,6.1850105367549055e+00,2.8324197137171674e+00,1.9129213603539650e+01,2.6138680178576301e-01,9.6580005028423077e-01,-1.0529563397242599e+01,-1.5590888136543066e+00,1.5572286648182838e+00,8.8835479710535203e+00,5.2510775754849259e-01,9.5980801843176677e-01,5.7829595761606491e+01,1.7698628214247455e+02,1.0093168511373918e+00,3.0889933542498222e+00,1.9575452370190760e-12,1.9584334154387761e-12,6.3666545003341601e-01,4.2998251031508703e+00,massless,high_s,high_theta_in,mid_Egamma,0.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.7516369519636883e+00,1.5707949999999999e+00,5.8904862254808616e+00,2.7488935718910685e+00,1.0000000000000000e+00,5.8904862254808616e+00,8.8141142820353870e+00,6.2384413059681920e-01,-4.8516774942651733e+00,6.1944420833484148e+00,6.8466332454854673e-01,1.0151463154158930e+02,1.9582113708338511e-12,1.9812183938869519e+00,1.9582113708338511e-12,1.9812183938869519e+00
