detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,selected_purity,pair_delta_xy,kinematic_point,momentum,E,px,py,pz,p_abs,phi_xy,s,sqrt_s,pIn,pOut,theta_in,phi_in,qOut,phiOut,Q2,xB,t,W2,y
c_p_gamma_lepton_heavy_Tx_proton_Tx_region_0,enhanced_cluster,C_p_gamma,C_{p\gamma},lepton_heavy_Tx_proton_Tx,enhanced_region_0,0,9.9998334363104469e-01,9.9999999999999978e-01,0.0000000000000000e+00,high_s_high_theta_in_low_Egamma,k,2.3322107010022441e+00,-1.2901302023790536e-16,-2.1069425131838706e+00,-2.7954805740877554e-06,2.1069425131857251e+00,4.7123889803846897e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,1.8435165757929837e+00,1.5707949999999999e+00,1.5707963267948966e+00,2.5000000000000000e-01,1.5707963267948966e+00,3.3313297967855201e-05,2.9614614757667306e-04,-1.2807274170626748e-02,9.9230007155627942e-01,5.7287321681731371e-03
c_p_gamma_lepton_heavy_Tx_proton_Tx_region_0,enhanced_cluster,C_p_gamma,C_{p\gamma},lepton_heavy_Tx_proton_Tx,enhanced_region_0,0,9.9998334363104469e-01,9.9999999999999978e-01,0.0000000000000000e+00,high_s_high_theta_in_low_Egamma,p,2.3063067345583890e+00,1.2901302023790536e-16,2.1069425131838706e+00,2.7954805740877554e-06,2.1069425131857251e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,1.8435165757929837e+00,1.5707949999999999e+00,1.5707963267948966e+00,2.5000000000000000e-01,1.5707963267948966e+00,3.3313297967855201e-05,2.9614614757667306e-04,-1.2807274170626748e-02,9.9230007155627942e-01,5.7287321681731371e-03
c_p_gamma_lepton_heavy_Tx_proton_Tx_region_0,enhanced_cluster,C_p_gamma,C_{p\gamma},lepton_heavy_Tx_proton_Tx,enhanced_region_0,0,9.9998334363104469e-01,9.9999999999999978e-01,0.0000000000000000e+00,high_s_high_theta_in_low_Egamma,kp,2.3200887166485638e+00,-1.5308084989341915e-17,-2.0935165757929837e+00,0.0000000000000000e+00,2.0935165757929837e+00,4.7123889803846897e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,1.8435165757929837e+00,1.5707949999999999e+00,1.5707963267948966e+00,2.5000000000000000e-01,1.5707963267948966e+00,3.3313297967855201e-05,2.9614614757667306e-04,-1.2807274170626748e-02,9.9230007155627942e-01,5.7287321681731371e-03
c_p_gamma_lepton_heavy_Tx_proton_Tx_region_0,enhanced_cluster,C_p_gamma,C_{p\gamma},lepton_heavy_Tx_proton_Tx,enhanced_region_0,0,9.9998334363104469e-01,9.9999999999999978e-01,0.0000000000000000e+00,high_s_high_theta_in_low_Egamma,pp,2.0684287189128581e+00,0.0000000000000000e+00,1.8435165757929837e+00,0.0000000000000000e+00,1.8435165757929837e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,1.8435165757929837e+00,1.5707949999999999e+00,1.5707963267948966e+00,2.5000000000000000e-01,1.5707963267948966e+00,3.3313297967855201e-05,2.9614614757667306e-04,-1.2807274170626748e-02,9.9230007155627942e-01,5.7287321681731371e-03
c_p_gamma_lepton_heavy_Tx_proton_Tx_region_0,enhanced_cluster,C_p_gamma,C_{p\gamma},lepton_heavy_Tx_proton_Tx,enhanced_region_0,0,9.9998334363104469e-01,9.9999999999999978e-01,0.0000000000000000e+00,high_s_high_theta_in_low_Egamma,qout,2.5000000000000000e-01,1.5308084989341915e-17,2.5000000000000000e-01,0.0000000000000000e+00,2.5000000000000000e-01,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,1.8435165757929837e+00,1.5707949999999999e+00,1.5707963267948966e+00,2.5000000000000000e-01,1.5707963267948966e+00,3.3313297967855201e-05,2.9614614757667306e-04,-1.2807274170626748e-02,9.9230007155627942e-01,5.7287321681731371e-03
c_p_gamma_lepton_heavy_Tx_proton_Tx_region_1,enhanced_cluster,C_p_gamma,C_{p\gamma},lepton_heavy_Tx_proton_Tx,enhanced_region_1,1,9.9926922717367306e-01,1.0000000000000004e+00,0.0000000000000000e+00,high_s_high_theta_in_mid_Egamma,k,2.3322107010022441e+00,-1.2901302023790536e-16,-2.1069425131838706e+00,-2.7954805740877554e-06,2.1069425131857251e+00,4.7123889803846897e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,1.0192736299624232e+00,1.5707949999999999e+00,1.5707963267948966e+00,1.0000000000000000e+00,1.5707963267948966e+00,1.4626144989969381e-03,1.9945552357664644e-03,-3.3457513930297639e-01,1.6116849675574241e+00,3.7344855472419100e-02
c_p_gamma_lepton_heavy_Tx_proton_Tx_region_1,enhanced_cluster,C_p_gamma,C_{p\gamma},lepton_heavy_Tx_proton_Tx,enhanced_region_1,1,9.9926922717367306e-01,1.0000000000000004e+00,0.0000000000000000e+00,high_s_high_theta_in_mid_Egamma,p,2.3063067345583890e+00,1.2901302023790536e-16,2.1069425131838706e+00,2.7954805740877554e-06,2.1069425131857251e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,1.0192736299624232e+00,1.5707949999999999e+00,1.5707963267948966e+00,1.0000000000000000e+00,1.5707963267948966e+00,1.4626144989969381e-03,1.9945552357664644e-03,-3.3457513930297639e-01,1.6116849675574241e+00,3.7344855472419100e-02
c_p_gamma_lepton_heavy_Tx_proton_Tx_region_1,enhanced_cluster,C_p_gamma,C_{p\gamma},lepton_heavy_Tx_proton_Tx,enhanced_region_1,1,9.9926922717367306e-01,1.0000000000000004e+00,0.0000000000000000e+00,high_s_high_theta_in_mid_Egamma,kp,2.2533233218208215e+00,-6.1232339957367660e-17,-2.0192736299624232e+00,0.0000000000000000e+00,2.0192736299624232e+00,4.7123889803846897e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,1.0192736299624232e+00,1.5707949999999999e+00,1.5707963267948966e+00,1.0000000000000000e+00,1.5707963267948966e+00,1.4626144989969381e-03,1.9945552357664644e-03,-3.3457513930297639e-01,1.6116849675574241e+00,3.7344855472419100e-02
c_p_gamma_lepton_heavy_Tx_proton_Tx_region_1,enhanced_cluster,C_p_gamma,C_{p\gamma},lepton_heavy_Tx_proton_Tx,enhanced_region_1,1,9.9926922717367306e-01,1.0000000000000004e+00,0.0000000000000000e+00,high_s_high_theta_in_mid_Egamma,pp,1.3851941137388559e+00,0.0000000000000000e+00,1.0192736299624232e+00,0.0000000000000000e+00,1.0192736299624232e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,1.0192736299624232e+00,1.5707949999999999e+00,1.5707963267948966e+00,1.0000000000000000e+00,1.5707963267948966e+00,1.4626144989969381e-03,1.9945552357664644e-03,-3.3457513930297639e-01,1.6116849675574241e+00,3.7344855472419100e-02
c_p_gamma_lepton_heavy_Tx_proton_Tx_region_1,enhanced_cluster,C_p_gamma,C_{p\gamma},lepton_heavy_Tx_proton_Tx,enhanced_region_1,1,9.9926922717367306e-01,1.0000000000000004e+00,0.0000000000000000e+00,high_s_high_theta_in_mid_Egamma,qout,1.0000000000000000e+00,6.1232339957367660e-17,1.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,1.0192736299624232e+00,1.5707949999999999e+00,1.5707963267948966e+00,1.0000000000000000e+00,1.5707963267948966e+00,1.4626144989969381e-03,1.9945552357664644e-03,-3.3457513930297639e-01,1.6116849675574241e+00,3.7344855472419100e-02
c_p_gamma_lepton_heavy_Tx_proton_Tx_region_2,enhanced_cluster,C_p_gamma,C_{p\gamma},lepton_heavy_Tx_proton_Tx,enhanced_region_2,2,9.9286252062195446e-01,9.9999999999999978e-01,3.1415926535897931e+00,high_s_high_theta_in_low_Egamma,k,2.3322107010022441e+00,-1.2901302023790536e-16,-2.1069425131838706e+00,-2.7954805740877554e-06,2.1069425131857251e+00,4.7123889803846897e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,2.0919517662412601e+00,1.5707949999999999e+00,1.5707963267948966e+00,2.5000000000000000e-01,4.7123889803846897e+00,1.4376164598213765e-02,6.5148919411514260e-03,-3.7394174304480491e-05,3.0721298534479300e+00,1.1237838755582322e-01
c_p_gamma_lepton_heavy_Tx_proton_Tx_region_2,enhanced_cluster,C_p_gamma,C_{p\gamma},lepton_heavy_Tx_proton_Tx,enhanced_region_2,2,9.9286252062195446e-01,9.9999999999999978e-01,3.1415926535897931e+00,high_s_high_theta_in_low_Egamma,p,2.3063067345583890e+00,1.2901302023790536e-16,2.1069425131838706e+00,2.7954805740877554e-06,2.1069425131857251e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,2.0919517662412601e+00,1.5707949999999999e+00,1.5707963267948966e+00,2.5000000000000000e-01,4.7123889803846897e+00,1.4376164598213765e-02,6.5148919411514260e-03,-3.7394174304480491e-05,3.0721298534479300e+00,1.1237838755582322e-01
c_p_gamma_lepton_heavy_Tx_proton_Tx_region_2,enhanced_cluster,C_p_gamma,C_{p\gamma},lepton_heavy_Tx_proton_Tx,enhanced_region_2,2,9.9286252062195446e-01,9.9999999999999978e-01,3.1415926535897931e+00,high_s_high_theta_in_low_Egamma,kp,2.0958974949074438e+00,4.5924254968025742e-17,-1.8419517662412601e+00,0.0000000000000000e+00,1.8419517662412601e+00,4.7123889803846897e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,2.0919517662412601e+00,1.5707949999999999e+00,1.5707963267948966e+00,2.5000000000000000e-01,4.7123889803846897e+00,1.4376164598213765e-02,6.5148919411514260e-03,-3.7394174304480491e-05,3.0721298534479300e+00,1.1237838755582322e-01
c_p_gamma_lepton_heavy_Tx_proton_Tx_region_2,enhanced_cluster,C_p_gamma,C_{p\gamma},lepton_heavy_Tx_proton_Tx,enhanced_region_2,2,9.9286252062195446e-01,9.9999999999999978e-01,3.1415926535897931e+00,high_s_high_theta_in_low_Egamma,pp,2.2926199406530356e+00,0.0000000000000000e+00,2.0919517662412601e+00,0.0000000000000000e+00,2.0919517662412601e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,2.0919517662412601e+00,1.5707949999999999e+00,1.5707963267948966e+00,2.5000000000000000e-01,4.7123889803846897e+00,1.4376164598213765e-02,6.5148919411514260e-03,-3.7394174304480491e-05,3.0721298534479300e+00,1.1237838755582322e-01
