detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,selected_purity,pair_delta_xy,kinematic_point,incoming_state,initial_component,ensemble_weight,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,weighted_abs2,fraction,decomposition_rank,retained_fraction_total
ghz_purity_low_egamma_unpolarized_region_0,egamma_region_max,GHZ_purity,P_{\rm GHZ+},unpolarized,low_Egamma_unpolarized_region_0,0,2.7963437354643250e-01,2.5355560302098312e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{4}\sum_{h_{\ell},h_p}\rho(h_{\ell},h_p)$","auxiliary lepton h=-1, proton h=-1",2.5000000000000000e-01,3,-1,1,1,8.9662274126328022e-14,-1.2165186121532511e+03,1.2165186121532511e+03,-1.5707963267948966e+00,1.4799175337152721e+06,3.6997938342881802e+05,2.1990678725248769e-01,3,9.9873495563214643e-01
ghz_purity_low_egamma_unpolarized_region_0,egamma_region_max,GHZ_purity,P_{\rm GHZ+},unpolarized,low_Egamma_unpolarized_region_0,0,2.7963437354643250e-01,2.5355560302098312e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{4}\sum_{h_{\ell},h_p}\rho(h_{\ell},h_p)$","auxiliary lepton h=+1, proton h=+1",2.5000000000000000e-01,4,1,-1,-1,-8.9662274126328098e-14,-1.2165186121532508e+03,1.2165186121532508e+03,-1.5707963267948968e+00,1.4799175337152716e+06,3.6997938342881791e+05,2.1990678725248761e-01,4,9.9873495563214643e-01
ghz_purity_low_egamma_unpolarized_region_1,egamma_region_max,GHZ_purity,P_{\rm GHZ+},unpolarized,low_Egamma_unpolarized_region_1,1,2.7802652469878297e-01,4.9886801525857272e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{4}\sum_{h_{\ell},h_p}\rho(h_{\ell},h_p)$","auxiliary lepton h=-1, proton h=-1",2.5000000000000000e-01,0,-1,-1,-1,1.2092279439819576e-02,-5.0566358269782986e-02,5.1992112966475344e-02,-1.3360676497084805e+00,2.7031798107187335e-03,6.7579495267968337e-04,2.8123555634215214e-01,1,9.9714279118016447e-01
ghz_purity_low_egamma_unpolarized_region_1,egamma_region_max,GHZ_purity,P_{\rm GHZ+},unpolarized,low_Egamma_unpolarized_region_1,1,2.7802652469878297e-01,4.9886801525857272e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{4}\sum_{h_{\ell},h_p}\rho(h_{\ell},h_p)$","auxiliary lepton h=+1, proton h=+1",2.5000000000000000e-01,7,1,1,1,1.2092279439819579e-02,5.0566358269782986e-02,5.1992112966475344e-02,1.3360676497084802e+00,2.7031798107187335e-03,6.7579495267968337e-04,2.8123555634215214e-01,2,9.9714279118016447e-01
ghz_purity_low_egamma_unpolarized_region_1,egamma_region_max,GHZ_purity,P_{\rm GHZ+},unpolarized,low_Egamma_unpolarized_region_1,1,2.7802652469878297e-01,4.9886801525857272e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{4}\sum_{h_{\ell},h_p}\rho(h_{\ell},h_p)$","auxiliary lepton h=-1, proton h=-1",2.5000000000000000e-01,1,-1,-1,1,-1.0630007240768973e-02,4.4452125719088943e-02,4.5705454104346122e-02,1.8055221543773843e+00,2.0889885348844895e-03,5.2224713372112238e-04,2.1733583924793007e-01,3,9.9714279118016447e-01
ghz_purity_low_egamma_unpolarized_region_1,egamma_region_max,GHZ_purity,P_{\rm GHZ+},unpolarized,low_Egamma_unpolarized_region_1,1,2.7802652469878297e-01,4.9886801525857272e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{4}\sum_{h_{\ell},h_p}\rho(h_{\ell},h_p)$","auxiliary lepton h=+1, proton h=+1",2.5000000000000000e-01,6,1,1,-1,-1.0630007240768966e-02,-4.4452125719088943e-02,4.5705454104346115e-02,-1.8055221543773841e+00,2.0889885348844891e-03,5.2224713372112227e-04,2.1733583924793004e-01,4,9.9714279118016447e-01
ghz_purity_low_egamma_unpolarized_region_2,egamma_region_max,GHZ_purity,P_{\rm GHZ+},unpolarized,low_Egamma_unpolarized_region_2,2,2.7802652469878292e-01,4.9886801525857266e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{4}\sum_{h_{\ell},h_p}\rho(h_{\ell},h_p)$","auxiliary lepton h=-1, proton h=-1",2.5000000000000000e-01,0,-1,-1,-1,1.2092279439819538e-02,5.0566358269782868e-02,5.1992112966475219e-02,1.3360676497084805e+00,2.7031798107187205e-03,6.7579495267968011e-04,2.8123555634215208e-01,1,9.9714279118016436e-01
ghz_purity_low_egamma_unpolarized_region_2,egamma_region_max,GHZ_purity,P_{\rm GHZ+},unpolarized,low_Egamma_unpolarized_region_2,2,2.7802652469878292e-01,4.9886801525857266e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{4}\sum_{h_{\ell},h_p}\rho(h_{\ell},h_p)$","auxiliary lepton h=+1, proton h=+1",2.5000000000000000e-01,7,1,1,1,1.2092279439819538e-02,-5.0566358269782868e-02,5.1992112966475219e-02,-1.3360676497084805e+00,2.7031798107187205e-03,6.7579495267968011e-04,2.8123555634215208e-01,2,9.9714279118016436e-01
ghz_purity_low_egamma_unpolarized_region_2,egamma_region_max,GHZ_purity,P_{\rm GHZ+},unpolarized,low_Egamma_unpolarized_region_2,2,2.7802652469878292e-01,4.9886801525857266e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{4}\sum_{h_{\ell},h_p}\rho(h_{\ell},h_p)$","auxiliary lepton h=-1, proton h=-1",2.5000000000000000e-01,1,-1,-1,1,-1.0630007240768935e-02,-4.4452125719088846e-02,4.5705454104346017e-02,-1.8055221543773838e+00,2.0889885348844804e-03,5.2224713372112010e-04,2.1733583924793012e-01,3,9.9714279118016436e-01
ghz_purity_low_egamma_unpolarized_region_2,egamma_region_max,GHZ_purity,P_{\rm GHZ+},unpolarized,low_Egamma_unpolarized_region_2,2,2.7802652469878292e-01,4.9886801525857266e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{4}\sum_{h_{\ell},h_p}\rho(h_{\ell},h_p)$","auxiliary lepton h=+1, proton h=+1",2.5000000000000000e-01,6,1,1,-1,-1.0630007240768938e-02,4.4452125719088846e-02,4.5705454104346017e-02,1.8055221543773841e+00,2.0889885348844804e-03,5.2224713372112010e-04,2.1733583924793012e-01,4,9.9714279118016436e-01
ghz_purity_mid_egamma_unpolarized_region_0,egamma_region_max,GHZ_purity,P_{\rm GHZ+},unpolarized,mid_Egamma_unpolarized_region_0,0,3.9371574113996111e-01,4.8234388100483216e-01,nan,high_s_high_theta_in_mid_Egamma,"$\frac{1}{4}\sum_{h_{\ell},h_p}\rho(h_{\ell},h_p)$","auxiliary lepton h=-1, proton h=-1",2.5000000000000000e-01,0,-1,-1,-1,1.4268676772700111e-02,-3.0236985718506620e-02,3.3434569567813564e-02,-1.1298845900949224e+00,1.1178704421849648e-03,2.7946761054624121e-04,3.8924727008485938e-01,1,9.7819566119648105e-01
ghz_purity_mid_egamma_unpolarized_region_0,egamma_region_max,GHZ_purity,P_{\rm GHZ+},unpolarized,mid_Egamma_unpolarized_region_0,0,3.9371574113996111e-01,4.8234388100483216e-01,nan,high_s_high_theta_in_mid_Egamma,"$\frac{1}{4}\sum_{h_{\ell},h_p}\rho(h_{\ell},h_p)$","auxiliary lepton h=+1, proton h=+1",2.5000000000000000e-01,7,1,1,1,1.4268676772700111e-02,3.0236985718506620e-02,3.3434569567813564e-02,1.1298845900949224e+00,1.1178704421849648e-03,2.7946761054624121e-04,3.8924727008485938e-01,2,9.7819566119648105e-01
ghz_purity_mid_egamma_unpolarized_region_0,egamma_region_max,GHZ_purity,P_{\rm GHZ+},unpolarized,mid_Egamma_unpolarized_region_0,0,3.9371574113996111e-01,4.8234388100483216e-01,nan,high_s_high_theta_in_mid_Egamma,"$\frac{1}{4}\sum_{h_{\ell},h_p}\rho(h_{\ell},h_p)$","auxiliary lepton h=-1, proton h=-1",2.5000000000000000e-01,1,-1,-1,1,-7.2267731758842114e-03,1.5314448036467837e-02,1.6933947242074223e-02,2.0117061706763009e+00,2.8675856919735317e-04,7.1689642299338293e-05,9.9850560513381148e-02,3,9.7819566119648105e-01
ghz_purity_mid_egamma_unpolarized_region_0,egamma_region_max,GHZ_purity,P_{\rm GHZ+},unpolarized,mid_Egamma_unpolarized_region_0,0,3.9371574113996111e-01,4.8234388100483216e-01,nan,high_s_high_theta_in_mid_Egamma,"$\frac{1}{4}\sum_{h_{\ell},h_p}\rho(h_{\ell},h_p)$","auxiliary lepton h=+1, proton h=+1",2.5000000000000000e-01,6,1,1,-1,-7.2267731758842105e-03,-1.5314448036467837e-02,1.6933947242074223e-02,-2.0117061706763009e+00,2.8675856919735317e-04,7.1689642299338293e-05,9.9850560513381148e-02,4,9.7819566119648105e-01
ghz_purity_mid_egamma_unpolarized_region_1,egamma_region_max,GHZ_purity,P_{\rm GHZ+},unpolarized,mid_Egamma_unpolarized_region_1,1,3.9371574113996100e-01,4.8234388100483233e-01,nan,high_s_high_theta_in_mid_Egamma,"$\frac{1}{4}\sum_{h_{\ell},h_p}\rho(h_{\ell},h_p)$","auxiliary lepton h=-1, proton h=-1",2.5000000000000000e-01,0,-1,-1,-1,1.4268676772700091e-02,3.0236985718506592e-02,3.3434569567813530e-02,1.1298845900949226e+00,1.1178704421849627e-03,2.7946761054624067e-04,3.8924727008485954e-01,1,9.7819566119648127e-01
ghz_purity_mid_egamma_unpolarized_region_1,egamma_region_max,GHZ_purity,P_{\rm GHZ+},unpolarized,mid_Egamma_unpolarized_region_1,1,3.9371574113996100e-01,4.8234388100483233e-01,nan,high_s_high_theta_in_mid_Egamma,"$\frac{1}{4}\sum_{h_{\ell},h_p}\rho(h_{\ell},h_p)$","auxiliary lepton h=+1, proton h=+1",2.5000000000000000e-01,7,1,1,1,1.4268676772700091e-02,-3.0236985718506585e-02,3.3434569567813523e-02,-1.1298845900949226e+00,1.1178704421849622e-03,2.7946761054624056e-04,3.8924727008485943e-01,2,9.7819566119648127e-01
ghz_purity_mid_egamma_unpolarized_region_1,egamma_region_max,GHZ_purity,P_{\rm GHZ+},unpolarized,mid_Egamma_unpolarized_region_1,1,3.9371574113996100e-01,4.8234388100483233e-01,nan,high_s_high_theta_in_mid_Egamma,"$\frac{1}{4}\sum_{h_{\ell},h_p}\rho(h_{\ell},h_p)$","auxiliary lepton h=-1, proton h=-1",2.5000000000000000e-01,1,-1,-1,1,-7.2267731758841984e-03,-1.5314448036467823e-02,1.6933947242074202e-02,-2.0117061706763009e+00,2.8675856919735247e-04,7.1689642299338117e-05,9.9850560513381134e-02,3,9.7819566119648127e-01
ghz_purity_mid_egamma_unpolarized_region_1,egamma_region_max,GHZ_purity,P_{\rm GHZ+},unpolarized,mid_Egamma_unpolarized_region_1,1,3.9371574113996100e-01,4.8234388100483233e-01,nan,high_s_high_theta_in_mid_Egamma,"$\frac{1}{4}\sum_{h_{\ell},h_p}\rho(h_{\ell},h_p)$","auxiliary lepton h=+1, proton h=+1",2.5000000000000000e-01,6,1,1,-1,-7.2267731758841984e-03,1.5314448036467823e-02,1.6933947242074202e-02,2.0117061706763009e+00,2.8675856919735247e-04,7.1689642299338117e-05,9.9850560513381134e-02,4,9.7819566119648127e-01
