detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,selected_purity,pair_delta_xy,kinematic_point,momentum,E,px,py,pz,p_abs,phi_xy,s,sqrt_s,pIn,pOut,theta_in,phi_in,qOut,phiOut,Q2,xB,t,W2,y
c_p_gamma_LTy_region_0,enhanced_cluster,C_p_gamma,C_{p\gamma},LTy,enhanced_region_0,0,9.9998590561313416e-01,1.0000000000000002e+00,0.0000000000000000e+00,high_s_high_theta_in_low_Egamma,k,2.2256210070511226e+00,-1.3612632509806759e-16,-2.2231115974474278e+00,-2.9496131222404812e-06,2.2231115974493845e+00,4.7123889803846897e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,1.9616332604136879e+00,1.5707949999999999e+00,1.5707963267948966e+00,2.5000000000000000e-01,1.5707963267948966e+00,2.9848261358001646e-07,2.8062227805855471e-06,-1.1472131021338499e-02,9.8620824806907958e-01,5.1571098536211486e-03
c_p_gamma_LTy_region_0,enhanced_cluster,C_p_gamma,C_{p\gamma},LTy,enhanced_region_0,0,9.9998590561313416e-01,1.0000000000000002e+00,0.0000000000000000e+00,high_s_high_theta_in_low_Egamma,p,2.4128964285095109e+00,1.3612632509806759e-16,2.2231115974474278e+00,2.9496131222404812e-06,2.2231115974493845e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,1.9616332604136879e+00,1.5707949999999999e+00,1.5707963267948966e+00,2.5000000000000000e-01,1.5707963267948966e+00,2.9848261358001646e-07,2.8062227805855471e-06,-1.1472131021338499e-02,9.8620824806907958e-01,5.1571098536211486e-03
c_p_gamma_LTy_region_0,enhanced_cluster,C_p_gamma,C_{p\gamma},LTy,enhanced_region_0,0,9.9998590561313416e-01,1.0000000000000002e+00,0.0000000000000000e+00,high_s_high_theta_in_low_Egamma,kp,2.2141556790075487e+00,-1.5308084989341915e-17,-2.2116332604136879e+00,0.0000000000000000e+00,2.2116332604136879e+00,4.7123889803846897e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,1.9616332604136879e+00,1.5707949999999999e+00,1.5707963267948966e+00,2.5000000000000000e-01,1.5707963267948966e+00,2.9848261358001646e-07,2.8062227805855471e-06,-1.1472131021338499e-02,9.8620824806907958e-01,5.1571098536211486e-03
c_p_gamma_LTy_region_0,enhanced_cluster,C_p_gamma,C_{p\gamma},LTy,enhanced_region_0,0,9.9998590561313416e-01,1.0000000000000002e+00,0.0000000000000000e+00,high_s_high_theta_in_low_Egamma,pp,2.1743617565532274e+00,0.0000000000000000e+00,1.9616332604136879e+00,0.0000000000000000e+00,1.9616332604136879e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,1.9616332604136879e+00,1.5707949999999999e+00,1.5707963267948966e+00,2.5000000000000000e-01,1.5707963267948966e+00,2.9848261358001646e-07,2.8062227805855471e-06,-1.1472131021338499e-02,9.8620824806907958e-01,5.1571098536211486e-03
c_p_gamma_LTy_region_0,enhanced_cluster,C_p_gamma,C_{p\gamma},LTy,enhanced_region_0,0,9.9998590561313416e-01,1.0000000000000002e+00,0.0000000000000000e+00,high_s_high_theta_in_low_Egamma,qout,2.5000000000000000e-01,1.5308084989341915e-17,2.5000000000000000e-01,0.0000000000000000e+00,2.5000000000000000e-01,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,1.9616332604136879e+00,1.5707949999999999e+00,1.5707963267948966e+00,2.5000000000000000e-01,1.5707963267948966e+00,2.9848261358001646e-07,2.8062227805855471e-06,-1.1472131021338499e-02,9.8620824806907958e-01,5.1571098536211486e-03
c_p_gamma_LTy_region_1,enhanced_cluster,C_p_gamma,C_{p\gamma},LTy,enhanced_region_1,1,9.9945880170753743e-01,1.0000000000000002e+00,0.0000000000000000e+00,high_s_high_theta_in_mid_Egamma,k,2.2256210070511226e+00,-1.3612632509806759e-16,-2.2231115974474278e+00,-2.9496131222404812e-06,2.2231115974493845e+00,4.7123889803846897e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,1.1510672480880975e+00,1.5707949999999999e+00,1.5707963267948966e+00,1.0000000000000000e+00,1.5707963267948966e+00,1.2088705732127123e-05,1.8107944999740591e-05,-2.8802159311494741e-01,1.5474231665305900e+00,3.2368317754236806e-02
c_p_gamma_LTy_region_1,enhanced_cluster,C_p_gamma,C_{p\gamma},LTy,enhanced_region_1,1,9.9945880170753743e-01,1.0000000000000002e+00,0.0000000000000000e+00,high_s_high_theta_in_mid_Egamma,p,2.4128964285095109e+00,1.3612632509806759e-16,2.2231115974474278e+00,2.9496131222404812e-06,2.2231115974493845e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,1.1510672480880975e+00,1.5707949999999999e+00,1.5707963267948966e+00,1.0000000000000000e+00,1.5707963267948966e+00,1.2088705732127123e-05,1.8107944999740591e-05,-2.8802159311494741e-01,1.5474231665305900e+00,3.2368317754236806e-02
c_p_gamma_LTy_region_1,enhanced_cluster,C_p_gamma,C_{p\gamma},LTy,enhanced_region_1,1,9.9945880170753743e-01,1.0000000000000002e+00,0.0000000000000000e+00,high_s_high_theta_in_mid_Egamma,kp,2.1536606042063822e+00,-6.1232339957367660e-17,-2.1510672480880975e+00,0.0000000000000000e+00,2.1510672480880975e+00,4.7123889803846897e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,1.1510672480880975e+00,1.5707949999999999e+00,1.5707963267948966e+00,1.0000000000000000e+00,1.5707963267948966e+00,1.2088705732127123e-05,1.8107944999740591e-05,-2.8802159311494741e-01,1.5474231665305900e+00,3.2368317754236806e-02
c_p_gamma_LTy_region_1,enhanced_cluster,C_p_gamma,C_{p\gamma},LTy,enhanced_region_1,1,9.9945880170753743e-01,1.0000000000000002e+00,0.0000000000000000e+00,high_s_high_theta_in_mid_Egamma,pp,1.4848568313548298e+00,0.0000000000000000e+00,1.1510672480880975e+00,0.0000000000000000e+00,1.1510672480880975e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,1.1510672480880975e+00,1.5707949999999999e+00,1.5707963267948966e+00,1.0000000000000000e+00,1.5707963267948966e+00,1.2088705732127123e-05,1.8107944999740591e-05,-2.8802159311494741e-01,1.5474231665305900e+00,3.2368317754236806e-02
c_p_gamma_LTy_region_1,enhanced_cluster,C_p_gamma,C_{p\gamma},LTy,enhanced_region_1,1,9.9945880170753743e-01,1.0000000000000002e+00,0.0000000000000000e+00,high_s_high_theta_in_mid_Egamma,qout,1.0000000000000000e+00,6.1232339957367660e-17,1.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,1.1510672480880975e+00,1.5707949999999999e+00,1.5707963267948966e+00,1.0000000000000000e+00,1.5707963267948966e+00,1.2088705732127123e-05,1.8107944999740591e-05,-2.8802159311494741e-01,1.5474231665305900e+00,3.2368317754236806e-02
