detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,selected_purity,pair_delta_xy,kinematic_point,momentum,E,px,py,pz,p_abs,phi_xy,s,sqrt_s,pIn,pOut,theta_in,phi_in,qOut,phiOut,Q2,xB,t,W2,y
c_massless_gamma_lepton_massless_L_proton_Tx_region_0,enhanced_cluster,C_massless_gamma,C_{l_0\gamma},lepton_massless_L_proton_Tx,enhanced_region_0,0,2.3303041211927740e-10,9.9999999999999989e-01,7.6642230105823916e-01,high_s_high_theta_in_low_Egamma,k,2.2244176384674761e+00,-1.4111556110176815e+00,-1.7194980871782986e+00,-2.9513459707981364e-06,2.2244176384674765e+00,4.0251655874119221e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.1915955855647962e+00,1.5707949999999999e+00,8.8357293382212898e-01,2.5000000000000000e-01,4.0251655874119221e+00,2.4935738046869744e+00,5.5014418231352991e-01,-2.2133236212737391e+00,2.9188525343658691e+00,2.1964442426113812e-01
c_massless_gamma_lepton_massless_L_proton_Tx_region_0,enhanced_cluster,C_massless_gamma,C_{l_0\gamma},lepton_massless_L_proton_Tx,enhanced_region_0,0,2.3303041211927740e-10,9.9999999999999989e-01,7.6642230105823916e-01,high_s_high_theta_in_low_Egamma,p,2.4140997970931570e+00,1.4111556110176815e+00,1.7194980871782986e+00,2.9513459707981364e-06,2.2244176384674765e+00,8.8357293382212898e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.1915955855647962e+00,1.5707949999999999e+00,8.8357293382212898e-01,2.5000000000000000e-01,4.0251655874119221e+00,2.4935738046869744e+00,5.5014418231352991e-01,-2.2133236212737391e+00,2.9188525343658691e+00,2.1964442426113812e-01
c_massless_gamma_lepton_massless_L_proton_Tx_region_0,enhanced_cluster,C_massless_gamma,C_{l_0\gamma},lepton_massless_L_proton_Tx,enhanced_region_0,0,2.3303041211927740e-10,9.9999999999999989e-01,7.6642230105823916e-01,high_s_high_theta_in_low_Egamma,kp,2.0046266640136499e+00,1.5859832104091146e-01,-1.9983429722241119e+00,0.0000000000000000e+00,2.0046266640136499e+00,4.7915878884701613e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.1915955855647962e+00,1.5707949999999999e+00,8.8357293382212898e-01,2.5000000000000000e-01,4.0251655874119221e+00,2.4935738046869744e+00,5.5014418231352991e-01,-2.2133236212737391e+00,2.9188525343658691e+00,2.1964442426113812e-01
c_massless_gamma_lepton_massless_L_proton_Tx_region_0,enhanced_cluster,C_massless_gamma,C_{l_0\gamma},lepton_massless_L_proton_Tx,enhanced_region_0,0,2.3303041211927740e-10,9.9999999999999989e-01,7.6642230105823916e-01,high_s_high_theta_in_low_Egamma,pp,2.3838907715470317e+00,0.0000000000000000e+00,2.1915955855647962e+00,0.0000000000000000e+00,2.1915955855647962e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.1915955855647962e+00,1.5707949999999999e+00,8.8357293382212898e-01,2.5000000000000000e-01,4.0251655874119221e+00,2.4935738046869744e+00,5.5014418231352991e-01,-2.2133236212737391e+00,2.9188525343658691e+00,2.1964442426113812e-01
c_massless_gamma_lepton_massless_L_proton_Tx_region_0,enhanced_cluster,C_massless_gamma,C_{l_0\gamma},lepton_massless_L_proton_Tx,enhanced_region_0,0,2.3303041211927740e-10,9.9999999999999989e-01,7.6642230105823916e-01,high_s_high_theta_in_low_Egamma,qout,2.5000000000000000e-01,-1.5859832104091146e-01,-1.9325261334068417e-01,0.0000000000000000e+00,2.5000000000000000e-01,4.0251655874119221e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.1915955855647962e+00,1.5707949999999999e+00,8.8357293382212898e-01,2.5000000000000000e-01,4.0251655874119221e+00,2.4935738046869744e+00,5.5014418231352991e-01,-2.2133236212737391e+00,2.9188525343658691e+00,2.1964442426113812e-01
c_massless_gamma_lepton_massless_L_proton_Tx_region_1,enhanced_cluster,C_massless_gamma,C_{l_0\gamma},lepton_massless_L_proton_Tx,enhanced_region_1,1,1.5260044284286006e-10,9.9999999999999978e-01,1.2907544244968481e+00,high_s_high_theta_in_low_Egamma,k,2.2244176384674761e+00,2.0550939279353826e+00,-8.5124777690143294e-01,-2.9513459707981364e-06,2.2244176384674756e+00,5.8904862254808616e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.1371912273948257e+00,1.5707949999999999e+00,2.7488935718910685e+00,2.5000000000000000e-01,5.8904862254808616e+00,6.6139796599277174e+00,8.0757758086513898e-01,-5.8706413198675502e+00,2.4557643777161151e+00,3.9687439608663683e-01
c_massless_gamma_lepton_massless_L_proton_Tx_region_1,enhanced_cluster,C_massless_gamma,C_{l_0\gamma},lepton_massless_L_proton_Tx,enhanced_region_1,1,1.5260044284286006e-10,9.9999999999999978e-01,1.2907544244968481e+00,high_s_high_theta_in_low_Egamma,p,2.4140997970931570e+00,-2.0550939279353826e+00,8.5124777690143294e-01,2.9513459707981364e-06,2.2244176384674756e+00,2.7488935718910685e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.1371912273948257e+00,1.5707949999999999e+00,2.7488935718910685e+00,2.5000000000000000e-01,5.8904862254808616e+00,6.6139796599277174e+00,8.0757758086513898e-01,-5.8706413198675502e+00,2.4557643777161151e+00,3.9687439608663683e-01
c_massless_gamma_lepton_massless_L_proton_Tx_region_1,enhanced_cluster,C_massless_gamma,C_{l_0\gamma},lepton_massless_L_proton_Tx,enhanced_region_1,1,1.5260044284286006e-10,9.9999999999999978e-01,1.2907544244968481e+00,high_s_high_theta_in_low_Egamma,kp,2.0545443546425073e+00,-2.3096988312782163e-01,-2.0415203693035533e+00,0.0000000000000000e+00,2.0545443546425073e+00,4.5997318009840136e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.1371912273948257e+00,1.5707949999999999e+00,2.7488935718910685e+00,2.5000000000000000e-01,5.8904862254808616e+00,6.6139796599277174e+00,8.0757758086513898e-01,-5.8706413198675502e+00,2.4557643777161151e+00,3.9687439608663683e-01
c_massless_gamma_lepton_massless_L_proton_Tx_region_1,enhanced_cluster,C_massless_gamma,C_{l_0\gamma},lepton_massless_L_proton_Tx,enhanced_region_1,1,1.5260044284286006e-10,9.9999999999999978e-01,1.2907544244968481e+00,high_s_high_theta_in_low_Egamma,pp,2.3339730809187587e+00,0.0000000000000000e+00,2.1371912273948257e+00,0.0000000000000000e+00,2.1371912273948257e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.1371912273948257e+00,1.5707949999999999e+00,2.7488935718910685e+00,2.5000000000000000e-01,5.8904862254808616e+00,6.6139796599277174e+00,8.0757758086513898e-01,-5.8706413198675502e+00,2.4557643777161151e+00,3.9687439608663683e-01
c_massless_gamma_lepton_massless_L_proton_Tx_region_1,enhanced_cluster,C_massless_gamma,C_{l_0\gamma},lepton_massless_L_proton_Tx,enhanced_region_1,1,1.5260044284286006e-10,9.9999999999999978e-01,1.2907544244968481e+00,high_s_high_theta_in_low_Egamma,qout,2.5000000000000000e-01,2.3096988312782163e-01,-9.5670858091272598e-02,0.0000000000000000e+00,2.5000000000000000e-01,5.8904862254808616e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.1371912273948257e+00,1.5707949999999999e+00,2.7488935718910685e+00,2.5000000000000000e-01,5.8904862254808616e+00,6.6139796599277174e+00,8.0757758086513898e-01,-5.8706413198675502e+00,2.4557643777161151e+00,3.9687439608663683e-01
c_massless_gamma_lepton_massless_L_proton_Tx_region_2,enhanced_cluster,C_massless_gamma,C_{l_0\gamma},lepton_massless_L_proton_Tx,enhanced_region_2,2,1.1299268495844985e-10,1.0000000000000002e+00,1.1556371606650035e+00,high_s_high_theta_in_mid_Egamma,k,2.2244176384674761e+00,-1.4111556110176815e+00,-1.7194980871782986e+00,-2.9513459707981364e-06,2.2244176384674765e+00,4.0251655874119221e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.0268215637865308e+00,1.5707949999999999e+00,8.8357293382212898e-01,1.0000000000000000e+00,4.0251655874119221e+00,3.7299646910771584e+00,3.2920635927379788e-01,-2.0531371805581982e+00,8.4800513605963044e+00,5.4904884917975705e-01
c_massless_gamma_lepton_massless_L_proton_Tx_region_2,enhanced_cluster,C_massless_gamma,C_{l_0\gamma},lepton_massless_L_proton_Tx,enhanced_region_2,2,1.1299268495844985e-10,1.0000000000000002e+00,1.1556371606650035e+00,high_s_high_theta_in_mid_Egamma,p,2.4140997970931570e+00,1.4111556110176815e+00,1.7194980871782986e+00,2.9513459707981364e-06,2.2244176384674765e+00,8.8357293382212898e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.0268215637865308e+00,1.5707949999999999e+00,8.8357293382212898e-01,1.0000000000000000e+00,4.0251655874119221e+00,3.7299646910771584e+00,3.2920635927379788e-01,-2.0531371805581982e+00,8.4800513605963044e+00,5.4904884917975705e-01
c_massless_gamma_lepton_massless_L_proton_Tx_region_2,enhanced_cluster,C_massless_gamma,C_{l_0\gamma},lepton_massless_L_proton_Tx,enhanced_region_2,2,1.1299268495844985e-10,1.0000000000000002e+00,1.1556371606650035e+00,high_s_high_theta_in_mid_Egamma,kp,1.4051680111695128e+00,6.3439328416364582e-01,-1.2538111104237941e+00,0.0000000000000000e+00,1.4051680111695128e+00,5.1808027480769256e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.0268215637865308e+00,1.5707949999999999e+00,8.8357293382212898e-01,1.0000000000000000e+00,4.0251655874119221e+00,3.7299646910771584e+00,3.2920635927379788e-01,-2.0531371805581982e+00,8.4800513605963044e+00,5.4904884917975705e-01
c_massless_gamma_lepton_massless_L_proton_Tx_region_2,enhanced_cluster,C_massless_gamma,C_{l_0\gamma},lepton_massless_L_proton_Tx,enhanced_region_2,2,1.1299268495844985e-10,1.0000000000000002e+00,1.1556371606650035e+00,high_s_high_theta_in_mid_Egamma,pp,2.2333494243915526e+00,0.0000000000000000e+00,2.0268215637865308e+00,0.0000000000000000e+00,2.0268215637865308e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.0268215637865308e+00,1.5707949999999999e+00,8.8357293382212898e-01,1.0000000000000000e+00,4.0251655874119221e+00,3.7299646910771584e+00,3.2920635927379788e-01,-2.0531371805581982e+00,8.4800513605963044e+00,5.4904884917975705e-01
c_massless_gamma_lepton_massless_L_proton_Tx_region_2,enhanced_cluster,C_massless_gamma,C_{l_0\gamma},lepton_massless_L_proton_Tx,enhanced_region_2,2,1.1299268495844985e-10,1.0000000000000002e+00,1.1556371606650035e+00,high_s_high_theta_in_mid_Egamma,qout,1.0000000000000000e+00,-6.3439328416364582e-01,-7.7301045336273666e-01,0.0000000000000000e+00,1.0000000000000000e+00,4.0251655874119221e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.0268215637865308e+00,1.5707949999999999e+00,8.8357293382212898e-01,1.0000000000000000e+00,4.0251655874119221e+00,3.7299646910771584e+00,3.2920635927379788e-01,-2.0531371805581982e+00,8.4800513605963044e+00,5.4904884917975705e-01
c_massless_gamma_lepton_massless_L_proton_Tx_region_3,enhanced_cluster,C_massless_gamma,C_{l_0\gamma},lepton_massless_L_proton_Tx,enhanced_region_3,3,6.7674952878885591e-11,1.0000000000000000e+00,2.7922969915908422e+00,high_s_high_theta_in_low_Egamma,k,2.2244176384674761e+00,-8.5124777690143227e-01,2.0550939279353830e+00,-2.9513459707981364e-06,2.2244176384674761e+00,1.9634954084936209e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.9718697657451050e+00,1.5707949999999999e+00,5.1050880620834143e+00,2.5000000000000000e-01,1.9634954084936207e+00,1.9026272939561554e+01,9.9058084107089694e-01,-1.6887929782847504e+01,1.0607595610686784e+00,9.3076121828989333e-01
