detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,pair_delta_xy,kinematic_point,incoming_state,initial_spin_averaging_version,initial_component,ensemble_weight,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,weighted_abs2,fraction,decomposition_rank,retained_fraction_total
c_ep_mid_egamma_lty_region_3,egamma_region_max,C_e_p,C_{ep},LTy,mid_Egamma_LTy_region_3,3,1.5829848326315673e-11,2.5914522869635226e+00,high_s_high_theta_in_mid_Egamma,"$|L_eT_{y,p}\rangle$",prepared_spin_ensemble_v4,"electron L, proton Ty",1.0000000000000000e+00,7,1,1,1,-2.1249429737630303e+05,-2.3779983005512791e+05,3.1890842822305032e+05,-2.3000557541903124e+00,1.0170258559169640e+11,1.0170258559169640e+11,2.7936874833232678e-01,2,1.0000000000000000e+00
c_ep_mid_egamma_lty_region_3,egamma_region_max,C_e_p,C_{ep},LTy,mid_Egamma_LTy_region_3,3,1.5829848326315673e-11,2.5914522869635226e+00,high_s_high_theta_in_mid_Egamma,"$|L_eT_{y,p}\rangle$",prepared_spin_ensemble_v4,"electron L, proton Ty",1.0000000000000000e+00,4,1,-1,-1,-1.3691557428220622e+03,-2.3202568362878321e+05,2.3202972320556757e+05,-1.5766971384215698e+00,5.3837792450852303e+10,5.3837792450852303e+10,1.4788804633102862e-01,3,1.0000000000000000e+00
c_ep_mid_egamma_lty_region_3,egamma_region_max,C_e_p,C_{ep},LTy,mid_Egamma_LTy_region_3,3,1.5829848326315673e-11,2.5914522869635226e+00,high_s_high_theta_in_mid_Egamma,"$|L_eT_{y,p}\rangle$",prepared_spin_ensemble_v4,"electron L, proton Ty",1.0000000000000000e+00,6,1,1,-1,-1.1696592941787140e+05,-1.3089583269467695e+05,1.7554129901940265e+05,-2.3000532558670743e+00,3.0814747661419334e+10,3.0814747661419334e+10,8.4645610868816279e-02,4,1.0000000000000000e+00
c_ep_high_egamma_lty_region_0,egamma_region_max,C_e_p,C_{ep},LTy,high_Egamma_LTy_region_0,0,1.0328415259611147e-10,2.0035497930447921e+00,high_s_high_theta_in_high_Egamma,"$|L_eT_{y,p}\rangle$",prepared_spin_ensemble_v4,"electron L, proton Ty",1.0000000000000000e+00,7,1,1,1,1.3218330360245256e+05,1.0401424976906231e+05,1.6820044561855070e+05,6.6669823861050537e-01,2.8291389906279022e+10,2.8291389906279022e+10,7.4162936315337369e-01,1,9.9187289210484508e-01
c_ep_high_egamma_lty_region_0,egamma_region_max,C_e_p,C_{ep},LTy,high_Egamma_LTy_region_0,0,1.0328415259611147e-10,2.0035497930447921e+00,high_s_high_theta_in_high_Egamma,"$|L_eT_{y,p}\rangle$",prepared_spin_ensemble_v4,"electron L, proton Ty",1.0000000000000000e+00,5,1,-1,1,-7.2103312218727995e+04,-5.7596646881542911e+04,9.2283592067650447e+04,-2.4675794353465452e+00,8.5162613649085169e+09,8.5162613649085169e+09,2.2324493471079074e-01,2,9.9187289210484508e-01
c_ep_high_egamma_lty_region_0,egamma_region_max,C_e_p,C_{ep},LTy,high_Egamma_LTy_region_0,0,1.0328415259611147e-10,2.0035497930447921e+00,high_s_high_theta_in_high_Egamma,"$|L_eT_{y,p}\rangle$",prepared_spin_ensemble_v4,"electron L, proton Ty",1.0000000000000000e+00,6,1,1,-1,2.5220514559084804e+04,1.9845845131072667e+04,3.2092552463017480e+04,6.6669758495042808e-01,1.0299319235915296e+09,1.0299319235915296e+09,2.6998594240680643e-02,3,9.9187289210484508e-01
c_ep_high_egamma_lty_region_1,egamma_region_max,C_e_p,C_{ep},LTy,high_Egamma_LTy_region_1,1,7.2433206634522200e-11,1.5648528390109391e+00,high_s_high_theta_in_high_Egamma,"$|L_eT_{y,p}\rangle$",prepared_spin_ensemble_v4,"electron L, proton Ty",1.0000000000000000e+00,7,1,1,1,5.6495157443186850e+04,-2.2477606023083345e+05,2.3176708150085883e+05,-1.3245571261394711e+00,5.3715980067425735e+10,5.3715980067425735e+10,5.9412649261897199e-01,1,9.8650315649453513e-01
c_ep_high_egamma_lty_region_1,egamma_region_max,C_e_p,C_{ep},LTy,high_Egamma_LTy_region_1,1,7.2433206634522200e-11,1.5648528390109391e+00,high_s_high_theta_in_high_Egamma,"$|L_eT_{y,p}\rangle$",prepared_spin_ensemble_v4,"electron L, proton Ty",1.0000000000000000e+00,5,1,-1,1,7.0812115947773942e+04,-1.6883595969995650e+05,1.8308450795413117e+05,-1.1736668174428238e+00,3.3519937052806320e+10,3.3519937052806320e+10,3.7074782232390796e-01,2,9.8650315649453513e-01
c_ep_high_egamma_lty_region_1,egamma_region_max,C_e_p,C_{ep},LTy,high_Egamma_LTy_region_1,1,7.2433206634522200e-11,1.5648528390109391e+00,high_s_high_theta_in_high_Egamma,"$|L_eT_{y,p}\rangle$",prepared_spin_ensemble_v4,"electron L, proton Ty",1.0000000000000000e+00,6,1,1,-1,1.0779302039043665e+04,-4.2887139768827066e+04,4.4221036962059574e+04,-1.3245558254397236e+00,1.9555001099998391e+09,1.9555001099998391e+09,2.1628841551655162e-02,3,9.8650315649453513e-01
c_ep_high_egamma_lty_region_2,egamma_region_max,C_e_p,C_{ep},LTy,high_Egamma_LTy_region_2,2,6.9534538963765748e-11,1.5405079982538072e+00,high_s_high_theta_in_high_Egamma,"$|L_eT_{y,p}\rangle$",prepared_spin_ensemble_v4,"electron L, proton Ty",1.0000000000000000e+00,7,1,1,1,-9.3598829640336553e+03,3.3281953324346017e+05,3.3295112121375278e+05,1.5989119138118351e+00,1.1085644911749513e+11,1.1085644911749513e+11,5.5106786513009665e-01,1,9.8493564182780524e-01
c_ep_high_egamma_lty_region_2,egamma_region_max,C_e_p,C_{ep},LTy,high_Egamma_LTy_region_2,2,6.9534538963765748e-11,1.5405079982538072e+00,high_s_high_theta_in_high_Egamma,"$|L_eT_{y,p}\rangle$",prepared_spin_ensemble_v4,"electron L, proton Ty",1.0000000000000000e+00,5,1,-1,1,-8.8718859891952103e+04,-2.7454143837090535e+05,2.8852042819061090e+05,-1.8833566741927068e+00,8.3244037483293457e+10,8.3244037483293457e+10,4.1380645317358145e-01,2,9.8493564182780524e-01
c_ep_high_egamma_lty_region_2,egamma_region_max,C_e_p,C_{ep},LTy,high_Egamma_LTy_region_2,2,6.9534538963765748e-11,1.5405079982538072e+00,high_s_high_theta_in_high_Egamma,"$|L_eT_{y,p}\rangle$",prepared_spin_ensemble_v4,"electron L, proton Ty",1.0000000000000000e+00,6,1,1,-1,-1.7857455711140901e+03,6.3501806031434222e+04,6.3526909703673206e+04,1.5989100952527999e+00,4.0356682564986496e+09,4.0356682564986496e+09,2.0061323524127154e-02,3,9.8493564182780524e-01
c_ep_high_egamma_lty_region_3,egamma_region_max,C_e_p,C_{ep},LTy,high_Egamma_LTy_region_3,3,6.5499301597366739e-11,2.2265940544321561e+00,high_s_high_theta_in_high_Egamma,"$|L_eT_{y,p}\rangle$",prepared_spin_ensemble_v4,"electron L, proton Ty",1.0000000000000000e+00,7,1,1,1,1.5133770899737236e+05,-8.5976687800699132e+04,1.7405485632337941e+05,-5.1664195449757933e-01,3.0295093009752251e+10,3.0295093009752251e+10,8.1012377094255705e-01,1,9.9436639170185892e-01
c_ep_high_egamma_lty_region_3,egamma_region_max,C_e_p,C_{ep},LTy,high_Egamma_LTy_region_3,3,6.5499301597366739e-11,2.2265940544321561e+00,high_s_high_theta_in_high_Egamma,"$|L_eT_{y,p}\rangle$",prepared_spin_ensemble_v4,"electron L, proton Ty",1.0000000000000000e+00,5,1,-1,1,6.5926227537320476e+04,-3.7956904451023162e+04,7.6072295041011181e+04,-5.2239636298477821e-01,5.7869940728066540e+09,5.7869940728066540e+09,1.5475052211178844e-01,2,9.9436639170185892e-01
c_ep_high_egamma_lty_region_3,egamma_region_max,C_e_p,C_{ep},LTy,high_Egamma_LTy_region_3,3,6.5499301597366739e-11,2.2265940544321561e+00,high_s_high_theta_in_high_Egamma,"$|L_eT_{y,p}\rangle$",prepared_spin_ensemble_v4,"electron L, proton Ty",1.0000000000000000e+00,6,1,1,-1,2.8875162616329908e+04,-1.6404290486264308e+04,3.3209573355844819e+04,-5.1664141792565743e-01,1.1028757624772382e+09,1.1028757624772382e+09,2.9492098647513433e-02,3,9.9436639170185892e-01
