detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,selected_purity,pair_delta_xy,kinematic_point,incoming_state,initial_component,ensemble_weight,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,weighted_abs2,fraction,decomposition_rank,retained_fraction_total
c_ep_mid_egamma_tx_proton_region_0,egamma_region_max,C_e_p,C_{l_auxp},Tx_proton,mid_Egamma_Tx_proton_region_0,0,7.9345382962837913e-02,5.2244964196666832e-01,2.6507271215560753e+00,high_s_high_theta_in_mid_Egamma,"$\frac{1}{2}\sum_{h_{\ell}}\rho(h_{\ell},T_{x,p})$","auxiliary lepton h=+1, proton Tx",5.0000000000000000e-01,5,1,-1,1,1.6517430134596697e+01,-6.5967224697195761e+01,6.8003678080686171e+01,-1.3254521114778841e+00,4.6245002325015967e+03,2.3122501162507983e+03,3.4220248518788710e-01,1,9.8430685037791144e-01
c_ep_mid_egamma_tx_proton_region_0,egamma_region_max,C_e_p,C_{l_auxp},Tx_proton,mid_Egamma_Tx_proton_region_0,0,7.9345382962837913e-02,5.2244964196666832e-01,2.6507271215560753e+00,high_s_high_theta_in_mid_Egamma,"$\frac{1}{2}\sum_{h_{\ell}}\rho(h_{\ell},T_{x,p})$","auxiliary lepton h=-1, proton Tx",5.0000000000000000e-01,1,-1,-1,1,-1.2819686006271702e+01,-5.1164808644852101e+01,5.2746393174924584e+01,-1.8162988814764192e+00,2.7821819929637309e+03,1.3910909964818654e+03,2.0587513122951251e-01,2,9.8430685037791144e-01
c_ep_mid_egamma_tx_proton_region_0,egamma_region_max,C_e_p,C_{l_auxp},Tx_proton,mid_Egamma_Tx_proton_region_0,0,7.9345382962837913e-02,5.2244964196666832e-01,2.6507271215560753e+00,high_s_high_theta_in_mid_Egamma,"$\frac{1}{2}\sum_{h_{\ell}}\rho(h_{\ell},T_{x,p})$","auxiliary lepton h=+1, proton Tx",5.0000000000000000e-01,7,1,1,1,1.0964500294212678e+01,-4.3800327630420959e+01,4.5151843453329874e+01,-1.3255078670177671e+00,2.0386889672340078e+03,1.0193444836170039e+03,1.5085834058553343e-01,3,9.8430685037791144e-01
c_ep_mid_egamma_tx_proton_region_0,egamma_region_max,C_e_p,C_{l_auxp},Tx_proton,mid_Egamma_Tx_proton_region_0,0,7.9345382962837913e-02,5.2244964196666832e-01,2.6507271215560753e+00,high_s_high_theta_in_mid_Egamma,"$\frac{1}{2}\sum_{h_{\ell}}\rho(h_{\ell},T_{x,p})$","auxiliary lepton h=-1, proton Tx",5.0000000000000000e-01,3,-1,1,1,-9.9252387783523037e+00,-3.9608704855855095e+01,4.0833318076854191e+01,-1.8163229242079999e+00,1.6673598651655473e+03,8.3367993258277363e+02,1.2338083271184994e-01,4,9.8430685037791144e-01
c_ep_mid_egamma_tx_proton_region_0,egamma_region_max,C_e_p,C_{l_auxp},Tx_proton,mid_Egamma_Tx_proton_region_0,0,7.9345382962837913e-02,5.2244964196666832e-01,2.6507271215560753e+00,high_s_high_theta_in_mid_Egamma,"$\frac{1}{2}\sum_{h_{\ell}}\rho(h_{\ell},T_{x,p})$","auxiliary lepton h=+1, proton Tx",5.0000000000000000e-01,3,-1,1,1,-7.4865287165449939e+00,-2.9887020680893173e+01,3.0810422220472557e+01,-1.8162401716573078e+00,9.4928211740378902e+02,4.7464105870189451e+02,7.0244714755754764e-02,5,9.8430685037791144e-01
c_ep_mid_egamma_tx_proton_region_0,egamma_region_max,C_e_p,C_{l_auxp},Tx_proton,mid_Egamma_Tx_proton_region_0,0,7.9345382962837913e-02,5.2244964196666832e-01,2.6507271215560753e+00,high_s_high_theta_in_mid_Egamma,"$\frac{1}{2}\sum_{h_{\ell}}\rho(h_{\ell},T_{x,p})$","auxiliary lepton h=-1, proton Tx",5.0000000000000000e-01,2,-1,1,-1,-6.0768707088380838e+00,-2.4237009246382943e+01,2.4987216227927163e+01,-1.8164590339995923e+00,6.2436097482118657e+02,3.1218048741059329e+02,4.6201290192727458e-02,6,9.8430685037791144e-01
c_ep_mid_egamma_tx_proton_region_0,egamma_region_max,C_e_p,C_{l_auxp},Tx_proton,mid_Egamma_Tx_proton_region_0,0,7.9345382962837913e-02,5.2244964196666832e-01,2.6507271215560753e+00,high_s_high_theta_in_mid_Egamma,"$\frac{1}{2}\sum_{h_{\ell}}\rho(h_{\ell},T_{x,p})$","auxiliary lepton h=-1, proton Tx",5.0000000000000000e-01,6,1,1,-1,6.0289203512080611e+00,-2.4065146454367849e+01,2.4808852340875912e+01,-1.3253236252446809e+00,6.1547915447138428e+02,3.0773957723569214e+02,4.5544055714646231e-02,7,9.8430685037791144e-01
c_ep_mid_egamma_tx_proton_region_1,egamma_region_max,C_e_p,C_{l_auxp},Tx_proton,mid_Egamma_Tx_proton_region_1,1,3.8740028759047675e-02,5.0992816694735177e-01,2.5583913126495830e+00,high_s_high_theta_in_mid_Egamma,"$\frac{1}{2}\sum_{h_{\ell}}\rho(h_{\ell},T_{x,p})$","auxiliary lepton h=-1, proton Tx",5.0000000000000000e-01,2,-1,1,-1,1.3186871694636684e+01,-4.3939679638926783e+01,4.5875800067817096e+01,-1.2792358111338547e+00,2.1045890318623269e+03,1.0522945159311635e+03,3.8109041826151824e-01,1,9.7170765391640201e-01
c_ep_mid_egamma_tx_proton_region_1,egamma_region_max,C_e_p,C_{l_auxp},Tx_proton,mid_Egamma_Tx_proton_region_1,1,3.8740028759047675e-02,5.0992816694735177e-01,2.5583913126495830e+00,high_s_high_theta_in_mid_Egamma,"$\frac{1}{2}\sum_{h_{\ell}}\rho(h_{\ell},T_{x,p})$","auxiliary lepton h=+1, proton Tx",5.0000000000000000e-01,6,1,1,-1,-1.0332254268730750e+01,-3.4418626296644860e+01,3.5936016952659038e+01,-1.8624308046755085e+00,1.2913973144217978e+03,6.4569865721089889e+02,2.3384097096586881e-01,2,9.7170765391640201e-01
c_ep_mid_egamma_tx_proton_region_1,egamma_region_max,C_e_p,C_{l_auxp},Tx_proton,mid_Egamma_Tx_proton_region_1,1,3.8740028759047675e-02,5.0992816694735177e-01,2.5583913126495830e+00,high_s_high_theta_in_mid_Egamma,"$\frac{1}{2}\sum_{h_{\ell}}\rho(h_{\ell},T_{x,p})$","auxiliary lepton h=+1, proton Tx",5.0000000000000000e-01,5,1,-1,1,-8.0814102482027490e+00,-2.6918066831800196e+01,2.8105008691708640e+01,-1.8624572688620995e+00,7.8989151356101820e+02,3.9494575678050910e+02,1.4303034118628991e-01,3,9.7170765391640201e-01
c_ep_mid_egamma_tx_proton_region_1,egamma_region_max,C_e_p,C_{l_auxp},Tx_proton,mid_Egamma_Tx_proton_region_1,1,3.8740028759047675e-02,5.0992816694735177e-01,2.5583913126495830e+00,high_s_high_theta_in_mid_Egamma,"$\frac{1}{2}\sum_{h_{\ell}}\rho(h_{\ell},T_{x,p})$","auxiliary lepton h=+1, proton Tx",5.0000000000000000e-01,4,1,-1,-1,-5.8452947449567505e+00,-1.9469278544056042e+01,2.0327820288497730e+01,-1.8624656835848630e+00,4.1322027768145995e+02,2.0661013884072997e+02,7.4824246478383039e-02,4,9.7170765391640201e-01
c_ep_mid_egamma_tx_proton_region_1,egamma_region_max,C_e_p,C_{l_auxp},Tx_proton,mid_Egamma_Tx_proton_region_1,1,3.8740028759047675e-02,5.0992816694735177e-01,2.5583913126495830e+00,high_s_high_theta_in_mid_Egamma,"$\frac{1}{2}\sum_{h_{\ell}}\rho(h_{\ell},T_{x,p})$","auxiliary lepton h=-1, proton Tx",5.0000000000000000e-01,0,-1,-1,-1,5.4036440896746845e+00,-1.8010629425451125e+01,1.8803779985651875e+01,-1.2793163421952389e+00,3.5358214174880203e+02,1.7679107087440102e+02,6.4025215492840667e-02,5,9.7170765391640201e-01
c_ep_mid_egamma_tx_proton_region_1,egamma_region_max,C_e_p,C_{l_auxp},Tx_proton,mid_Egamma_Tx_proton_region_1,1,3.8740028759047675e-02,5.0992816694735177e-01,2.5583913126495830e+00,high_s_high_theta_in_mid_Egamma,"$\frac{1}{2}\sum_{h_{\ell}}\rho(h_{\ell},T_{x,p})$","auxiliary lepton h=-1, proton Tx",5.0000000000000000e-01,4,1,-1,-1,-4.7243189824642355e+00,-1.5738993964542249e+01,1.6432745384261551e+01,-1.8624058811720905e+00,2.7003512086396933e+02,1.3501756043198466e+02,4.8896860906040056e-02,6,9.7170765391640201e-01
