detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,selected_purity,pair_delta_xy,kinematic_point,momentum,E,px,py,pz,p_abs,phi_xy,s,sqrt_s,pIn,pOut,theta_in,phi_in,qOut,phiOut,Q2,xB,t,W2,y
w_purity_lepton_massless_unpolarized_proton_unpolarized_region_0,enhanced_cluster,W_purity,P_W,lepton_massless_unpolarized_proton_unpolarized,enhanced_region_0,0,2.8015568328171214e-01,3.3118933194844591e-01,nan,high_s_high_theta_in_high_Egamma,k,2.2244176384674761e+00,-1.3620629704568556e-16,-2.2244176384655181e+00,-2.9513459707981364e-06,2.2244176384674761e+00,4.7123889803846897e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2009640628902405e+00,1.5707949999999999e+00,1.5707963267948966e+00,1.8000000000000000e+00,4.8105637508093704e+00,1.6184638014159536e-01,9.7145600322616210e-03,-8.3794805066113320e-05,1.7378183938550212e+01,8.0733603017502509e-01
w_purity_lepton_massless_unpolarized_proton_unpolarized_region_0,enhanced_cluster,W_purity,P_W,lepton_massless_unpolarized_proton_unpolarized,enhanced_region_0,0,2.8015568328171214e-01,3.3118933194844591e-01,nan,high_s_high_theta_in_high_Egamma,p,2.4140997970931570e+00,1.3620629704568556e-16,2.2244176384655181e+00,2.9513459707981364e-06,2.2244176384674761e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2009640628902405e+00,1.5707949999999999e+00,1.5707963267948966e+00,1.8000000000000000e+00,4.8105637508093704e+00,1.6184638014159536e-01,9.7145600322616210e-03,-8.3794805066113320e-05,1.7378183938550212e+01,8.0733603017502509e-01
w_purity_lepton_massless_unpolarized_proton_unpolarized_region_0,enhanced_cluster,W_purity,P_W,lepton_massless_unpolarized_proton_unpolarized,enhanced_region_0,0,2.8015568328171214e-01,3.3118933194844591e-01,nan,high_s_high_theta_in_high_Egamma,kp,4.4601104975146871e-01,-1.7643085259320818e-01,-4.0963155488028602e-01,0.0000000000000000e+00,4.4601104975146871e-01,4.3056950706677624e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2009640628902405e+00,1.5707949999999999e+00,1.5707963267948966e+00,1.8000000000000000e+00,4.8105637508093704e+00,1.6184638014159536e-01,9.7145600322616210e-03,-8.3794805066113320e-05,1.7378183938550212e+01,8.0733603017502509e-01
w_purity_lepton_massless_unpolarized_proton_unpolarized_region_0,enhanced_cluster,W_purity,P_W,lepton_massless_unpolarized_proton_unpolarized,enhanced_region_0,0,2.8015568328171214e-01,3.3118933194844591e-01,nan,high_s_high_theta_in_high_Egamma,pp,2.3925063858084714e+00,0.0000000000000000e+00,2.2009640628902405e+00,0.0000000000000000e+00,2.2009640628902405e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2009640628902405e+00,1.5707949999999999e+00,1.5707963267948966e+00,1.8000000000000000e+00,4.8105637508093704e+00,1.6184638014159536e-01,9.7145600322616210e-03,-8.3794805066113320e-05,1.7378183938550212e+01,8.0733603017502509e-01
w_purity_lepton_massless_unpolarized_proton_unpolarized_region_0,enhanced_cluster,W_purity,P_W,lepton_massless_unpolarized_proton_unpolarized,enhanced_region_0,0,2.8015568328171214e-01,3.3118933194844591e-01,nan,high_s_high_theta_in_high_Egamma,qout,1.8000000000000000e+00,1.7643085259320818e-01,-1.7913325080099545e+00,0.0000000000000000e+00,1.8000000000000000e+00,4.8105637508093704e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2009640628902405e+00,1.5707949999999999e+00,1.5707963267948966e+00,1.8000000000000000e+00,4.8105637508093704e+00,1.6184638014159536e-01,9.7145600322616210e-03,-8.3794805066113320e-05,1.7378183938550212e+01,8.0733603017502509e-01
w_purity_lepton_massless_unpolarized_proton_unpolarized_region_1,enhanced_cluster,W_purity,P_W,lepton_massless_unpolarized_proton_unpolarized,enhanced_region_1,1,2.6954199904352283e-01,2.9511353962955533e-01,nan,high_s_high_theta_in_mid_Egamma,k,2.2244176384674761e+00,-1.3620629704568556e-16,-2.2244176384655181e+00,-2.9513459707981364e-06,2.2244176384674761e+00,4.7123889803846897e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2063815355333003e+00,1.5707949999999999e+00,1.5707963267948966e+00,1.0000000000000000e+00,4.9087385212340520e+00,6.8645973580276326e-02,7.4683368092730530e-03,-4.9451545730006823e-05,1.0002799226708669e+01,4.4541583641640581e-01
w_purity_lepton_massless_unpolarized_proton_unpolarized_region_1,enhanced_cluster,W_purity,P_W,lepton_massless_unpolarized_proton_unpolarized,enhanced_region_1,1,2.6954199904352283e-01,2.9511353962955533e-01,nan,high_s_high_theta_in_mid_Egamma,p,2.4140997970931570e+00,1.3620629704568556e-16,2.2244176384655181e+00,2.9513459707981364e-06,2.2244176384674761e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2063815355333003e+00,1.5707949999999999e+00,1.5707963267948966e+00,1.0000000000000000e+00,4.9087385212340520e+00,6.8645973580276326e-02,7.4683368092730530e-03,-4.9451545730006823e-05,1.0002799226708669e+01,4.4541583641640581e-01
w_purity_lepton_massless_unpolarized_proton_unpolarized_region_1,enhanced_cluster,W_purity,P_W,lepton_massless_unpolarized_proton_unpolarized,enhanced_region_1,1,2.6954199904352283e-01,2.9511353962955533e-01,nan,high_s_high_theta_in_mid_Egamma,kp,1.2410263552129777e+00,-1.9509032201612830e-01,-1.2255962551300699e+00,0.0000000000000000e+00,1.2410263552129777e+00,4.5545334238222965e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2063815355333003e+00,1.5707949999999999e+00,1.5707963267948966e+00,1.0000000000000000e+00,4.9087385212340520e+00,6.8645973580276326e-02,7.4683368092730530e-03,-4.9451545730006823e-05,1.0002799226708669e+01,4.4541583641640581e-01
w_purity_lepton_massless_unpolarized_proton_unpolarized_region_1,enhanced_cluster,W_purity,P_W,lepton_massless_unpolarized_proton_unpolarized,enhanced_region_1,1,2.6954199904352283e-01,2.9511353962955533e-01,nan,high_s_high_theta_in_mid_Egamma,pp,2.3974910803467617e+00,0.0000000000000000e+00,2.2063815355333003e+00,0.0000000000000000e+00,2.2063815355333003e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2063815355333003e+00,1.5707949999999999e+00,1.5707963267948966e+00,1.0000000000000000e+00,4.9087385212340520e+00,6.8645973580276326e-02,7.4683368092730530e-03,-4.9451545730006823e-05,1.0002799226708669e+01,4.4541583641640581e-01
w_purity_lepton_massless_unpolarized_proton_unpolarized_region_1,enhanced_cluster,W_purity,P_W,lepton_massless_unpolarized_proton_unpolarized,enhanced_region_1,1,2.6954199904352283e-01,2.9511353962955533e-01,nan,high_s_high_theta_in_mid_Egamma,qout,1.0000000000000000e+00,1.9509032201612830e-01,-9.8078528040323043e-01,0.0000000000000000e+00,1.0000000000000000e+00,4.9087385212340520e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2063815355333003e+00,1.5707949999999999e+00,1.5707963267948966e+00,1.0000000000000000e+00,4.9087385212340520e+00,6.8645973580276326e-02,7.4683368092730530e-03,-4.9451545730006823e-05,1.0002799226708669e+01,4.4541583641640581e-01
w_purity_lepton_massless_unpolarized_proton_unpolarized_region_2,enhanced_cluster,W_purity,P_W,lepton_massless_unpolarized_proton_unpolarized,enhanced_region_2,2,2.5089417205809905e-01,3.0309237315278759e-01,nan,high_s_high_theta_in_low_Egamma,k,2.2244176384674761e+00,-1.3620629704568556e-16,-2.2244176384655181e+00,-2.9513459707981364e-06,2.2244176384674761e+00,4.7123889803846897e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2181221091771559e+00,1.5707949999999999e+00,1.5707963267948966e+00,2.5000000000000000e-01,5.0069132916587327e+00,5.9180363098092778e-03,2.6054881018965532e-03,-5.9979809237101003e-06,3.1452993411013157e+00,1.1006849086117108e-01
w_purity_lepton_massless_unpolarized_proton_unpolarized_region_2,enhanced_cluster,W_purity,P_W,lepton_massless_unpolarized_proton_unpolarized,enhanced_region_2,2,2.5089417205809905e-01,3.0309237315278759e-01,nan,high_s_high_theta_in_low_Egamma,p,2.4140997970931570e+00,1.3620629704568556e-16,2.2244176384655181e+00,2.9513459707981364e-06,2.2244176384674761e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2181221091771559e+00,1.5707949999999999e+00,1.5707963267948966e+00,2.5000000000000000e-01,5.0069132916587327e+00,5.9180363098092778e-03,2.6054881018965532e-03,-5.9979809237101003e-06,3.1452993411013157e+00,1.1006849086117108e-01
w_purity_lepton_massless_unpolarized_proton_unpolarized_region_2,enhanced_cluster,W_purity,P_W,lepton_massless_unpolarized_proton_unpolarized,enhanced_region_2,2,2.5089417205809905e-01,3.0309237315278759e-01,nan,high_s_high_theta_in_low_Egamma,kp,1.9802172692144171e+00,-7.2571169313615513e-02,-1.9788870252441038e+00,0.0000000000000000e+00,1.9802172692144171e+00,4.6757326876093357e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2181221091771559e+00,1.5707949999999999e+00,1.5707963267948966e+00,2.5000000000000000e-01,5.0069132916587327e+00,5.9180363098092778e-03,2.6054881018965532e-03,-5.9979809237101003e-06,3.1452993411013157e+00,1.1006849086117108e-01
