detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,selected_purity,pair_delta_xy,kinematic_point,momentum,E,px,py,pz,p_abs,phi_xy,s,sqrt_s,pIn,pOut,theta_in,phi_in,qOut,phiOut,Q2,xB,t,W2,y
f3_lepton_massless_Tx_proton_Ty_region_0,enhanced_cluster,F3,F_3,lepton_massless_Tx_proton_Ty,enhanced_region_0,0,9.5576605136692061e-01,1.0000000000000004e+00,nan,high_s_high_theta_in_high_Egamma,k,2.2244176384674761e+00,-1.3620629704568556e-16,-2.2244176384655181e+00,-2.9513459707981364e-06,2.2244176384674761e+00,4.7123889803846897e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.1330101235719803e+00,1.5707949999999999e+00,1.5707963267948966e+00,1.8000000000000000e+00,4.5160394395353274e+00,6.2628797446174644e-01,3.7851093069761060e-02,-1.3069426311608263e-03,1.6799656115896884e+01,8.0180752521606102e-01
f3_lepton_massless_Tx_proton_Ty_region_0,enhanced_cluster,F3,F_3,lepton_massless_Tx_proton_Ty,enhanced_region_0,0,9.5576605136692061e-01,1.0000000000000004e+00,nan,high_s_high_theta_in_high_Egamma,p,2.4140997970931570e+00,1.3620629704568556e-16,2.2244176384655181e+00,2.9513459707981364e-06,2.2244176384674761e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.1330101235719803e+00,1.5707949999999999e+00,1.5707963267948966e+00,1.8000000000000000e+00,4.5160394395353274e+00,6.2628797446174644e-01,3.7851093069761060e-02,-1.3069426311608263e-03,1.6799656115896884e+01,8.0180752521606102e-01
f3_lepton_massless_Tx_proton_Ty_region_0,enhanced_cluster,F3,F_3,lepton_massless_Tx_proton_Ty,enhanced_region_0,0,9.5576605136692061e-01,1.0000000000000004e+00,nan,high_s_high_theta_in_high_Egamma,kp,5.0837233551684258e-01,3.5116257962903158e-01,-3.6759661884616568e-01,0.0000000000000000e+00,5.0837233551684258e-01,5.4749266693206859e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.1330101235719803e+00,1.5707949999999999e+00,1.5707963267948966e+00,1.8000000000000000e+00,4.5160394395353274e+00,6.2628797446174644e-01,3.7851093069761060e-02,-1.3069426311608263e-03,1.6799656115896884e+01,8.0180752521606102e-01
f3_lepton_massless_Tx_proton_Ty_region_0,enhanced_cluster,F3,F_3,lepton_massless_Tx_proton_Ty,enhanced_region_0,0,9.5576605136692061e-01,1.0000000000000004e+00,nan,high_s_high_theta_in_high_Egamma,pp,2.3301451000443203e+00,0.0000000000000000e+00,2.1330101235719803e+00,0.0000000000000000e+00,2.1330101235719803e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.1330101235719803e+00,1.5707949999999999e+00,1.5707963267948966e+00,1.8000000000000000e+00,4.5160394395353274e+00,6.2628797446174644e-01,3.7851093069761060e-02,-1.3069426311608263e-03,1.6799656115896884e+01,8.0180752521606102e-01
f3_lepton_massless_Tx_proton_Ty_region_0,enhanced_cluster,F3,F_3,lepton_massless_Tx_proton_Ty,enhanced_region_0,0,9.5576605136692061e-01,1.0000000000000004e+00,nan,high_s_high_theta_in_high_Egamma,qout,1.8000000000000000e+00,-3.5116257962903158e-01,-1.7654135047258146e+00,0.0000000000000000e+00,1.8000000000000000e+00,4.5160394395353274e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.1330101235719803e+00,1.5707949999999999e+00,1.5707963267948966e+00,1.8000000000000000e+00,4.5160394395353274e+00,6.2628797446174644e-01,3.7851093069761060e-02,-1.3069426311608263e-03,1.6799656115896884e+01,8.0180752521606102e-01
f3_lepton_massless_Tx_proton_Ty_region_1,enhanced_cluster,F3,F_3,lepton_massless_Tx_proton_Ty,enhanced_region_1,1,9.5258491068063145e-01,1.0000000000000002e+00,nan,high_s_high_theta_in_high_Egamma,k,2.2244176384674761e+00,4.3396235338659439e-01,2.1816760772762946e+00,-2.9513459707981364e-06,2.2244176384674761e+00,1.3744467859455340e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.1846413760816270e-01,1.5707949999999999e+00,4.5160394395353274e+00,1.8000000000000000e+00,8.8357293382212931e-01,1.6001181495424721e+01,8.3885006281126950e-01,-3.3220392892997599e+00,3.9538014415616627e+00,9.2436222799895285e-01
f3_lepton_massless_Tx_proton_Ty_region_1,enhanced_cluster,F3,F_3,lepton_massless_Tx_proton_Ty,enhanced_region_1,1,9.5258491068063145e-01,1.0000000000000002e+00,nan,high_s_high_theta_in_high_Egamma,p,2.4140997970931570e+00,-4.3396235338659439e-01,-2.1816760772762946e+00,2.9513459707981364e-06,2.2244176384674761e+00,4.5160394395353274e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.1846413760816270e-01,1.5707949999999999e+00,4.5160394395353274e+00,1.8000000000000000e+00,8.8357293382212931e-01,1.6001181495424721e+01,8.3885006281126950e-01,-3.3220392892997599e+00,3.9538014415616627e+00,9.2436222799895285e-01
f3_lepton_massless_Tx_proton_Ty_region_1,enhanced_cluster,F3,F_3,lepton_massless_Tx_proton_Ty,enhanced_region_1,1,9.5258491068063145e-01,1.0000000000000002e+00,nan,high_s_high_theta_in_high_Egamma,kp,1.8930663517400037e+00,-1.1419079114945618e+00,-1.5098829536610894e+00,0.0000000000000000e+00,1.8930663517400037e+00,4.0648750289460196e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.1846413760816270e-01,1.5707949999999999e+00,4.5160394395353274e+00,1.8000000000000000e+00,8.8357293382212931e-01,1.6001181495424721e+01,8.3885006281126950e-01,-3.3220392892997599e+00,3.9538014415616627e+00,9.2436222799895285e-01
f3_lepton_massless_Tx_proton_Ty_region_1,enhanced_cluster,F3,F_3,lepton_massless_Tx_proton_Ty,enhanced_region_1,1,9.5258491068063145e-01,1.0000000000000002e+00,nan,high_s_high_theta_in_high_Egamma,pp,9.4545108382149823e-01,0.0000000000000000e+00,1.1846413760816270e-01,0.0000000000000000e+00,1.1846413760816270e-01,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.1846413760816270e-01,1.5707949999999999e+00,4.5160394395353274e+00,1.8000000000000000e+00,8.8357293382212931e-01,1.6001181495424721e+01,8.3885006281126950e-01,-3.3220392892997599e+00,3.9538014415616627e+00,9.2436222799895285e-01
f3_lepton_massless_Tx_proton_Ty_region_1,enhanced_cluster,F3,F_3,lepton_massless_Tx_proton_Ty,enhanced_region_1,1,9.5258491068063145e-01,1.0000000000000002e+00,nan,high_s_high_theta_in_high_Egamma,qout,1.8000000000000000e+00,1.1419079114945618e+00,1.3914188160529266e+00,0.0000000000000000e+00,1.8000000000000000e+00,8.8357293382212942e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.1846413760816270e-01,1.5707949999999999e+00,4.5160394395353274e+00,1.8000000000000000e+00,8.8357293382212931e-01,1.6001181495424721e+01,8.3885006281126950e-01,-3.3220392892997599e+00,3.9538014415616627e+00,9.2436222799895285e-01
