selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,size,max_concurrence,best_purity,best_kinematic_point,best_pair_delta_xy,s_min,s_max,theta_in_min,theta_in_max,phi_in_lepton_min,phi_in_lepton_max,qOut_min,qOut_max,phiOut_min,phiOut_max,Q2_min,Q2_max,xB_min,xB_max,t_min,t_max,W2_min,W2_max,y_min,y_max,theta_lepton_gamma_deg_min,theta_lepton_gamma_deg_max,pair_delta_xy_min,pair_delta_xy_max,abs_k_dot_qout_min,abs_k_dot_qout_max,abs_kp_dot_qout_min,abs_kp_dot_qout_max,best_lepton,best_s_regime,best_theta_in_regime,best_qOut_regime,best_lepton_mass,best_s,best_sqrt_s,best_pIn,best_pOut,best_theta_in,best_phi_in_lepton,best_phi_in,best_qOut,best_phiOut,best_Q2,best_xB,best_t,best_W2,best_y,best_theta_lepton_gamma_deg,best_k_dot_qout,best_kp_dot_qout,best_abs_k_dot_qout,best_abs_kp_dot_qout
C_massless_gamma,C_{l_0\gamma},lepton_massless_L_proton_unpolarized,enhanced_region_0,0,26,2.5024967054883673e-10,5.1902539522172486e-01,high_s_high_theta_in_low_Egamma,7.6642230105823916e-01,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,2.4543692606170264e+00,4.9087385212340520e+00,2.5000000000000000e-01,2.5000000000000000e-01,2.4543692606170260e+00,4.9087385212340520e+00,6.7629333476385348e-04,1.6445208646897338e+01,2.9227382274944644e-04,9.7215695574739724e-01,-1.4596948639142576e+01,-7.5203434823376364e-08,1.3508427100249891e+00,3.1930709101813792e+00,1.1135341797836643e-01,8.1974255460953360e-01,6.3358759095448072e+00,1.3447573490327807e+02,1.1058189561934828e-01,2.3470443381012607e+00,4.8938630925476900e-13,1.0685390297795324e-02,3.0159037972540379e-03,9.2413000387785293e-01,massless,high_s,high_theta_in,low_Egamma,0.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.1915955855647962e+00,1.5707949999999999e+00,4.0251655874119221e+00,8.8357293382212898e-01,2.5000000000000000e-01,4.0251655874119221e+00,2.4935738046869744e+00,5.5014418231352991e-01,-2.2133236212737391e+00,2.9188525343658691e+00,2.1964442426113812e-01,4.3912763175342114e+01,4.8944182040600026e-13,1.4012509170710863e-01,4.8944182040600026e-13,1.4012509170710863e-01
C_massless_gamma,C_{l_0\gamma},lepton_massless_L_proton_unpolarized,enhanced_region_1,1,14,1.4040696474507545e-10,6.0318696349673062e-01,high_s_high_theta_in_low_Egamma,1.2907544244968481e+00,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,0.0000000000000000e+00,6.1850105367549055e+00,2.5000000000000000e-01,1.0000000000000000e+00,0.0000000000000000e+00,6.1850105367549055e+00,4.7872472040683950e-01,1.2350573581723557e+01,1.7445091418080641e-01,9.2988954573497096e-01,-1.0962505378147805e+01,-4.2492134372611490e-01,1.8110345142066169e+00,6.1944420833484148e+00,1.3298023170712142e-01,7.6250300204658428e-01,1.8975250868623640e+01,1.1808938852317331e+02,3.3118060404939698e-01,2.0610486413961784e+00,4.8938630925476900e-13,1.9582113708338511e-12,2.6901688340848509e-02,2.6371627115731573e+00,massless,high_s,high_theta_in,low_Egamma,0.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.1371912273948257e+00,1.5707949999999999e+00,5.8904862254808616e+00,2.7488935718910685e+00,2.5000000000000000e-01,5.8904862254808616e+00,6.6139796599277174e+00,8.0757758086513898e-01,-5.8706413198675502e+00,2.4557643777161151e+00,3.9687439608663683e-01,7.3954780911506873e+01,4.8955284270846278e-13,3.7166917003062372e-01,4.8955284270846278e-13,3.7166917003062372e-01
C_massless_gamma,C_{l_0\gamma},lepton_massless_L_proton_unpolarized,enhanced_region_2,2,20,1.2629550246238452e-10,5.4577423968781780e-01,high_s_high_theta_in_mid_Egamma,1.1556371606650035e+00,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,2.0616701789183018e+00,5.6941366846315002e+00,1.0000000000000000e+00,1.0000000000000000e+00,2.0616701789183018e+00,5.6941366846315002e+00,8.6399393138379674e-02,1.8563562186374064e+01,9.2657549740413157e-03,9.5221004526620068e-01,-1.0218203893330685e+01,-4.7558039055035889e-02,1.8115205780777632e+00,1.0118037517038267e+01,4.5186048217564706e-01,9.4471984708527978e-01,1.0200877014772592e+01,1.6469796364367846e+02,1.7803889049879285e-01,2.8745217369121061e+00,1.9575452370190760e-12,1.9584334154387761e-12,1.9420677043626152e-02,4.1726791465229409e+00,massless,high_s,high_theta_in,mid_Egamma,0.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.0268215637865308e+00,1.5707949999999999e+00,4.0251655874119221e+00,8.8357293382212898e-01,1.0000000000000000e+00,4.0251655874119221e+00,3.7299646910771584e+00,3.2920635927379788e-01,-2.0531371805581982e+00,8.4800513605963044e+00,5.4904884917975705e-01,6.6213131954586558e+01,1.9577672816240010e-12,8.3841375526151585e-01,1.9577672816240010e-12,8.3841375526151585e-01
C_massless_gamma,C_{l_0\gamma},lepton_massless_L_proton_unpolarized,enhanced_region_3,3,20,6.9290591564057974e-11,9.7187174782233621e-01,high_s_high_theta_in_low_Egamma,2.4373140159236888e+00,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,2.9452431127404299e-01,2.1598449493429825e+00,2.5000000000000000e-01,1.0000000000000000e+00,2.9452431127404310e-01,2.1598449493429825e+00,1.3256698014906419e+01,1.9690182787340667e+01,8.7284156350310260e-01,9.9463038846228391e-01,-1.7477223488821959e+01,-8.5788868203318209e+00,9.8614341926276639e-01,3.1503750844958418e+00,6.8259595562702868e-01,9.5980801843176677e-01,1.1330866948543148e+02,1.8000000000000000e+02,1.9776093535748087e+00,3.1415926535897931e+00,4.8944182040600026e-13,1.9582946375606980e-12,7.4495329618289441e-01,4.2998251031508703e+00,massless,high_s,high_theta_in,low_Egamma,0.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.9976538260331771e+00,1.5707949999999999e+00,7.8539816339744828e-01,3.9269908169872414e+00,2.5000000000000000e-01,7.8539816339744828e-01,1.7102030362413167e+01,9.7730302075930420e-01,-1.5179950840715227e+01,1.2770231960776492e+00,8.4799426044247073e-01,1.3964780646050889e+02,4.8949733155723152e-13,9.6103976084962006e-01,4.8949733155723152e-13,9.6103976084962006e-01
