detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,selected_purity,pair_delta_xy,kinematic_point,momentum,E,px,py,pz,p_abs,phi_xy,s,sqrt_s,pIn,pOut,theta_in,phi_in,qOut,phiOut,Q2,xB,t,W2,y
c_ep_TxTx_region_0,enhanced_cluster,C_e_p,C_{l_auxp},TxTx,enhanced_region_0,0,9.9180718922838607e-01,1.0000000000000000e+00,3.0557086468322066e+00,high_s_high_theta_in_low_Egamma,k,2.3322107010022441e+00,2.0651647998106021e-01,2.0967970090969219e+00,-2.7954805740877554e-06,2.1069425131857251e+00,1.4726215563702156e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,1.8764791950357362e+00,1.5707949999999999e+00,4.6142142099600090e+00,2.5000000000000000e-01,2.3561944901923448e+00,1.7222096817503513e+01,9.7810634070492941e-01,-1.5786122967655466e+01,1.2653386076695465e+00,8.9669950219866912e-01
c_ep_TxTx_region_0,enhanced_cluster,C_e_p,C_{l_auxp},TxTx,enhanced_region_0,0,9.9180718922838607e-01,1.0000000000000000e+00,3.0557086468322066e+00,high_s_high_theta_in_low_Egamma,p,2.3063067345583890e+00,-2.0651647998106021e-01,-2.0967970090969219e+00,2.7954805740877554e-06,2.1069425131857251e+00,4.6142142099600090e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,1.8764791950357362e+00,1.5707949999999999e+00,4.6142142099600090e+00,2.5000000000000000e-01,2.3561944901923448e+00,1.7222096817503513e+01,9.7810634070492941e-01,-1.5786122967655466e+01,1.2653386076695465e+00,8.9669950219866912e-01
c_ep_TxTx_region_0,enhanced_cluster,C_e_p,C_{l_auxp},TxTx,enhanced_region_0,0,9.9180718922838607e-01,1.0000000000000000e+00,3.0557086468322066e+00,high_s_high_theta_in_low_Egamma,kp,2.2906570566509048e+00,1.7677669529663687e-01,-2.0532558903323732e+00,0.0000000000000000e+00,2.0608517052870607e+00,4.7982729871422762e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,1.8764791950357362e+00,1.5707949999999999e+00,4.6142142099600090e+00,2.5000000000000000e-01,2.3561944901923448e+00,1.7222096817503513e+01,9.7810634070492941e-01,-1.5786122967655466e+01,1.2653386076695465e+00,8.9669950219866912e-01
c_ep_TxTx_region_0,enhanced_cluster,C_e_p,C_{l_auxp},TxTx,enhanced_region_0,0,9.9180718922838607e-01,1.0000000000000000e+00,3.0557086468322066e+00,high_s_high_theta_in_low_Egamma,pp,2.0978603789103709e+00,0.0000000000000000e+00,1.8764791950357362e+00,0.0000000000000000e+00,1.8764791950357362e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,1.8764791950357362e+00,1.5707949999999999e+00,4.6142142099600090e+00,2.5000000000000000e-01,2.3561944901923448e+00,1.7222096817503513e+01,9.7810634070492941e-01,-1.5786122967655466e+01,1.2653386076695465e+00,8.9669950219866912e-01
c_ep_TxTx_region_0,enhanced_cluster,C_e_p,C_{l_auxp},TxTx,enhanced_region_0,0,9.9180718922838607e-01,1.0000000000000000e+00,3.0557086468322066e+00,high_s_high_theta_in_low_Egamma,qout,2.5000000000000000e-01,-1.7677669529663687e-01,1.7677669529663689e-01,0.0000000000000000e+00,2.5000000000000000e-01,2.3561944901923448e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,1.8764791950357362e+00,1.5707949999999999e+00,4.6142142099600090e+00,2.5000000000000000e-01,2.3561944901923448e+00,1.7222096817503513e+01,9.7810634070492941e-01,-1.5786122967655466e+01,1.2653386076695465e+00,8.9669950219866912e-01
c_ep_TxTx_region_1,enhanced_cluster,C_e_p,C_{l_auxp},TxTx,enhanced_region_1,1,9.9180718871205742e-01,1.0000000000000002e+00,3.0557086468322066e+00,high_s_high_theta_in_low_Egamma,k,2.3322107010022441e+00,-2.0651647998105946e-01,2.0967970090969219e+00,-2.7954805740877554e-06,2.1069425131857251e+00,1.6689710972195770e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,1.8764791950357362e+00,1.5707949999999999e+00,4.8105637508093704e+00,2.5000000000000000e-01,7.8539816339744828e-01,1.7222096817503513e+01,9.7810634070492941e-01,-1.5786122967655466e+01,1.2653386076695465e+00,8.9669950219866912e-01
c_ep_TxTx_region_1,enhanced_cluster,C_e_p,C_{l_auxp},TxTx,enhanced_region_1,1,9.9180718871205742e-01,1.0000000000000002e+00,3.0557086468322066e+00,high_s_high_theta_in_low_Egamma,p,2.3063067345583890e+00,2.0651647998105946e-01,-2.0967970090969219e+00,2.7954805740877554e-06,2.1069425131857251e+00,4.8105637508093704e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,1.8764791950357362e+00,1.5707949999999999e+00,4.8105637508093704e+00,2.5000000000000000e-01,7.8539816339744828e-01,1.7222096817503513e+01,9.7810634070492941e-01,-1.5786122967655466e+01,1.2653386076695465e+00,8.9669950219866912e-01
c_ep_TxTx_region_1,enhanced_cluster,C_e_p,C_{l_auxp},TxTx,enhanced_region_1,1,9.9180718871205742e-01,1.0000000000000002e+00,3.0557086468322066e+00,high_s_high_theta_in_low_Egamma,kp,2.2906570566509048e+00,-1.7677669529663689e-01,-2.0532558903323732e+00,0.0000000000000000e+00,2.0608517052870607e+00,4.6265049736271031e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,1.8764791950357362e+00,1.5707949999999999e+00,4.8105637508093704e+00,2.5000000000000000e-01,7.8539816339744828e-01,1.7222096817503513e+01,9.7810634070492941e-01,-1.5786122967655466e+01,1.2653386076695465e+00,8.9669950219866912e-01
c_ep_TxTx_region_1,enhanced_cluster,C_e_p,C_{l_auxp},TxTx,enhanced_region_1,1,9.9180718871205742e-01,1.0000000000000002e+00,3.0557086468322066e+00,high_s_high_theta_in_low_Egamma,pp,2.0978603789103709e+00,0.0000000000000000e+00,1.8764791950357362e+00,0.0000000000000000e+00,1.8764791950357362e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,1.8764791950357362e+00,1.5707949999999999e+00,4.8105637508093704e+00,2.5000000000000000e-01,7.8539816339744828e-01,1.7222096817503513e+01,9.7810634070492941e-01,-1.5786122967655466e+01,1.2653386076695465e+00,8.9669950219866912e-01
c_ep_TxTx_region_1,enhanced_cluster,C_e_p,C_{l_auxp},TxTx,enhanced_region_1,1,9.9180718871205742e-01,1.0000000000000002e+00,3.0557086468322066e+00,high_s_high_theta_in_low_Egamma,qout,2.5000000000000000e-01,1.7677669529663689e-01,1.7677669529663687e-01,0.0000000000000000e+00,2.5000000000000000e-01,7.8539816339744817e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,1.8764791950357362e+00,1.5707949999999999e+00,4.8105637508093704e+00,2.5000000000000000e-01,7.8539816339744828e-01,1.7222096817503513e+01,9.7810634070492941e-01,-1.5786122967655466e+01,1.2653386076695465e+00,8.9669950219866912e-01
