detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,selected_purity,pair_delta_xy,kinematic_point,incoming_state,initial_component,ensemble_weight,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,weighted_abs2,fraction,decomposition_rank,retained_fraction_total
f3_lepton_muon_unpolarized_proton_unpolarized_region_0,enhanced_cluster,F3,F_3,lepton_muon_unpolarized_proton_unpolarized,enhanced_region_0,0,0.0000000000000000e+00,3.5241478937655496e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{4}\sum_{h_{\mu},h_p}\rho(h_{\mu},h_p)$","electron h=-1, proton h=+1",2.5000000000000000e-01,6,1,1,-1,-3.8450993078315968e-02,6.4363506408100146e-01,6.4478257931124627e-01,1.6304657733465697e+00,4.1574457458326358e-01,1.0393614364581590e-01,3.5741159342645712e-01,1,9.2906192597433723e-01
f3_lepton_muon_unpolarized_proton_unpolarized_region_0,enhanced_cluster,F3,F_3,lepton_muon_unpolarized_proton_unpolarized,enhanced_region_0,0,0.0000000000000000e+00,3.5241478937655496e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{4}\sum_{h_{\mu},h_p}\rho(h_{\mu},h_p)$","electron h=+1, proton h=-1",2.5000000000000000e-01,1,-1,-1,1,3.8450993078314261e-02,6.4363506408100124e-01,6.4478257931124594e-01,1.5111268802432263e+00,4.1574457458326314e-01,1.0393614364581578e-01,3.5741159342645673e-01,2,9.2906192597433723e-01
f3_lepton_muon_unpolarized_proton_unpolarized_region_0,enhanced_cluster,F3,F_3,lepton_muon_unpolarized_proton_unpolarized,enhanced_region_0,0,0.0000000000000000e+00,3.5241478937655496e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{4}\sum_{h_{\mu},h_p}\rho(h_{\mu},h_p)$","electron h=-1, proton h=-1",2.5000000000000000e-01,4,1,-1,-1,2.6015560057793624e-01,1.5540912056593942e-02,2.6061937084494985e-01,5.9666082708753919e-02,6.7922456459617489e-02,1.6980614114904372e-02,5.8392279483154369e-02,3,9.2906192597433723e-01
f3_lepton_muon_unpolarized_proton_unpolarized_region_0,enhanced_cluster,F3,F_3,lepton_muon_unpolarized_proton_unpolarized,enhanced_region_0,0,0.0000000000000000e+00,3.5241478937655496e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{4}\sum_{h_{\mu},h_p}\rho(h_{\mu},h_p)$","electron h=+1, proton h=+1",2.5000000000000000e-01,3,-1,1,1,-2.6015560057793607e-01,1.5540912056592230e-02,2.6061937084494957e-01,3.0819265708810457e+00,6.7922456459617350e-02,1.6980614114904338e-02,5.8392279483154251e-02,4,9.2906192597433723e-01
f3_lepton_muon_unpolarized_proton_unpolarized_region_0,enhanced_cluster,F3,F_3,lepton_muon_unpolarized_proton_unpolarized,enhanced_region_0,0,0.0000000000000000e+00,3.5241478937655496e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{4}\sum_{h_{\mu},h_p}\rho(h_{\mu},h_p)$","electron h=-1, proton h=+1",2.5000000000000000e-01,4,1,-1,-1,-1.0184973434105005e-02,1.7048656993234199e-01,1.7079052728751895e-01,1.6304660285936230e+00,2.9169404211148754e-02,7.2923510527871886e-03,2.5076654936164688e-02,5,9.2906192597433723e-01
f3_lepton_muon_unpolarized_proton_unpolarized_region_0,enhanced_cluster,F3,F_3,lepton_muon_unpolarized_proton_unpolarized,enhanced_region_0,0,0.0000000000000000e+00,3.5241478937655496e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{4}\sum_{h_{\mu},h_p}\rho(h_{\mu},h_p)$","electron h=+1, proton h=-1",2.5000000000000000e-01,3,-1,1,1,-1.0184973434104377e-02,-1.7048656993234193e-01,1.7079052728751887e-01,-1.6304660285936194e+00,2.9169404211148726e-02,7.2923510527871816e-03,2.5076654936164663e-02,6,9.2906192597433723e-01
f3_lepton_muon_unpolarized_proton_unpolarized_region_0,enhanced_cluster,F3,F_3,lepton_muon_unpolarized_proton_unpolarized,enhanced_region_0,0,0.0000000000000000e+00,3.5241478937655496e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{4}\sum_{h_{\mu},h_p}\rho(h_{\mu},h_p)$","electron h=-1, proton h=-1",2.5000000000000000e-01,6,1,1,-1,-1.6556745637105508e-01,-9.8908610815326200e-03,1.6586262913060135e-01,-3.0819244049668630e+00,2.7510411742115406e-02,6.8776029355288515e-03,2.3650435141392721e-02,7,9.2906192597433723e-01
f3_lepton_muon_unpolarized_proton_unpolarized_region_0,enhanced_cluster,F3,F_3,lepton_muon_unpolarized_proton_unpolarized,enhanced_region_0,0,0.0000000000000000e+00,3.5241478937655496e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{4}\sum_{h_{\mu},h_p}\rho(h_{\mu},h_p)$","electron h=+1, proton h=+1",2.5000000000000000e-01,1,-1,-1,1,-1.6556745637105499e-01,9.8908610815319938e-03,1.6586262913060121e-01,3.0819244049668666e+00,2.7510411742115361e-02,6.8776029355288402e-03,2.3650435141392683e-02,8,9.2906192597433723e-01
f3_lepton_muon_unpolarized_proton_unpolarized_region_1,enhanced_cluster,F3,F_3,lepton_muon_unpolarized_proton_unpolarized,enhanced_region_1,1,0.0000000000000000e+00,3.5881924265643017e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{4}\sum_{h_{\mu},h_p}\rho(h_{\mu},h_p)$","electron h=-1, proton h=-1",2.5000000000000000e-01,0,-1,-1,-1,1.8146369687106403e-01,-2.0026961253281992e-03,1.8147474775814904e-01,-1.1035897844673863e-02,3.2933084073883817e-02,8.2332710184709543e-03,2.1351758952931116e-01,1,8.9286735952149510e-01
f3_lepton_muon_unpolarized_proton_unpolarized_region_1,enhanced_cluster,F3,F_3,lepton_muon_unpolarized_proton_unpolarized,enhanced_region_1,1,0.0000000000000000e+00,3.5881924265643017e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{4}\sum_{h_{\mu},h_p}\rho(h_{\mu},h_p)$","electron h=+1, proton h=+1",2.5000000000000000e-01,7,1,1,1,1.8146369687106403e-01,2.0026961253282018e-03,1.8147474775814904e-01,1.1035897844673877e-02,3.2933084073883817e-02,8.2332710184709543e-03,2.1351758952931116e-01,2,8.9286735952149510e-01
