detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,selected_purity,pair_delta_xy,kinematic_point,momentum,E,px,py,pz,p_abs,phi_xy,s,sqrt_s,pIn,pOut,theta_in,phi_in,qOut,phiOut,Q2,xB,t,W2,y
c_p_gamma_lepton_heavy_L_proton_L_region_0,enhanced_cluster,C_p_gamma,C_{p\gamma},lepton_heavy_L_proton_L,enhanced_region_0,0,8.6431392799295403e-01,1.0000000000000004e+00,2.7488935718910685e+00,high_s_high_theta_in_mid_Egamma,k,2.3322107010022441e+00,-1.2901302023790536e-16,-2.1069425131838706e+00,-2.7954805740877554e-06,2.1069425131857251e+00,4.7123889803846897e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,1.9447344739289383e+00,1.5707949999999999e+00,1.5707963267948966e+00,1.0000000000000000e+00,5.1050880620834143e+00,5.9872774299664122e-01,7.0352598441221589e-02,-4.6500353589176251e-03,8.7915018896942119e+00,4.3340729439248610e-01
c_p_gamma_lepton_heavy_L_proton_L_region_0,enhanced_cluster,C_p_gamma,C_{p\gamma},lepton_heavy_L_proton_L,enhanced_region_0,0,8.6431392799295403e-01,1.0000000000000004e+00,2.7488935718910685e+00,high_s_high_theta_in_mid_Egamma,p,2.3063067345583890e+00,1.2901302023790536e-16,2.1069425131838706e+00,2.7954805740877554e-06,2.1069425131857251e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,1.9447344739289383e+00,1.5707949999999999e+00,1.5707963267948966e+00,1.0000000000000000e+00,5.1050880620834143e+00,5.9872774299664122e-01,7.0352598441221589e-02,-4.6500353589176251e-03,8.7915018896942119e+00,4.3340729439248610e-01
c_p_gamma_lepton_heavy_L_proton_L_region_0,enhanced_cluster,C_p_gamma,C_{p\gamma},lepton_heavy_L_proton_L,enhanced_region_0,0,8.6431392799295403e-01,1.0000000000000004e+00,2.7488935718910685e+00,high_s_high_theta_in_mid_Egamma,kp,1.4793888673447437e+00,-3.8268343236509000e-01,-1.0208549414176518e+00,0.0000000000000000e+00,1.0902253990911988e+00,4.3537361177691052e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,1.9447344739289383e+00,1.5707949999999999e+00,1.5707963267948966e+00,1.0000000000000000e+00,5.1050880620834143e+00,5.9872774299664122e-01,7.0352598441221589e-02,-4.6500353589176251e-03,8.7915018896942119e+00,4.3340729439248610e-01
c_p_gamma_lepton_heavy_L_proton_L_region_0,enhanced_cluster,C_p_gamma,C_{p\gamma},lepton_heavy_L_proton_L,enhanced_region_0,0,8.6431392799295403e-01,1.0000000000000004e+00,2.7488935718910685e+00,high_s_high_theta_in_mid_Egamma,pp,2.1591285682162757e+00,0.0000000000000000e+00,1.9447344739289383e+00,0.0000000000000000e+00,1.9447344739289383e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,1.9447344739289383e+00,1.5707949999999999e+00,1.5707963267948966e+00,1.0000000000000000e+00,5.1050880620834143e+00,5.9872774299664122e-01,7.0352598441221589e-02,-4.6500353589176251e-03,8.7915018896942119e+00,4.3340729439248610e-01
c_p_gamma_lepton_heavy_L_proton_L_region_0,enhanced_cluster,C_p_gamma,C_{p\gamma},lepton_heavy_L_proton_L,enhanced_region_0,0,8.6431392799295403e-01,1.0000000000000004e+00,2.7488935718910685e+00,high_s_high_theta_in_mid_Egamma,qout,1.0000000000000000e+00,3.8268343236509000e-01,-9.2387953251128663e-01,0.0000000000000000e+00,9.9999999999999989e-01,5.1050880620834143e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,1.9447344739289383e+00,1.5707949999999999e+00,1.5707963267948966e+00,1.0000000000000000e+00,5.1050880620834143e+00,5.9872774299664122e-01,7.0352598441221589e-02,-4.6500353589176251e-03,8.7915018896942119e+00,4.3340729439248610e-01
c_p_gamma_lepton_heavy_L_proton_L_region_1,enhanced_cluster,C_p_gamma,C_{p\gamma},lepton_heavy_L_proton_L,enhanced_region_1,1,8.4179700361832466e-01,9.9999999999999989e-01,2.0616701789183014e+00,high_s_high_theta_in_low_Egamma,k,2.3322107010022441e+00,-1.2901302023790536e-16,-2.1069425131838706e+00,-2.7954805740877554e-06,2.1069425131857251e+00,4.7123889803846897e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,2.0206050891716032e+00,1.5707949999999999e+00,1.5707963267948966e+00,2.5000000000000000e-01,3.6324665057131984e+00,6.0924885854080686e-02,3.6901073594448795e-02,-1.2766011681654981e-03,2.4699519952934716e+00,8.4081935279463921e-02
c_p_gamma_lepton_heavy_L_proton_L_region_1,enhanced_cluster,C_p_gamma,C_{p\gamma},lepton_heavy_L_proton_L,enhanced_region_1,1,8.4179700361832466e-01,9.9999999999999989e-01,2.0616701789183014e+00,high_s_high_theta_in_low_Egamma,p,2.3063067345583890e+00,1.2901302023790536e-16,2.1069425131838706e+00,2.7954805740877554e-06,2.1069425131857251e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,2.0206050891716032e+00,1.5707949999999999e+00,1.5707963267948966e+00,2.5000000000000000e-01,3.6324665057131984e+00,6.0924885854080686e-02,3.6901073594448795e-02,-1.2766011681654981e-03,2.4699519952934716e+00,8.4081935279463921e-02
c_p_gamma_lepton_heavy_L_proton_L_region_1,enhanced_cluster,C_p_gamma,C_{p\gamma},lepton_heavy_L_proton_L,enhanced_region_1,1,8.4179700361832466e-01,9.9999999999999989e-01,2.0616701789183014e+00,high_s_high_theta_in_low_Egamma,kp,2.1608080904285401e+00,2.2048031608708876e-01,-1.9027559049651037e+00,0.0000000000000000e+00,1.9154873018794547e+00,4.8277487098085361e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,2.0206050891716032e+00,1.5707949999999999e+00,1.5707963267948966e+00,2.5000000000000000e-01,3.6324665057131984e+00,6.0924885854080686e-02,3.6901073594448795e-02,-1.2766011681654981e-03,2.4699519952934716e+00,8.4081935279463921e-02
c_p_gamma_lepton_heavy_L_proton_L_region_1,enhanced_cluster,C_p_gamma,C_{p\gamma},lepton_heavy_L_proton_L,enhanced_region_1,1,8.4179700361832466e-01,9.9999999999999989e-01,2.0616701789183014e+00,high_s_high_theta_in_low_Egamma,pp,2.2277093451314922e+00,0.0000000000000000e+00,2.0206050891716032e+00,0.0000000000000000e+00,2.0206050891716032e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,2.0206050891716032e+00,1.5707949999999999e+00,1.5707963267948966e+00,2.5000000000000000e-01,3.6324665057131984e+00,6.0924885854080686e-02,3.6901073594448795e-02,-1.2766011681654981e-03,2.4699519952934716e+00,8.4081935279463921e-02
c_p_gamma_lepton_heavy_L_proton_L_region_1,enhanced_cluster,C_p_gamma,C_{p\gamma},lepton_heavy_L_proton_L,enhanced_region_1,1,8.4179700361832466e-01,9.9999999999999989e-01,2.0616701789183014e+00,high_s_high_theta_in_low_Egamma,qout,2.5000000000000000e-01,-2.2048031608708876e-01,-1.1784918420649941e-01,0.0000000000000000e+00,2.5000000000000000e-01,3.6324665057131980e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,2.0206050891716032e+00,1.5707949999999999e+00,1.5707963267948966e+00,2.5000000000000000e-01,3.6324665057131984e+00,6.0924885854080686e-02,3.6901073594448795e-02,-1.2766011681654981e-03,2.4699519952934716e+00,8.4081935279463921e-02
