detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,selected_purity,pair_delta_xy,kinematic_point,incoming_state,initial_component,ensemble_weight,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,weighted_abs2,fraction,decomposition_rank,retained_fraction_total
w_purity_LTx_region_3,enhanced_cluster,W_purity,P_W,LTx,enhanced_region_3,3,3.6378986083244502e-01,1.0000000000000004e+00,nan,high_s_high_theta_in_mid_Egamma,"$|L_{\ell}\rangle\otimes|T_{x,p}\rangle$","auxiliary lepton L, proton Tx",1.0000000000000000e+00,4,1,-1,-1,-1.2681103972301573e+00,3.8948525197582589e+00,4.0960932765539511e+00,1.8855583708165689e+00,1.6777980130230482e+01,1.6777980130230482e+01,5.5592213589938488e-02,3,9.9777449329799694e-01
w_purity_LTx_region_3,enhanced_cluster,W_purity,P_W,LTx,enhanced_region_3,3,3.6378986083244502e-01,1.0000000000000004e+00,nan,high_s_high_theta_in_mid_Egamma,"$|L_{\ell}\rangle\otimes|T_{x,p}\rangle$","auxiliary lepton L, proton Tx",1.0000000000000000e+00,5,1,-1,1,1.8280230650241798e+00,-3.6439583048610156e+00,4.0767757424006001e+00,-1.1058227087885508e+00,1.6620100453825966e+01,1.6620100453825966e+01,5.5069094559872640e-02,4,9.9777449329799694e-01
w_purity_LTx_region_3,enhanced_cluster,W_purity,P_W,LTx,enhanced_region_3,3,3.6378986083244502e-01,1.0000000000000004e+00,nan,high_s_high_theta_in_mid_Egamma,"$|L_{\ell}\rangle\otimes|T_{x,p}\rangle$","auxiliary lepton L, proton Tx",1.0000000000000000e+00,3,-1,1,1,-1.4135984682071063e+00,2.8050554389346924e+00,3.1411139178346552e+00,2.0375963191083719e+00,9.8665966448145763e+00,9.8665966448145763e+00,3.2692013211769580e-02,5,9.9777449329799694e-01
w_purity_low_egamma_ltx_region_0,egamma_region_max,W_purity,P_W,LTx,low_Egamma_LTx_region_0,0,4.4251074704937948e-01,1.0000000000000002e+00,nan,high_s_high_theta_in_low_Egamma,"$|L_{\ell}\rangle\otimes|T_{x,p}\rangle$","auxiliary lepton L, proton Tx",1.0000000000000000e+00,1,-1,-1,1,-6.1757668279049782e-01,5.4766454979596224e+00,5.5113561733431746e+00,1.6830874659287498e+00,3.0375046869447921e+01,3.0375046869447921e+01,4.5959081675304342e-01,1,9.9874553954547673e-01
w_purity_low_egamma_ltx_region_0,egamma_region_max,W_purity,P_W,LTx,low_Egamma_LTx_region_0,0,4.4251074704937948e-01,1.0000000000000002e+00,nan,high_s_high_theta_in_low_Egamma,"$|L_{\ell}\rangle\otimes|T_{x,p}\rangle$","auxiliary lepton L, proton Tx",1.0000000000000000e+00,4,1,-1,-1,-8.0048191792835588e-01,3.7080743887287824e+00,3.7934927142775154e+00,1.7834090266833278e+00,1.4390586973276591e+01,1.4390586973276591e+01,2.1773733054733896e-01,2,9.9874553954547673e-01
w_purity_low_egamma_ltx_region_0,egamma_region_max,W_purity,P_W,LTx,low_Egamma_LTx_region_0,0,4.4251074704937948e-01,1.0000000000000002e+00,nan,high_s_high_theta_in_low_Egamma,"$|L_{\ell}\rangle\otimes|T_{x,p}\rangle$","auxiliary lepton L, proton Tx",1.0000000000000000e+00,5,1,-1,1,8.7492062763056755e-01,-3.2214057219350587e+00,3.3381043917123687e+00,-1.3055976147492343e+00,1.1142940929969404e+01,1.1142940929969404e+01,1.6859869698461591e-01,3,9.9874553954547673e-01
w_purity_low_egamma_ltx_region_0,egamma_region_max,W_purity,P_W,LTx,low_Egamma_LTx_region_0,0,4.4251074704937948e-01,1.0000000000000002e+00,nan,high_s_high_theta_in_low_Egamma,"$|L_{\ell}\rangle\otimes|T_{x,p}\rangle$","auxiliary lepton L, proton Tx",1.0000000000000000e+00,7,1,1,1,1.8304180285816400e+00,-1.6937413624482218e+00,2.4938303796017598e+00,-7.4663481944068422e-01,6.2191899622246574e+00,6.2191899622246574e+00,9.4099693296476883e-02,4,9.9874553954547673e-01
w_purity_low_egamma_ltx_region_0,egamma_region_max,W_purity,P_W,LTx,low_Egamma_LTx_region_0,0,4.4251074704937948e-01,1.0000000000000002e+00,nan,high_s_high_theta_in_low_Egamma,"$|L_{\ell}\rangle\otimes|T_{x,p}\rangle$","auxiliary lepton L, proton Tx",1.0000000000000000e+00,3,-1,1,1,-1.2786879942070128e+00,6.2869778757723860e-01,1.4248873269959519e+00,2.6846279099494823e+00,2.0303038946336689e+00,2.0303038946336689e+00,3.0719591288272886e-02,5,9.9874553954547673e-01
w_purity_low_egamma_ltx_region_0,egamma_region_max,W_purity,P_W,LTx,low_Egamma_LTx_region_0,0,4.4251074704937948e-01,1.0000000000000002e+00,nan,high_s_high_theta_in_low_Egamma,"$|L_{\ell}\rangle\otimes|T_{x,p}\rangle$","auxiliary lepton L, proton Tx",1.0000000000000000e+00,6,1,1,-1,-1.1570819243594774e+00,7.1532125343026021e-01,1.3603393235838146e+00,2.5878899182260517e+00,1.8505230752884703e+00,1.8505230752884703e+00,2.7999410675728767e-02,6,9.9874553954547673e-01
w_purity_low_egamma_ltx_region_1,egamma_region_max,W_purity,P_W,LTx,low_Egamma_LTx_region_1,1,3.6727125405580319e-01,9.9999999999999989e-01,nan,high_s_high_theta_in_low_Egamma,"$|L_{\ell}\rangle\otimes|T_{x,p}\rangle$","auxiliary lepton L, proton Tx",1.0000000000000000e+00,1,-1,-1,1,1.5438294296373484e-10,9.9795335648553869e-03,9.9795335648553887e-03,1.5707963113249408e+00,9.9591090172075308e-05,9.9591090172075308e-05,9.9740173746642558e-01,1,9.9740173746642558e-01
