detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,selected_purity,pair_delta_xy,kinematic_point,incoming_state,initial_component,ensemble_weight,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,weighted_abs2,fraction,decomposition_rank,retained_fraction_total
c_heavy_p_lepton_heavy_unpolarized_proton_Ty_region_1,enhanced_cluster,C_heavy_p,C_{l_heavyp},lepton_heavy_unpolarized_proton_Ty,enhanced_region_1,1,1.9751111278385740e-02,5.0867282561616634e-01,2.5866017857143122e+00,high_s_high_theta_in_mid_Egamma,"$\frac{1}{2}\sum_{h_{\ell}}\rho(h_{\ell},T_{y,p})$","electron h=+1, proton Ty",5.0000000000000000e-01,1,-1,-1,1,-9.9374244674894696e-02,-2.9897709732632470e-02,1.0377433956408773e-01,-2.8493472906510822e+00,1.0769113551962584e-02,5.3845567759812918e-03,1.1892453050573473e-01,3,9.6668476051736274e-01
c_heavy_p_lepton_heavy_unpolarized_proton_Ty_region_1,enhanced_cluster,C_heavy_p,C_{l_heavyp},lepton_heavy_unpolarized_proton_Ty,enhanced_region_1,1,1.9751111278385740e-02,5.0867282561616634e-01,2.5866017857143122e+00,high_s_high_theta_in_mid_Egamma,"$\frac{1}{2}\sum_{h_{\ell}}\rho(h_{\ell},T_{y,p})$","electron h=-1, proton Ty",5.0000000000000000e-01,1,-1,-1,1,1.7305188878722042e-02,-8.5639162012210765e-02,8.7370107200815131e-02,-1.3714102411946614e+00,7.6335356322819277e-03,3.8167678161409638e-03,8.4297991360902991e-02,4,9.6668476051736274e-01
c_heavy_p_lepton_heavy_unpolarized_proton_Ty_region_1,enhanced_cluster,C_heavy_p,C_{l_heavyp},lepton_heavy_unpolarized_proton_Ty,enhanced_region_1,1,1.9751111278385740e-02,5.0867282561616634e-01,2.5866017857143122e+00,high_s_high_theta_in_mid_Egamma,"$\frac{1}{2}\sum_{h_{\ell}}\rho(h_{\ell},T_{y,p})$","electron h=-1, proton Ty",5.0000000000000000e-01,6,1,1,-1,1.8438304500188046e-02,7.0318863353685757e-02,7.2696035766718292e-02,1.3143593830461406e+00,5.2847136161959848e-03,2.6423568080979924e-03,5.8359686025302920e-02,5,9.6668476051736274e-01
c_heavy_p_lepton_heavy_unpolarized_proton_Ty_region_1,enhanced_cluster,C_heavy_p,C_{l_heavyp},lepton_heavy_unpolarized_proton_Ty,enhanced_region_1,1,1.9751111278385740e-02,5.0867282561616634e-01,2.5866017857143122e+00,high_s_high_theta_in_mid_Egamma,"$\frac{1}{2}\sum_{h_{\ell}}\rho(h_{\ell},T_{y,p})$","electron h=+1, proton Ty",5.0000000000000000e-01,5,1,-1,1,-6.9655104486087110e-02,1.4888877936655784e-02,7.1228591641140482e-02,2.9310102076358002e+00,5.0735122671803478e-03,2.5367561335901739e-03,5.6027365806682411e-02,6,9.6668476051736274e-01
c_heavy_p_lepton_heavy_unpolarized_proton_Ty_region_1,enhanced_cluster,C_heavy_p,C_{l_heavyp},lepton_heavy_unpolarized_proton_Ty,enhanced_region_1,1,1.9751111278385740e-02,5.0867282561616634e-01,2.5866017857143122e+00,high_s_high_theta_in_mid_Egamma,"$\frac{1}{2}\sum_{h_{\ell}}\rho(h_{\ell},T_{y,p})$","electron h=+1, proton Ty",5.0000000000000000e-01,4,1,-1,-1,5.3876842378059883e-02,-1.2982234308599301e-02,5.5418882632850712e-02,-2.3645373278769363e-01,3.0712525522736821e-03,1.5356262761368410e-03,3.3916186887742845e-02,7,9.6668476051736274e-01
c_heavy_p_lepton_heavy_unpolarized_proton_Ty_region_1,enhanced_cluster,C_heavy_p,C_{l_heavyp},lepton_heavy_unpolarized_proton_Ty,enhanced_region_1,1,1.9751111278385740e-02,5.0867282561616634e-01,2.5866017857143122e+00,high_s_high_theta_in_mid_Egamma,"$\frac{1}{2}\sum_{h_{\ell}}\rho(h_{\ell},T_{y,p})$","electron h=+1, proton Ty",5.0000000000000000e-01,6,1,1,-1,-5.1247329778924509e-02,7.5086583338418158e-03,5.1794485801523460e-02,2.9961097726196289e+00,2.6826687594442154e-03,1.3413343797221077e-03,2.9625012419073581e-02,8,9.6668476051736274e-01
c_heavy_p_lepton_heavy_unpolarized_proton_Ty_region_2,enhanced_cluster,C_heavy_p,C_{l_heavyp},lepton_heavy_unpolarized_proton_Ty,enhanced_region_2,2,1.6103990320509180e-02,5.0014220021651634e-01,3.0322095055184262e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_{\ell}}\rho(h_{\ell},T_{y,p})$","electron h=-1, proton Ty",5.0000000000000000e-01,0,-1,-1,-1,2.7880452000570401e-02,1.5292815698210336e-03,2.7922362111324043e-02,5.4796479939462919e-02,7.7965830587590449e-04,3.8982915293795224e-04,2.8130808319570244e-01,1,9.9884224115270615e-01
c_heavy_p_lepton_heavy_unpolarized_proton_Ty_region_2,enhanced_cluster,C_heavy_p,C_{l_heavyp},lepton_heavy_unpolarized_proton_Ty,enhanced_region_2,2,1.6103990320509180e-02,5.0014220021651634e-01,3.0322095055184262e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_{\ell}}\rho(h_{\ell},T_{y,p})$","electron h=+1, proton Ty",5.0000000000000000e-01,7,1,1,1,1.5234534681496327e-03,2.7880762250318360e-02,2.7922353305701052e-02,1.5162088674218495e+00,7.7965781412839448e-04,3.8982890706419724e-04,2.8130790576855463e-01,2,9.9884224115270615e-01
c_heavy_p_lepton_heavy_unpolarized_proton_Ty_region_2,enhanced_cluster,C_heavy_p,C_{l_heavyp},lepton_heavy_unpolarized_proton_Ty,enhanced_region_2,2,1.6103990320509180e-02,5.0014220021651634e-01,3.0322095055184262e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_{\ell}}\rho(h_{\ell},T_{y,p})$","electron h=-1, proton Ty",5.0000000000000000e-01,1,-1,-1,1,-2.4547204593378627e-02,-1.3948154233505809e-03,2.4586800593294066e-02,-3.0848319268563720e+00,6.0451076341440542e-04,3.0225538170720271e-04,2.1811319503129109e-01,3,9.9884224115270615e-01
c_heavy_p_lepton_heavy_unpolarized_proton_Ty_region_2,enhanced_cluster,C_heavy_p,C_{l_heavyp},lepton_heavy_unpolarized_proton_Ty,enhanced_region_2,2,1.6103990320509180e-02,5.0014220021651634e-01,3.0322095055184262e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_{\ell}}\rho(h_{\ell},T_{y,p})$","electron h=+1, proton Ty",5.0000000000000000e-01,6,1,1,-1,-1.2931997958600375e-03,-2.4552759836276746e-02,2.4586792822364957e-02,-1.6234179443128212e+00,6.0451038128989695e-04,3.0225519064494848e-04,2.1811305715715801e-01,4,9.9884224115270615e-01
c_heavy_p_lepton_heavy_unpolarized_proton_Ty_region_3,enhanced_cluster,C_heavy_p,C_{l_heavyp},lepton_heavy_unpolarized_proton_Ty,enhanced_region_3,3,1.6103990320480759e-02,5.0014220021651634e-01,3.0322095055184262e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_{\ell}}\rho(h_{\ell},T_{y,p})$","electron h=-1, proton Ty",5.0000000000000000e-01,0,-1,-1,-1,-2.7880452000570394e-02,1.5292815698210213e-03,2.7922362111324033e-02,3.0867961736503307e+00,7.7965830587590384e-04,3.8982915293795192e-04,2.8130808319570222e-01,1,9.9884224115270592e-01
c_heavy_p_lepton_heavy_unpolarized_proton_Ty_region_3,enhanced_cluster,C_heavy_p,C_{l_heavyp},lepton_heavy_unpolarized_proton_Ty,enhanced_region_3,3,1.6103990320480759e-02,5.0014220021651634e-01,3.0322095055184262e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_{\ell}}\rho(h_{\ell},T_{y,p})$","electron h=+1, proton Ty",5.0000000000000000e-01,7,1,1,1,1.5234534681496232e-03,-2.7880762250318349e-02,2.7922353305701041e-02,-1.5162088674218497e+00,7.7965781412839383e-04,3.8982890706419691e-04,2.8130790576855447e-01,2,9.9884224115270592e-01
c_heavy_p_lepton_heavy_unpolarized_proton_Ty_region_3,enhanced_cluster,C_heavy_p,C_{l_heavyp},lepton_heavy_unpolarized_proton_Ty,enhanced_region_3,3,1.6103990320480759e-02,5.0014220021651634e-01,3.0322095055184262e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_{\ell}}\rho(h_{\ell},T_{y,p})$","electron h=-1, proton Ty",5.0000000000000000e-01,1,-1,-1,1,2.4547204593378631e-02,-1.3948154233505699e-03,2.4586800593294069e-02,-5.6760726733420593e-02,6.0451076341440564e-04,3.0225538170720282e-04,2.1811319503129120e-01,3,9.9884224115270592e-01
