canonical_index,state,lepton,retained_component_count,polarization_cluster_number,detail_id,selected_observable,selected_concurrence,selected_purity,alpha_e,alpha_p,sqrt_s,qOut,theta_p_out,theta_gamma_out,phi_p_out,phi_gamma_out
1,W,electron,3,5,dw_mixing_angles_polarization_05_local_minimum_113,D_W,0.00028774990440357776,0.9999999999999999,2.360514145608632,3.009653034568853,1.1531389101298737,0.11862029874449488,0.11892406027724474,2.141297080997679,2.2973579949353446,5.559185178696869
2,W,electron,3,5,dw_mixing_angles_polarization_05_local_minimum_559,D_W,0.0033295087834997587,0.9999999999999998,2.3556828946831443,3.023346304968871,1.0988258090118568,0.08349501925965722,2.8884687300024168,1.3437525151969996,3.115120253354828,6.264220671569077
3,W,electron,3,5,dw_mixing_angles_polarization_05_local_minimum_569,D_W,0.0034954797049577594,1.0000000000000002,2.343143199149534,0.1384522280486863,1.071412933756124,0.07346306419393779,3.014467376386535,0.9997602373676638,0.9549042828307461,3.6528153540383066
4,W,electron,3,5,dw_mixing_angles_polarization_05_local_minimum_606,D_W,0.004240529554031536,0.9999999999999998,2.3490451664002014,3.018747201774623,0.9854365488975,0.03580448357341745,3.1248547175534997,0.28182803929324624,0.2545478155536587,6.2430168299817845
5,W,electron,3,5,dw_mixing_angles_polarization_05_local_minimum_728,D_W,0.008325531350964992,0.9999999999999999,2.365650303389435,3.0654637352653094,1.0825776782891852,0.07166019720421508,3.01562772485853,1.5119145207406328,3.295834400789583,0.4836993750071174
6,W,electron,3,5,dw_mixing_angles_polarization_05_local_minimum_731,D_W,0.00839324232237532,1.0000000000000004,2.3650173948659017,0.18228078040105017,1.0956653745877383,0.07816826327278013,3.0953026211712613,1.488254783638576,0.9200445346514787,3.2146328246340907
7,W,electron,3,5,dw_mixing_angles_polarization_05_local_minimum_748,D_W,0.008906181544350503,1.0000000000000002,2.3585330228849726,0.1937909119314777,1.1181736745888322,0.08977613254713203,3.067364543658164,1.649263069779642,1.0796754659107366,3.1743285218907378
8,W,electron,3,5,dw_mixing_angles_polarization_05_local_minimum_752,D_W,0.009175871930701266,0.9999999999999999,2.3432894363066112,3.0217874063646084,1.171187251120952,0.11659302920997303,0.039269908169872414,1.7615412211643482,3.1252112690190534,6.274389813996462
9,W,electron,3,5,dw_mixing_angles_polarization_05_local_minimum_776,D_W,0.009681061542923652,0.9999999999999998,2.3464431413312363,2.9353127368388208,1.1311911106724664,0.09658997812491235,8.3081824669924e-07,1.5317909981894722,1.2710560416332843,6.283167550191316
10,W,electron,3,5,dw_mixing_angles_polarization_05_local_minimum_793,D_W,0.010204152260467558,1.0000000000000002,2.3866646765019635,2.9399127669031015,1.1093967478766786,0.08454043245270272,2.881142372034911,1.8348223290578818,0.5793836599670031,6.23421363718056
11,W,electron,3,5,dw_mixing_angles_polarization_05_local_minimum_794,D_W,0.01021027548791961,1.0000000000000002,2.3727089544050672,0.1728357776546309,1.0696447982133215,0.06556781216713048,3.141592653589793,1.2493219289622306,2.9346653298419834,3.141620217991439
12,W,electron,3,5,dw_mixing_angles_polarization_05_local_minimum_921,D_W,0.014551703456600059,1.0000000000000002,2.3318716485373705,3.0185832711585308,1.2214702804527742,0.14173433515296505,0.0,1.972390268481363,4.771802215617171,6.283166352960283
13,W,electron,3,5,dw_mixing_angles_polarization_05_local_minimum_923,D_W,0.014692419756874391,1.0,2.324785952488063,0.13355487742513797,1.2100928479929722,0.1360458358605857,0.0,1.9229242781369347,3.238116990341494,3.14149653279949
14,W,electron,3,5,dw_mixing_angles_polarization_05_local_minimum_1091,D_W,0.02621844463484331,1.0,2.3526069373500964,0.005674515842801212,1.133424366233983,0.09771060238816225,0.05417107631710486,1.611578065356327,3.104351387211957,3.1263057462993293
15,W,electron,3,5,dw_mixing_angles_polarization_05_local_minimum_1123,D_W,0.031281988683334754,1.0000000000000004,2.3460622875157124,0.0032211657035592003,1.1405517343980012,0.1012827751704731,0.2390264681354029,1.6835527820237208,2.066965876777079,3.239940968936227
