selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,size,max_concurrence,best_purity,best_kinematic_point,best_pair_delta_xy,s_min,s_max,theta_in_min,theta_in_max,phi_in_electron_min,phi_in_electron_max,qOut_min,qOut_max,phiOut_min,phiOut_max,Q2_min,Q2_max,xB_min,xB_max,t_min,t_max,W2_min,W2_max,y_min,y_max,theta_e_gamma_deg_min,theta_e_gamma_deg_max,pair_delta_xy_min,pair_delta_xy_max,abs_k_dot_qout_min,abs_k_dot_qout_max,abs_kp_dot_qout_min,abs_kp_dot_qout_max,best_lepton,best_s_regime,best_theta_in_regime,best_qOut_regime,best_electron_mass,best_s,best_sqrt_s,best_pIn,best_pOut,best_theta_in,best_phi_in_electron,best_phi_in_lepton,best_phi_in,best_qOut,best_phiOut,best_Q2,best_xB,best_t,best_W2,best_y,best_theta_e_gamma_deg,best_k_dot_qout,best_kp_dot_qout,best_abs_k_dot_qout,best_abs_kp_dot_qout
C_e_gamma,C_{e\gamma},Ty_electron,enhanced_region_0,0,22,9.9998073345532801e-01,5.0000000000404454e-01,high_s_high_theta_in_high_Egamma,8.8817841970012523e-16,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,3.9269908169872414e+00,5.4977871437821380e+00,1.8000000000000000e+00,1.8000000000000000e+00,4.4178646691106467e+00,5.0069132916587327e+00,9.0929191144625970e-03,2.0685894109413638e+00,5.4423346183891117e-04,1.2101721683033714e-01,-2.8984908623096062e+00,-4.7233631439667662e-02,1.5904602668955981e+01,1.7578505660581023e+01,8.0964115095507494e-01,8.3599985646015773e-01,0.0000000000000000e+00,7.6628606955579016e+01,8.8817841970012523e-16,1.3374214925914822e+00,1.0565272018370209e-07,1.1727304053561132e+00,5.5371859320254939e-07,8.3695204953035285e-01,electron,high_s,high_theta_in,high_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,2.2244174783670059e+00,1.5707949999999999e+00,4.6142142099600090e+00,4.6142142099600090e+00,1.4726215563702159e+00,1.8000000000000000e+00,4.7123889803846897e+00,9.0929191144630064e-03,5.4423346183893567e-04,-4.7652266581015797e-02,1.7578505660581023e+01,8.0964115095507494e-01,0.0000000000000000e+00,1.9280227451869532e-02,5.5371859320254939e-07,1.9280227451869532e-02,5.5371859320254939e-07
C_e_gamma,C_{e\gamma},Ty_electron,enhanced_region_1,1,28,9.9998058174752491e-01,5.0000000000404443e-01,high_s_high_theta_in_mid_Egamma,0.0000000000000000e+00,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,3.9269908169872414e+00,5.4977871437821380e+00,1.0000000000000000e+00,1.0000000000000000e+00,4.1233403578366037e+00,5.3014376029327757e+00,2.6230007135884185e-02,2.8324197199277714e+00,2.8194411403310083e-03,2.6138680662806912e-01,-2.8984909986133753e+00,-4.7558037249320680e-02,8.8835477878591416e+00,1.0156878657862487e+01,4.5082694236859233e-01,5.2687014070477078e-01,0.0000000000000000e+00,5.7829596663980730e+01,0.0000000000000000e+00,1.0093168668867927e+00,5.8695955429399760e-08,6.5151689186450723e-01,1.0663025395984960e-07,6.3666554163106093e-01,electron,high_s,high_theta_in,mid_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,2.2244175829719559e+00,1.5707949999999999e+00,4.8105637508093704e+00,4.8105637508093704e+00,1.6689710972195773e+00,1.0000000000000000e+00,4.7123889803846897e+00,2.6230007135884185e-02,2.8194411403310083e-03,-4.7652268821897881e-02,1.0156878657862487e+01,4.5082694236859233e-01,0.0000000000000000e+00,1.0711237473260788e-02,1.0663025395984960e-07,1.0711237473260788e-02,1.0663025395984960e-07
C_e_gamma,C_{e\gamma},Ty_electron,enhanced_region_2,2,30,9.9997390300092071e-01,5.0000000000403799e-01,high_s_high_theta_in_low_Egamma,0.0000000000000000e+00,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,3.9269908169872414e+00,5.4977871437821380e+00,2.5000000000000000e-01,2.5000000000000000e-01,4.0251655874119221e+00,5.3996123733574573e+00,4.2296683599773927e-02,2.5727326132131210e+00,1.7910519553036641e-02,5.5014417932659510e-01,-2.8984910260824699e+00,-4.7637227843990951e-02,2.9188525056082439e+00,3.1991026847146382e+00,1.1443862173854513e-01,2.3706102732259729e-01,0.0000000000000000e+00,4.3912763252200889e+01,0.0000000000000000e+00,7.6642230239967812e-01,1.4673988857349940e-08,1.6287922296612681e-01,1.6531452207146913e-08,1.4012510608728221e-01,electron,high_s,high_theta_in,low_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,2.2244176040528347e+00,1.5707949999999999e+00,4.6142142099600090e+00,4.6142142099600090e+00,1.4726215563702159e+00,2.5000000000000000e-01,4.7123889803846897e+00,4.2296683599774093e-02,1.7910519553036710e-02,-4.7652269273500032e-02,3.1991026847146382e+00,1.1443862173854513e-01,0.0000000000000000e+00,2.6778093683151771e-03,1.6531452207146913e-08,2.6778093683151771e-03,1.6531452207146913e-08
C_e_gamma,C_{e\gamma},TxTy,enhanced_region_0,0,22,9.9998026369285975e-01,1.0000000000000000e+00,high_s_high_theta_in_high_Egamma,8.8817841970012523e-16,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,3.9269908169872414e+00,5.4977871437821380e+00,1.8000000000000000e+00,1.8000000000000000e+00,4.4178646691106467e+00,5.0069132916587327e+00,9.0929191144625970e-03,2.0685894109413638e+00,5.4423346183891117e-04,1.2101721683033714e-01,-2.8984908623096062e+00,-4.7233631439667662e-02,1.5904602668955981e+01,1.7578505660581023e+01,8.0964115095507494e-01,8.3599985646015773e-01,0.0000000000000000e+00,7.6628606955579016e+01,8.8817841970012523e-16,1.3374214925914822e+00,1.0565272018370209e-07,1.1727304053561132e+00,5.5371859320254939e-07,8.3695204953035285e-01,electron,high_s,high_theta_in,high_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,2.2244174783670059e+00,1.5707949999999999e+00,4.6142142099600090e+00,4.6142142099600090e+00,1.4726215563702159e+00,1.8000000000000000e+00,4.7123889803846897e+00,9.0929191144630064e-03,5.4423346183893567e-04,-4.7652266581015797e-02,1.7578505660581023e+01,8.0964115095507494e-01,0.0000000000000000e+00,1.9280227451869532e-02,5.5371859320254939e-07,1.9280227451869532e-02,5.5371859320254939e-07
C_e_gamma,C_{e\gamma},TxTy,enhanced_region_1,1,27,9.9996516179339723e-01,1.0000000000000002e+00,high_s_high_theta_in_mid_Egamma,0.0000000000000000e+00,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,3.9269908169872414e+00,5.4977871437821380e+00,1.0000000000000000e+00,1.0000000000000000e+00,4.1233403578366037e+00,5.2032628325080950e+00,2.6230007135884185e-02,2.8324197199277714e+00,2.8194411403310083e-03,2.6138680662806912e-01,-2.8984909986133753e+00,-4.7558037249320680e-02,8.8835477878591416e+00,1.0156878657862487e+01,4.5082694236859233e-01,5.2687014070477078e-01,0.0000000000000000e+00,5.7829596663980730e+01,0.0000000000000000e+00,1.0093168668867927e+00,5.8695955429399760e-08,6.5151689186450723e-01,1.0663025395984960e-07,6.3666554163106093e-01,electron,high_s,high_theta_in,mid_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,2.2244175829719559e+00,1.5707949999999999e+00,4.6142142099600090e+00,4.6142142099600090e+00,1.4726215563702159e+00,1.0000000000000000e+00,4.7123889803846897e+00,2.6230007135884477e-02,2.8194411403310395e-03,-4.7652268821897999e-02,1.0156878657862487e+01,4.5082694236859233e-01,0.0000000000000000e+00,1.0711237473260709e-02,1.0663025395984960e-07,1.0711237473260709e-02,1.0663025395984960e-07
C_e_gamma,C_{e\gamma},TxTy,enhanced_region_2,2,31,9.9960986234652804e-01,9.9999999999999989e-01,high_s_high_theta_in_low_Egamma,0.0000000000000000e+00,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,3.9269908169872414e+00,5.4977871437821380e+00,2.5000000000000000e-01,2.5000000000000000e-01,3.9269908169872414e+00,5.3996123733574573e+00,4.2296683599773927e-02,3.2038754553281588e+00,1.7910519553036641e-02,6.2053883753570960e-01,-2.8984910260824699e+00,-4.7637227843990951e-02,2.8390224286985415e+00,3.1991026847146382e+00,1.1443862173854513e-01,2.5019645034686855e-01,0.0000000000000000e+00,5.0037482306103698e+01,0.0000000000000000e+00,8.7331881564991454e-01,1.4673988857349940e-08,1.6287922296612681e-01,1.6531452207146913e-08,1.8004014454310363e-01,electron,high_s,high_theta_in,low_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,2.2244176040528347e+00,1.5707949999999999e+00,4.5160394395353274e+00,4.5160394395353274e+00,1.3744467859455343e+00,2.5000000000000000e-01,4.7123889803846897e+00,1.6877938307926199e-01,6.7836334686356220e-02,-1.9015015966547030e-01,3.1991026847146382e+00,1.2056784741599957e-01,0.0000000000000000e+00,1.0685404824556358e-02,1.6531452207146913e-08,1.0685404824556358e-02,1.6531452207146913e-08
C_e_gamma,C_{e\gamma},Tx_electron,enhanced_region_0,0,22,9.9998013777671424e-01,5.0000000041705772e-01,high_s_high_theta_in_high_Egamma,8.8817841970012523e-16,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,3.9269908169872414e+00,5.4977871437821380e+00,1.8000000000000000e+00,1.8000000000000000e+00,4.4178646691106467e+00,5.0069132916587327e+00,9.0929191144625970e-03,2.0685894109413638e+00,5.4423346183891117e-04,1.2101721683033714e-01,-2.8984908623096062e+00,-4.7233631439667662e-02,1.5904602668955981e+01,1.7578505660581023e+01,8.0964115095507494e-01,8.3599985646015773e-01,0.0000000000000000e+00,7.6628606955579016e+01,8.8817841970012523e-16,1.3374214925914822e+00,1.0565272018370209e-07,1.1727304053561132e+00,5.5371859320254939e-07,8.3695204953035285e-01,electron,high_s,high_theta_in,high_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,2.2244174783670059e+00,1.5707949999999999e+00,4.6142142099600090e+00,4.6142142099600090e+00,1.4726215563702159e+00,1.8000000000000000e+00,4.7123889803846897e+00,9.0929191144630064e-03,5.4423346183893567e-04,-4.7652266581015797e-02,1.7578505660581023e+01,8.0964115095507494e-01,0.0000000000000000e+00,1.9280227451869532e-02,5.5371859320254939e-07,1.9280227451869532e-02,5.5371859320254939e-07
C_e_gamma,C_{e\gamma},Tx_electron,enhanced_region_1,1,28,9.9996450809082438e-01,5.0000000041703108e-01,high_s_high_theta_in_mid_Egamma,0.0000000000000000e+00,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,3.9269908169872414e+00,5.4977871437821380e+00,1.0000000000000000e+00,1.0000000000000000e+00,4.1233403578366037e+00,5.3014376029327757e+00,2.6230007135884185e-02,2.8324197199277714e+00,2.8194411403310083e-03,2.6138680662806912e-01,-2.8984909986133753e+00,-4.7558037249320680e-02,8.8835477878591416e+00,1.0156878657862487e+01,4.5082694236859233e-01,5.2687014070477078e-01,0.0000000000000000e+00,5.7829596663980730e+01,0.0000000000000000e+00,1.0093168668867927e+00,5.8695955429399760e-08,6.5151689186450723e-01,1.0663025395984960e-07,6.3666554163106093e-01,electron,high_s,high_theta_in,mid_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,2.2244175829719559e+00,1.5707949999999999e+00,4.6142142099600090e+00,4.6142142099600090e+00,1.4726215563702159e+00,1.0000000000000000e+00,4.7123889803846897e+00,2.6230007135884477e-02,2.8194411403310395e-03,-4.7652268821897999e-02,1.0156878657862487e+01,4.5082694236859233e-01,0.0000000000000000e+00,1.0711237473260709e-02,1.0663025395984960e-07,1.0711237473260709e-02,1.0663025395984960e-07
C_e_gamma,C_{e\gamma},Tx_electron,enhanced_region_2,2,30,9.9958384631493680e-01,5.0000000132337752e-01,high_s_high_theta_in_low_Egamma,0.0000000000000000e+00,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,3.9269908169872414e+00,5.4977871437821380e+00,2.5000000000000000e-01,2.5000000000000000e-01,4.0251655874119221e+00,5.3996123733574573e+00,4.2296683599773927e-02,2.5727326132131210e+00,1.7910519553036641e-02,5.5014417932659510e-01,-2.8984910260824699e+00,-4.7637227843990951e-02,2.9188525056082439e+00,3.1991026847146382e+00,1.1443862173854513e-01,2.3706102732259729e-01,0.0000000000000000e+00,4.3912763252200889e+01,0.0000000000000000e+00,7.6642230239967812e-01,1.4673988857349940e-08,1.6287922296612681e-01,1.6531452207146913e-08,1.4012510608728221e-01,electron,high_s,high_theta_in,low_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,2.2244176040528347e+00,1.5707949999999999e+00,4.5160394395353274e+00,4.5160394395353274e+00,1.3744467859455343e+00,2.5000000000000000e-01,4.7123889803846897e+00,1.6877938307926199e-01,6.7836334686356220e-02,-1.9015015966547030e-01,3.1991026847146382e+00,1.2056784741599957e-01,0.0000000000000000e+00,1.0685404824556358e-02,1.6531452207146913e-08,1.0685404824556358e-02,1.6531452207146913e-08
C_e_gamma,C_{e\gamma},TxTx,enhanced_region_0,0,22,9.9997885961150790e-01,9.9999999999999978e-01,high_s_high_theta_in_high_Egamma,8.8817841970012523e-16,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,3.9269908169872414e+00,5.4977871437821380e+00,1.8000000000000000e+00,1.8000000000000000e+00,4.4178646691106467e+00,5.0069132916587327e+00,9.0929191144625970e-03,2.0685894109413638e+00,5.4423346183891117e-04,1.2101721683033714e-01,-2.8984908623096062e+00,-4.7233631439667662e-02,1.5904602668955981e+01,1.7578505660581023e+01,8.0964115095507494e-01,8.3599985646015773e-01,0.0000000000000000e+00,7.6628606955579016e+01,8.8817841970012523e-16,1.3374214925914822e+00,1.0565272018370209e-07,1.1727304053561132e+00,5.5371859320254939e-07,8.3695204953035285e-01,electron,high_s,high_theta_in,high_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,2.2244174783670059e+00,1.5707949999999999e+00,4.6142142099600090e+00,4.6142142099600090e+00,1.4726215563702159e+00,1.8000000000000000e+00,4.7123889803846897e+00,9.0929191144630064e-03,5.4423346183893567e-04,-4.7652266581015797e-02,1.7578505660581023e+01,8.0964115095507494e-01,0.0000000000000000e+00,1.9280227451869532e-02,5.5371859320254939e-07,1.9280227451869532e-02,5.5371859320254939e-07
