detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,selected_purity,pair_delta_xy,kinematic_point,incoming_state,initial_component,ensemble_weight,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,weighted_abs2,fraction,decomposition_rank,retained_fraction_total
w_purity_lepton_muon_L_proton_Ty_region_3,enhanced_cluster,W_purity,P_W,lepton_muon_L_proton_Ty,enhanced_region_3,3,3.4204413418363139e-01,9.9999999999999967e-01,nan,high_s_high_theta_in_low_Egamma,"$|L_{\mu}\rangle\otimes|T_{y,p}\rangle$","electron L, proton Ty",1.0000000000000000e+00,4,1,-1,-1,2.3366022601721239e+00,-6.4853822375516978e-01,2.4249354527312654e+00,-2.7074104552862499e-01,5.8803119499129872e+00,5.8803119499129872e+00,7.9852291272100556e-02,4,9.9998550090016258e-01
w_purity_lepton_muon_L_proton_Ty_region_3,enhanced_cluster,W_purity,P_W,lepton_muon_L_proton_Ty,enhanced_region_3,3,3.4204413418363139e-01,9.9999999999999967e-01,nan,high_s_high_theta_in_low_Egamma,"$|L_{\mu}\rangle\otimes|T_{y,p}\rangle$","electron L, proton Ty",1.0000000000000000e+00,7,1,1,1,-7.5655923095858868e-01,1.5660928324889558e+00,1.7392609435970012e+00,2.0208222929523467e+00,3.0250286299219309e+00,3.0250286299219309e+00,4.1078682444142048e-02,5,9.9998550090016258e-01
w_purity_lepton_muon_L_proton_Ty_region_3,enhanced_cluster,W_purity,P_W,lepton_muon_L_proton_Ty,enhanced_region_3,3,3.4204413418363139e-01,9.9999999999999967e-01,nan,high_s_high_theta_in_low_Egamma,"$|L_{\mu}\rangle\otimes|T_{y,p}\rangle$","electron L, proton Ty",1.0000000000000000e+00,6,1,1,-1,7.2773906415121092e-01,-1.4361992923558649e+00,1.6100535869514305e+00,-1.1017937415270580e+00,2.5922725528551678e+00,2.5922725528551678e+00,3.5202027496232677e-02,6,9.9998550090016258e-01
w_purity_low_egamma_lty_region_0,egamma_region_max,W_purity,P_W,lepton_muon_L_proton_Ty,low_Egamma_lepton_muon_L_proton_Ty_region_0,0,4.0885618502852322e-01,9.9999999999999967e-01,nan,high_s_high_theta_in_low_Egamma,"$|L_{\mu}\rangle\otimes|T_{y,p}\rangle$","electron L, proton Ty",1.0000000000000000e+00,1,-1,-1,1,-3.2080894323969273e+00,-6.2424990586090345e-01,3.2682603554833554e+00,-2.9494080565745002e+00,1.0681525751224189e+01,1.0681525751224189e+01,8.1190197626851324e-01,1,9.8069387474881675e-01
w_purity_low_egamma_lty_region_0,egamma_region_max,W_purity,P_W,lepton_muon_L_proton_Ty,low_Egamma_lepton_muon_L_proton_Ty_region_0,0,4.0885618502852322e-01,9.9999999999999967e-01,nan,high_s_high_theta_in_low_Egamma,"$|L_{\mu}\rangle\otimes|T_{y,p}\rangle$","electron L, proton Ty",1.0000000000000000e+00,5,1,-1,1,8.6226330661681216e-01,1.1174136907988637e-01,8.6947348637069211e-01,1.2887255775178730e-01,7.5598414350160614e-01,7.5598414350160614e-01,5.7462298404913612e-02,2,9.8069387474881675e-01
w_purity_low_egamma_lty_region_0,egamma_region_max,W_purity,P_W,lepton_muon_L_proton_Ty,low_Egamma_lepton_muon_L_proton_Ty_region_0,0,4.0885618502852322e-01,9.9999999999999967e-01,nan,high_s_high_theta_in_low_Egamma,"$|L_{\mu}\rangle\otimes|T_{y,p}\rangle$","electron L, proton Ty",1.0000000000000000e+00,3,-1,1,1,3.1821953587326857e-01,7.2460859130064537e-01,7.9140462697542036e-01,1.1569929295176942e+00,6.2632128359810424e-01,6.2632128359810424e-01,4.7606634087274780e-02,3,9.8069387474881675e-01
w_purity_low_egamma_lty_region_0,egamma_region_max,W_purity,P_W,lepton_muon_L_proton_Ty,low_Egamma_lepton_muon_L_proton_Ty_region_0,0,4.0885618502852322e-01,9.9999999999999967e-01,nan,high_s_high_theta_in_low_Egamma,"$|L_{\mu}\rangle\otimes|T_{y,p}\rangle$","electron L, proton Ty",1.0000000000000000e+00,4,1,-1,-1,-7.3791562134170996e-01,-1.0240130378564981e-01,7.4498690675549650e-01,-3.0037022695529507e+00,5.5500549123712284e-01,5.5500549123712284e-01,4.2185926025001950e-02,4,9.8069387474881675e-01
w_purity_low_egamma_lty_region_0,egamma_region_max,W_purity,P_W,lepton_muon_L_proton_Ty,low_Egamma_lepton_muon_L_proton_Ty_region_0,0,4.0885618502852322e-01,9.9999999999999967e-01,nan,high_s_high_theta_in_low_Egamma,"$|L_{\mu}\rangle\otimes|T_{y,p}\rangle$","electron L, proton Ty",1.0000000000000000e+00,7,1,1,1,-3.9439647168505731e-01,-3.5748639625939038e-01,5.3230170053095649e-01,-2.4052453072567719e+00,2.8334510038814809e-01,2.8334510038814809e-01,2.1537039963113163e-02,5,9.8069387474881675e-01
w_purity_low_egamma_lty_region_1,egamma_region_max,W_purity,P_W,lepton_muon_L_proton_Ty,low_Egamma_lepton_muon_L_proton_Ty_region_1,1,3.4780312919411110e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_low_Egamma,"$|L_{\mu}\rangle\otimes|T_{y,p}\rangle$","electron L, proton Ty",1.0000000000000000e+00,1,-1,-1,1,-1.8139416593240756e-01,1.9347406248066464e-03,1.8140448355980368e-01,3.1309271106659851e+00,3.2907586655599085e-02,3.2907586655599085e-02,9.7436366119452156e-01,1,9.7436366119452156e-01
w_purity_low_egamma_lty_region_2,egamma_region_max,W_purity,P_W,lepton_muon_L_proton_Ty,low_Egamma_lepton_muon_L_proton_Ty_region_2,2,3.4204413418363139e-01,9.9999999999999967e-01,nan,high_s_high_theta_in_low_Egamma,"$|L_{\mu}\rangle\otimes|T_{y,p}\rangle$","electron L, proton Ty",1.0000000000000000e+00,1,-1,-1,1,6.0422198745391462e+00,-1.6291914922283872e+00,6.2580097419726997e+00,-2.6337122366105875e-01,3.9162685930625216e+01,3.9162685930625216e+01,5.3181365726292018e-01,1,9.9998550090016258e-01
