panel_index,mode,x_name,y_name,x_label,y_label,retained_minima,polarization_clusters,representative_minima,example_polarization_cluster,objective_name,objective_absolute_cut,global_minimum,plot_path,example_source,example_local_minimum_id
0,clustered,,,,,2019,3,3,,one_minus_C_p_gamma,0.01,8.163469900068776e-13,Output\CartesianGradientPhaseSpaceScan\electron\Plots\CPGAMMA\polarization_correlations\without_contours\clustered\00_summary_CPGAMMA.pdf,,
1,clustered,sqrt_s,qOut,$\sqrt{s}$ [GeV],$E_\gamma$ [GeV],2019,3,3,,one_minus_C_p_gamma,0.01,8.163469900068776e-13,Output\CartesianGradientPhaseSpaceScan\electron\Plots\CPGAMMA\polarization_correlations\without_contours\clustered\01_qOut_vs_sqrt_s_clustered_CPGAMMA.pdf,,
2,clustered,sqrt_s,theta_gamma_out,$\sqrt{s}$ [GeV],$\theta_\gamma$,2019,3,3,,one_minus_C_p_gamma,0.01,8.163469900068776e-13,Output\CartesianGradientPhaseSpaceScan\electron\Plots\CPGAMMA\polarization_correlations\without_contours\clustered\02_theta_gamma_out_vs_sqrt_s_clustered_CPGAMMA.pdf,,
3,clustered,theta_p_out,theta_gamma_out,$\theta_{p'}$,$\theta_\gamma$,2019,3,3,,one_minus_C_p_gamma,0.01,8.163469900068776e-13,Output\CartesianGradientPhaseSpaceScan\electron\Plots\CPGAMMA\polarization_correlations\without_contours\clustered\03_theta_gamma_out_vs_theta_p_out_clustered_CPGAMMA.pdf,,
4,clustered,theta_p_out,qOut,$\theta_{p'}$,$E_\gamma$ [GeV],2019,3,3,,one_minus_C_p_gamma,0.01,8.163469900068776e-13,Output\CartesianGradientPhaseSpaceScan\electron\Plots\CPGAMMA\polarization_correlations\without_contours\clustered\04_qOut_vs_theta_p_out_clustered_CPGAMMA.pdf,,
5,clustered,theta_gamma_out,qOut,$\theta_\gamma$,$E_\gamma$ [GeV],2019,3,3,,one_minus_C_p_gamma,0.01,8.163469900068776e-13,Output\CartesianGradientPhaseSpaceScan\electron\Plots\CPGAMMA\polarization_correlations\without_contours\clustered\05_qOut_vs_theta_gamma_out_clustered_CPGAMMA.pdf,,
6,clustered,phi_p_out,phi_gamma_out,$\phi_{p'}$,$\phi_\gamma$,2019,3,3,,one_minus_C_p_gamma,0.01,8.163469900068776e-13,Output\CartesianGradientPhaseSpaceScan\electron\Plots\CPGAMMA\polarization_correlations\without_contours\clustered\06_phi_gamma_out_vs_phi_p_out_clustered_CPGAMMA.pdf,,
7,clustered,alpha_e,alpha_p,$\alpha_e$,$\alpha_p$,2019,3,3,,one_minus_C_p_gamma,0.01,8.163469900068776e-13,Output\CartesianGradientPhaseSpaceScan\electron\Plots\CPGAMMA\polarization_correlations\without_contours\clustered\07_alpha_p_vs_alpha_e_clustered_CPGAMMA.pdf,,
8,clustered,sqrt_s,alpha_e,$\sqrt{s}$ [GeV],$\alpha_e$,2019,3,3,,one_minus_C_p_gamma,0.01,8.163469900068776e-13,Output\CartesianGradientPhaseSpaceScan\electron\Plots\CPGAMMA\polarization_correlations\without_contours\clustered\08_alpha_e_vs_sqrt_s_clustered_CPGAMMA.pdf,,
9,clustered,sqrt_s,alpha_p,$\sqrt{s}$ [GeV],$\alpha_p$,2019,3,3,,one_minus_C_p_gamma,0.01,8.163469900068776e-13,Output\CartesianGradientPhaseSpaceScan\electron\Plots\CPGAMMA\polarization_correlations\without_contours\clustered\09_alpha_p_vs_sqrt_s_clustered_CPGAMMA.pdf,,
0,unclustered,,,,,2019,3,0,,one_minus_C_p_gamma,0.01,8.163469900068776e-13,Output\CartesianGradientPhaseSpaceScan\electron\Plots\CPGAMMA\polarization_correlations\without_contours\unclustered\00_summary_CPGAMMA.pdf,,
1,unclustered,sqrt_s,qOut,$\sqrt{s}$ [GeV],$E_\gamma$ [GeV],2019,3,0,,one_minus_C_p_gamma,0.01,8.163469900068776e-13,Output\CartesianGradientPhaseSpaceScan\electron\Plots\CPGAMMA\polarization_correlations\without_contours\unclustered\01_qOut_vs_sqrt_s_unclustered_CPGAMMA.pdf,,
2,unclustered,sqrt_s,theta_gamma_out,$\sqrt{s}$ [GeV],$\theta_\gamma$,2019,3,0,,one_minus_C_p_gamma,0.01,8.163469900068776e-13,Output\CartesianGradientPhaseSpaceScan\electron\Plots\CPGAMMA\polarization_correlations\without_contours\unclustered\02_theta_gamma_out_vs_sqrt_s_unclustered_CPGAMMA.pdf,,
3,unclustered,theta_p_out,theta_gamma_out,$\theta_{p'}$,$\theta_\gamma$,2019,3,0,,one_minus_C_p_gamma,0.01,8.163469900068776e-13,Output\CartesianGradientPhaseSpaceScan\electron\Plots\CPGAMMA\polarization_correlations\without_contours\unclustered\03_theta_gamma_out_vs_theta_p_out_unclustered_CPGAMMA.pdf,,
4,unclustered,theta_p_out,qOut,$\theta_{p'}$,$E_\gamma$ [GeV],2019,3,0,,one_minus_C_p_gamma,0.01,8.163469900068776e-13,Output\CartesianGradientPhaseSpaceScan\electron\Plots\CPGAMMA\polarization_correlations\without_contours\unclustered\04_qOut_vs_theta_p_out_unclustered_CPGAMMA.pdf,,
5,unclustered,theta_gamma_out,qOut,$\theta_\gamma$,$E_\gamma$ [GeV],2019,3,0,,one_minus_C_p_gamma,0.01,8.163469900068776e-13,Output\CartesianGradientPhaseSpaceScan\electron\Plots\CPGAMMA\polarization_correlations\without_contours\unclustered\05_qOut_vs_theta_gamma_out_unclustered_CPGAMMA.pdf,,
6,unclustered,phi_p_out,phi_gamma_out,$\phi_{p'}$,$\phi_\gamma$,2019,3,0,,one_minus_C_p_gamma,0.01,8.163469900068776e-13,Output\CartesianGradientPhaseSpaceScan\electron\Plots\CPGAMMA\polarization_correlations\without_contours\unclustered\06_phi_gamma_out_vs_phi_p_out_unclustered_CPGAMMA.pdf,,
7,unclustered,alpha_e,alpha_p,$\alpha_e$,$\alpha_p$,2019,3,0,,one_minus_C_p_gamma,0.01,8.163469900068776e-13,Output\CartesianGradientPhaseSpaceScan\electron\Plots\CPGAMMA\polarization_correlations\without_contours\unclustered\07_alpha_p_vs_alpha_e_unclustered_CPGAMMA.pdf,,
8,unclustered,sqrt_s,alpha_e,$\sqrt{s}$ [GeV],$\alpha_e$,2019,3,0,,one_minus_C_p_gamma,0.01,8.163469900068776e-13,Output\CartesianGradientPhaseSpaceScan\electron\Plots\CPGAMMA\polarization_correlations\without_contours\unclustered\08_alpha_e_vs_sqrt_s_unclustered_CPGAMMA.pdf,,
9,unclustered,sqrt_s,alpha_p,$\sqrt{s}$ [GeV],$\alpha_p$,2019,3,0,,one_minus_C_p_gamma,0.01,8.163469900068776e-13,Output\CartesianGradientPhaseSpaceScan\electron\Plots\CPGAMMA\polarization_correlations\without_contours\unclustered\09_alpha_p_vs_sqrt_s_unclustered_CPGAMMA.pdf,,
