detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,selected_purity,pair_delta_xy,kinematic_point,momentum,E,px,py,pz,p_abs,phi_xy,s,sqrt_s,pIn,pOut,theta_in,phi_in,qOut,phiOut,Q2,xB,t,W2,y
w_purity_lepton_muon_unpolarized_proton_unpolarized_region_0,enhanced_cluster,W_purity,P_W,lepton_muon_unpolarized_proton_unpolarized,enhanced_region_0,0,2.8412746775660153e-01,3.2469609042482728e-01,nan,high_s_high_theta_in_high_Egamma,k,2.2256210070511226e+00,-1.3612632509806759e-16,-2.2231115974474278e+00,-2.9496131222404812e-06,2.2231115974493845e+00,4.7123889803846897e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,2.1941512209945722e+00,1.5707949999999999e+00,1.5707963267948966e+00,1.8000000000000000e+00,4.8105637508093704e+00,1.9984494154614071e-01,1.2001820173745039e-02,-1.2816328810561129e-04,1.7331218511259678e+01,8.0733825977566920e-01
w_purity_lepton_muon_unpolarized_proton_unpolarized_region_0,enhanced_cluster,W_purity,P_W,lepton_muon_unpolarized_proton_unpolarized,enhanced_region_0,0,2.8412746775660153e-01,3.2469609042482728e-01,nan,high_s_high_theta_in_high_Egamma,p,2.4128964285095109e+00,1.3612632509806759e-16,2.2231115974474278e+00,2.9496131222404812e-06,2.2231115974493845e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,2.1941512209945722e+00,1.5707949999999999e+00,1.5707963267948966e+00,1.8000000000000000e+00,4.8105637508093704e+00,1.9984494154614071e-01,1.2001820173745039e-02,-1.2816328810561129e-04,1.7331218511259678e+01,8.0733825977566920e-01
w_purity_lepton_muon_unpolarized_proton_unpolarized_region_0,enhanced_cluster,W_purity,P_W,lepton_muon_unpolarized_proton_unpolarized,enhanced_region_0,0,2.8412746775660153e-01,3.2469609042482728e-01,nan,high_s_high_theta_in_high_Egamma,kp,4.5227696557601643e-01,-1.7643085259320818e-01,-4.0281871298461769e-01,0.0000000000000000e+00,4.3976216444499877e-01,4.2995667415335586e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,2.1941512209945722e+00,1.5707949999999999e+00,1.5707963267948966e+00,1.8000000000000000e+00,4.8105637508093704e+00,1.9984494154614071e-01,1.2001820173745039e-02,-1.2816328810561129e-04,1.7331218511259678e+01,8.0733825977566920e-01
w_purity_lepton_muon_unpolarized_proton_unpolarized_region_0,enhanced_cluster,W_purity,P_W,lepton_muon_unpolarized_proton_unpolarized,enhanced_region_0,0,2.8412746775660153e-01,3.2469609042482728e-01,nan,high_s_high_theta_in_high_Egamma,pp,2.3862404699845259e+00,0.0000000000000000e+00,2.1941512209945722e+00,0.0000000000000000e+00,2.1941512209945722e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,2.1941512209945722e+00,1.5707949999999999e+00,1.5707963267948966e+00,1.8000000000000000e+00,4.8105637508093704e+00,1.9984494154614071e-01,1.2001820173745039e-02,-1.2816328810561129e-04,1.7331218511259678e+01,8.0733825977566920e-01
w_purity_lepton_muon_unpolarized_proton_unpolarized_region_0,enhanced_cluster,W_purity,P_W,lepton_muon_unpolarized_proton_unpolarized,enhanced_region_0,0,2.8412746775660153e-01,3.2469609042482728e-01,nan,high_s_high_theta_in_high_Egamma,qout,1.8000000000000000e+00,1.7643085259320818e-01,-1.7913325080099545e+00,0.0000000000000000e+00,1.8000000000000000e+00,4.8105637508093704e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,2.1941512209945722e+00,1.5707949999999999e+00,1.5707963267948966e+00,1.8000000000000000e+00,4.8105637508093704e+00,1.9984494154614071e-01,1.2001820173745039e-02,-1.2816328810561129e-04,1.7331218511259678e+01,8.0733825977566920e-01
w_purity_lepton_muon_unpolarized_proton_unpolarized_region_1,enhanced_cluster,W_purity,P_W,lepton_muon_unpolarized_proton_unpolarized,enhanced_region_1,1,2.7712153506068393e-01,3.0339975979349898e-01,nan,high_s_high_theta_in_mid_Egamma,k,2.2256210070511226e+00,-1.3612632509806759e-16,-2.2231115974474278e+00,-2.9496131222404812e-06,2.2231115974493845e+00,4.7123889803846897e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,2.1820196521588153e+00,1.5707949999999999e+00,1.5707963267948966e+00,1.0000000000000000e+00,5.0069132916587327e+00,1.5451665065499298e-01,1.7015711086510808e-02,-2.5924190551598273e-04,9.8061497651349576e+00,4.4028579331830187e-01
w_purity_lepton_muon_unpolarized_proton_unpolarized_region_1,enhanced_cluster,W_purity,P_W,lepton_muon_unpolarized_proton_unpolarized,enhanced_region_1,1,2.7712153506068393e-01,3.0339975979349898e-01,nan,high_s_high_theta_in_mid_Egamma,p,2.4128964285095109e+00,1.3612632509806759e-16,2.2231115974474278e+00,2.9496131222404812e-06,2.2231115974493845e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,2.1820196521588153e+00,1.5707949999999999e+00,1.5707963267948966e+00,1.0000000000000000e+00,5.0069132916587327e+00,1.5451665065499298e-01,1.7015711086510808e-02,-2.5924190551598273e-04,9.8061497651349576e+00,4.4028579331830187e-01
w_purity_lepton_muon_unpolarized_proton_unpolarized_region_1,enhanced_cluster,W_purity,P_W,lepton_muon_unpolarized_proton_unpolarized,enhanced_region_1,1,2.7712153506068393e-01,3.0339975979349898e-01,nan,high_s_high_theta_in_mid_Egamma,kp,1.2634271715054679e+00,-2.9028467725446205e-01,-1.2250793164266063e+00,0.0000000000000000e+00,1.2590014000726957e+00,4.4797282283895097e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,2.1820196521588153e+00,1.5707949999999999e+00,1.5707963267948966e+00,1.0000000000000000e+00,5.0069132916587327e+00,1.5451665065499298e-01,1.7015711086510808e-02,-2.5924190551598273e-04,9.8061497651349576e+00,4.4028579331830187e-01
w_purity_lepton_muon_unpolarized_proton_unpolarized_region_1,enhanced_cluster,W_purity,P_W,lepton_muon_unpolarized_proton_unpolarized,enhanced_region_1,1,2.7712153506068393e-01,3.0339975979349898e-01,nan,high_s_high_theta_in_mid_Egamma,pp,2.3750902640546689e+00,0.0000000000000000e+00,2.1820196521588153e+00,0.0000000000000000e+00,2.1820196521588153e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,2.1820196521588153e+00,1.5707949999999999e+00,1.5707963267948966e+00,1.0000000000000000e+00,5.0069132916587327e+00,1.5451665065499298e-01,1.7015711086510808e-02,-2.5924190551598273e-04,9.8061497651349576e+00,4.4028579331830187e-01
w_purity_lepton_muon_unpolarized_proton_unpolarized_region_1,enhanced_cluster,W_purity,P_W,lepton_muon_unpolarized_proton_unpolarized,enhanced_region_1,1,2.7712153506068393e-01,3.0339975979349898e-01,nan,high_s_high_theta_in_mid_Egamma,qout,1.0000000000000000e+00,2.9028467725446205e-01,-9.5694033573220894e-01,0.0000000000000000e+00,1.0000000000000000e+00,5.0069132916587327e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,2.1820196521588153e+00,1.5707949999999999e+00,1.5707963267948966e+00,1.0000000000000000e+00,5.0069132916587327e+00,1.5451665065499298e-01,1.7015711086510808e-02,-2.5924190551598273e-04,9.8061497651349576e+00,4.4028579331830187e-01
