detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,selected_purity,pair_delta_xy,kinematic_point,incoming_state,initial_component,ensemble_weight,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,weighted_abs2,fraction,decomposition_rank,retained_fraction_total
f3_L_lepton_region_3,enhanced_cluster,F3,F_3,lepton_heavy_L_proton_unpolarized,enhanced_region_3,3,0.0000000000000000e+00,6.7418915643835742e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_{\ell},h_p)$","electron L, proton h=+1",5.0000000000000000e-01,4,1,-1,-1,-5.5603596406390725e-02,2.0721285672505316e-03,5.5642193074356833e-02,3.1043438015569995e+00,3.0960536501240033e-03,1.5480268250620017e-03,2.4007913249223814e-02,7,9.6624228114200739e-01
f3_L_lepton_region_3,enhanced_cluster,F3,F_3,lepton_heavy_L_proton_unpolarized,enhanced_region_3,3,0.0000000000000000e+00,6.7418915643835742e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_{\ell},h_p)$","electron L, proton h=-1",5.0000000000000000e-01,6,1,1,-1,-2.0591021412897752e-03,-5.5252072071257041e-02,5.5290427469821997e-02,-1.6080465074514174e+00,3.0570313697956468e-03,1.5285156848978234e-03,2.3705320456339697e-02,8,9.6624228114200739e-01
f3_low_egamma_l_lepton_region_0,egamma_region_max,F3,F_3,lepton_heavy_L_proton_unpolarized,low_Egamma_L_lepton_region_0,0,0.0000000000000000e+00,5.6370662068734434e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_{\ell},h_p)$","electron L, proton h=+1",5.0000000000000000e-01,7,1,1,1,-1.4562206271284156e-01,-9.2489181444830332e-03,1.4591548113749311e-01,-3.0781646845401505e+00,2.1291327635586110e-02,1.0645663817793055e-02,2.9916197388716048e-01,1,9.2973700177378726e-01
f3_low_egamma_l_lepton_region_0,egamma_region_max,F3,F_3,lepton_heavy_L_proton_unpolarized,low_Egamma_L_lepton_region_0,0,0.0000000000000000e+00,5.6370662068734434e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_{\ell},h_p)$","electron L, proton h=+1",5.0000000000000000e-01,6,1,1,-1,1.3987963269953799e-01,8.8802035362746824e-03,1.4016122737406134e-01,6.3399525602037710e-02,1.9645169659003321e-02,9.8225848295016606e-03,2.7603199918415061e-01,2,9.2973700177378726e-01
f3_low_egamma_l_lepton_region_0,egamma_region_max,F3,F_3,lepton_heavy_L_proton_unpolarized,low_Egamma_L_lepton_region_0,0,0.0000000000000000e+00,5.6370662068734434e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_{\ell},h_p)$","electron L, proton h=-1",5.0000000000000000e-01,1,-1,-1,1,6.5257983277225108e-03,1.0277528625806565e-01,1.0298225822558681e-01,1.5073856600435687e+00,1.0605345509241441e-02,5.3026727546207205e-03,1.4901447906879967e-01,3,9.2973700177378726e-01
f3_low_egamma_l_lepton_region_0,egamma_region_max,F3,F_3,lepton_heavy_L_proton_unpolarized,low_Egamma_L_lepton_region_0,0,0.0000000000000000e+00,5.6370662068734434e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_{\ell},h_p)$","electron L, proton h=-1",5.0000000000000000e-01,5,1,-1,1,-4.7786796934745314e-03,7.5241262106602952e-02,7.5392859761434644e-02,1.6342225614268371e+00,5.6840833030073513e-03,2.8420416515036757e-03,7.9866394889560377e-02,4,9.2973700177378726e-01
f3_low_egamma_l_lepton_region_0,egamma_region_max,F3,F_3,lepton_heavy_L_proton_unpolarized,low_Egamma_L_lepton_region_0,0,0.0000000000000000e+00,5.6370662068734434e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_{\ell},h_p)$","electron L, proton h=-1",5.0000000000000000e-01,4,1,-1,-1,3.6211670110340532e-03,-5.7038938668588446e-02,5.7153769560378043e-02,-1.5073955370682182e+00,3.2665533749607957e-03,1.6332766874803978e-03,4.5897962409244389e-02,5,9.2973700177378726e-01
f3_low_egamma_l_lepton_region_0,egamma_region_max,F3,F_3,lepton_heavy_L_proton_unpolarized,low_Egamma_L_lepton_region_0,0,0.0000000000000000e+00,5.6370662068734434e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_{\ell},h_p)$","electron L, proton h=+1",5.0000000000000000e-01,3,-1,1,1,-4.7420384867463312e-02,3.0109125616693947e-03,4.7515876246075499e-02,3.0781837173389262e+00,2.2577584954323617e-03,1.1288792477161809e-03,3.1723502621092303e-02,6,9.2973700177378726e-01
f3_low_egamma_l_lepton_region_0,egamma_region_max,F3,F_3,lepton_heavy_L_proton_unpolarized,low_Egamma_L_lepton_region_0,0,0.0000000000000000e+00,5.6370662068734434e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_{\ell},h_p)$","electron L, proton h=+1",5.0000000000000000e-01,5,1,-1,1,-4.1790544063711695e-02,-2.6542635852684062e-03,4.1874750009058090e-02,-3.0781643544330879e+00,1.7534946883211106e-03,8.7674734416055529e-04,2.4638150383915879e-02,7,9.2973700177378726e-01
f3_low_egamma_l_lepton_region_0,egamma_region_max,F3,F_3,lepton_heavy_L_proton_unpolarized,low_Egamma_L_lepton_region_0,0,0.0000000000000000e+00,5.6370662068734434e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_{\ell},h_p)$","electron L, proton h=-1",5.0000000000000000e-01,7,1,1,1,2.5867928785280837e-03,-4.0729164935029878e-02,4.0811228524773313e-02,-1.5073694656891865e+00,1.6655563737012710e-03,8.3277818685063550e-04,2.3402539329863487e-02,8,9.2973700177378726e-01
f3_low_egamma_l_lepton_region_1,egamma_region_max,F3,F_3,lepton_heavy_L_proton_unpolarized,low_Egamma_L_lepton_region_1,1,0.0000000000000000e+00,7.0572869839919261e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_{\ell},h_p)$","electron L, proton h=+1",5.0000000000000000e-01,7,1,1,1,2.0573401829727173e-01,2.3989223027156589e-03,2.0574800391001757e-01,1.1659780963925734e-02,4.2332241112956609e-02,2.1166120556478304e-02,4.2257747874757590e-01,1,9.8335424235586522e-01
f3_low_egamma_l_lepton_region_1,egamma_region_max,F3,F_3,lepton_heavy_L_proton_unpolarized,low_Egamma_L_lepton_region_1,1,0.0000000000000000e+00,7.0572869839919261e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_{\ell},h_p)$","electron L, proton h=+1",5.0000000000000000e-01,6,1,1,-1,-1.7783576487585750e-01,-2.0741466830362302e-03,1.7784786013175424e-01,-3.1299299116091155e+00,3.1629861353444019e-02,1.5814930676722010e-02,3.1574201394650037e-01,2,9.8335424235586522e-01
f3_low_egamma_l_lepton_region_1,egamma_region_max,F3,F_3,lepton_heavy_L_proton_unpolarized,low_Egamma_L_lepton_region_1,1,0.0000000000000000e+00,7.0572869839919261e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_{\ell},h_p)$","electron L, proton h=-1",5.0000000000000000e-01,4,1,-1,-1,-1.0479387117680126e-03,8.9838975119383796e-02,8.9845086821956396e-02,1.5824604312157073e+00,8.0721396260448833e-03,4.0360698130224417e-03,8.0579348543595344e-02,3,9.8335424235586522e-01
f3_low_egamma_l_lepton_region_1,egamma_region_max,F3,F_3,lepton_heavy_L_proton_unpolarized,low_Egamma_L_lepton_region_1,1,0.0000000000000000e+00,7.0572869839919261e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_{\ell},h_p)$","electron L, proton h=-1",5.0000000000000000e-01,5,1,-1,1,8.9367127556814704e-04,-7.6633472517912526e-02,7.6638683173071487e-02,-1.5591352244291872e+00,5.8734877585024303e-03,2.9367438792512151e-03,5.8631520164970488e-02,4,9.8335424235586522e-01
f3_low_egamma_l_lepton_region_1,egamma_region_max,F3,F_3,lepton_heavy_L_proton_unpolarized,low_Egamma_L_lepton_region_1,1,0.0000000000000000e+00,7.0572869839919261e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_{\ell},h_p)$","electron L, proton h=+1",5.0000000000000000e-01,5,1,-1,1,5.4821866225670243e-02,6.3931258753207210e-04,5.4825593813928368e-02,1.1661106289795541e-02,3.0058457370498604e-03,1.5029228685249302e-03,3.0005562655597479e-02,5,9.8335424235586522e-01
f3_low_egamma_l_lepton_region_1,egamma_region_max,F3,F_3,lepton_heavy_L_proton_unpolarized,low_Egamma_L_lepton_region_1,1,0.0000000000000000e+00,7.0572869839919261e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_{\ell},h_p)$","electron L, proton h=-1",5.0000000000000000e-01,7,1,1,1,-5.9643115030768592e-04,5.1150550412114026e-02,5.1154027579255926e-02,1.5824561059545821e+00,2.6167345375792757e-03,1.3083672687896378e-03,2.6121297960374483e-02,6,9.8335424235586522e-01
f3_low_egamma_l_lepton_region_1,egamma_region_max,F3,F_3,lepton_heavy_L_proton_unpolarized,low_Egamma_L_lepton_region_1,1,0.0000000000000000e+00,7.0572869839919261e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_{\ell},h_p)$","electron L, proton h=+1",5.0000000000000000e-01,4,1,-1,-1,-5.1124322216009356e-02,-5.9634517066332578e-04,5.1127800163990253e-02,-3.1299285747292704e+00,2.6140519496089219e-03,1.3070259748044610e-03,2.6094519286927787e-02,7,9.8335424235586522e-01
f3_low_egamma_l_lepton_region_1,egamma_region_max,F3,F_3,lepton_heavy_L_proton_unpolarized,low_Egamma_L_lepton_region_1,1,0.0000000000000000e+00,7.0572869839919261e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_{\ell},h_p)$","electron L, proton h=-1",5.0000000000000000e-01,6,1,1,-1,5.6709100190069470e-04,-4.8621900756957701e-02,4.8625207715997272e-02,-1.5591335723372706e+00,2.3644108254238807e-03,1.1822054127119403e-03,2.3602501050323320e-02,8,9.8335424235586522e-01
