detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,selected_purity,pair_delta_xy,kinematic_point,momentum,E,px,py,pz,p_abs,phi_xy,s,sqrt_s,pIn,pOut,theta_in,phi_in,qOut,phiOut,Q2,xB,t,W2,y
c_ep_LL_region_0,enhanced_cluster,C_e_p,C_{mup},LL,enhanced_region_0,0,6.8843866110384888e-01,1.0000000000000000e+00,3.1305101633700536e+00,high_s_high_theta_in_low_Egamma,k,2.2256210070511226e+00,-2.1790304141527703e-01,2.2124067074675096e+00,-2.9496131222404812e-06,2.2231115974493845e+00,1.6689710972195770e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,1.9621944323473888e+00,1.5707949999999999e+00,4.8105637508093704e+00,2.5000000000000000e-01,1.6689710972195777e+00,1.9625061856175225e+01,9.9437270149472690e-01,-1.7418118898156123e+01,9.9090505495770465e-01,9.5691052363782625e-01
c_ep_LL_region_0,enhanced_cluster,C_e_p,C_{mup},LL,enhanced_region_0,0,6.8843866110384888e-01,1.0000000000000000e+00,3.1305101633700536e+00,high_s_high_theta_in_low_Egamma,p,2.4128964285095109e+00,2.1790304141527703e-01,-2.2124067074675096e+00,2.9496131222404812e-06,2.2231115974493845e+00,4.8105637508093704e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,1.9621944323473888e+00,1.5707949999999999e+00,4.8105637508093704e+00,2.5000000000000000e-01,1.6689710972195777e+00,1.9625061856175225e+01,9.9437270149472690e-01,-1.7418118898156123e+01,9.9090505495770465e-01,9.5691052363782625e-01
c_ep_LL_region_0,enhanced_cluster,C_e_p,C_{mup},LL,enhanced_region_0,0,6.8843866110384888e-01,1.0000000000000000e+00,3.1305101633700536e+00,high_s_high_theta_in_low_Egamma,kp,2.2136493958088894e+00,2.4504285082390161e-02,-2.2109906140154378e+00,0.0000000000000000e+00,2.2111263996551083e+00,4.7234714706044292e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,1.9621944323473888e+00,1.5707949999999999e+00,4.8105637508093704e+00,2.5000000000000000e-01,1.6689710972195777e+00,1.9625061856175225e+01,9.9437270149472690e-01,-1.7418118898156123e+01,9.9090505495770465e-01,9.5691052363782625e-01
c_ep_LL_region_0,enhanced_cluster,C_e_p,C_{mup},LL,enhanced_region_0,0,6.8843866110384888e-01,1.0000000000000000e+00,3.1305101633700536e+00,high_s_high_theta_in_low_Egamma,pp,2.1748680397520883e+00,0.0000000000000000e+00,1.9621944323473888e+00,0.0000000000000000e+00,1.9621944323473888e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,1.9621944323473888e+00,1.5707949999999999e+00,4.8105637508093704e+00,2.5000000000000000e-01,1.6689710972195777e+00,1.9625061856175225e+01,9.9437270149472690e-01,-1.7418118898156123e+01,9.9090505495770465e-01,9.5691052363782625e-01
c_ep_LL_region_0,enhanced_cluster,C_e_p,C_{mup},LL,enhanced_region_0,0,6.8843866110384888e-01,1.0000000000000000e+00,3.1305101633700536e+00,high_s_high_theta_in_low_Egamma,qout,2.5000000000000000e-01,-2.4504285082390161e-02,2.4879618166804923e-01,0.0000000000000000e+00,2.5000000000000000e-01,1.6689710972195777e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,1.9621944323473888e+00,1.5707949999999999e+00,4.8105637508093704e+00,2.5000000000000000e-01,1.6689710972195777e+00,1.9625061856175225e+01,9.9437270149472690e-01,-1.7418118898156123e+01,9.9090505495770465e-01,9.5691052363782625e-01
c_ep_LL_region_1,enhanced_cluster,C_e_p,C_{mup},LL,enhanced_region_1,1,6.1434608262962920e-01,1.0000000000000000e+00,2.7287704147386602e+00,high_s_high_theta_in_high_Egamma,k,2.2256210070511226e+00,-1.3612632509806759e-16,-2.2231115974474278e+00,-2.9496131222404812e-06,2.2231115974493845e+00,4.7123889803846897e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,2.1941512209945722e+00,1.5707949999999999e+00,1.5707963267948966e+00,1.8000000000000000e+00,4.6142142099600090e+00,1.9984494154614238e-01,1.2001820173745140e-02,-1.2816328810561129e-04,1.7331218511259671e+01,8.0733825977566920e-01
c_ep_LL_region_1,enhanced_cluster,C_e_p,C_{mup},LL,enhanced_region_1,1,6.1434608262962920e-01,1.0000000000000000e+00,2.7287704147386602e+00,high_s_high_theta_in_high_Egamma,p,2.4128964285095109e+00,1.3612632509806759e-16,2.2231115974474278e+00,2.9496131222404812e-06,2.2231115974493845e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,2.1941512209945722e+00,1.5707949999999999e+00,1.5707963267948966e+00,1.8000000000000000e+00,4.6142142099600090e+00,1.9984494154614238e-01,1.2001820173745140e-02,-1.2816328810561129e-04,1.7331218511259671e+01,8.0733825977566920e-01
c_ep_LL_region_1,enhanced_cluster,C_e_p,C_{mup},LL,enhanced_region_1,1,6.1434608262962920e-01,1.0000000000000000e+00,2.7287704147386602e+00,high_s_high_theta_in_high_Egamma,kp,4.5227696557601671e-01,1.7643085259320881e-01,-4.0281871298461769e-01,0.0000000000000000e+00,4.3976216444499905e-01,5.1252112192358226e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,2.1941512209945722e+00,1.5707949999999999e+00,1.5707963267948966e+00,1.8000000000000000e+00,4.6142142099600090e+00,1.9984494154614238e-01,1.2001820173745140e-02,-1.2816328810561129e-04,1.7331218511259671e+01,8.0733825977566920e-01
c_ep_LL_region_1,enhanced_cluster,C_e_p,C_{mup},LL,enhanced_region_1,1,6.1434608262962920e-01,1.0000000000000000e+00,2.7287704147386602e+00,high_s_high_theta_in_high_Egamma,pp,2.3862404699845259e+00,0.0000000000000000e+00,2.1941512209945722e+00,0.0000000000000000e+00,2.1941512209945722e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,2.1941512209945722e+00,1.5707949999999999e+00,1.5707963267948966e+00,1.8000000000000000e+00,4.6142142099600090e+00,1.9984494154614238e-01,1.2001820173745140e-02,-1.2816328810561129e-04,1.7331218511259671e+01,8.0733825977566920e-01
c_ep_LL_region_1,enhanced_cluster,C_e_p,C_{mup},LL,enhanced_region_1,1,6.1434608262962920e-01,1.0000000000000000e+00,2.7287704147386602e+00,high_s_high_theta_in_high_Egamma,qout,1.8000000000000000e+00,-1.7643085259320881e-01,-1.7913325080099545e+00,0.0000000000000000e+00,1.8000000000000000e+00,4.6142142099600090e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,2.1941512209945722e+00,1.5707949999999999e+00,1.5707963267948966e+00,1.8000000000000000e+00,4.6142142099600090e+00,1.9984494154614238e-01,1.2001820173745140e-02,-1.2816328810561129e-04,1.7331218511259671e+01,8.0733825977566920e-01
