spin_case,entanglement_mode,scan_parameterization,scan_x_name,scan_x_value,scan_y_name,scan_y_value,s,sqrt_s,pIn,pOut,qOut,theta_in,phi_in,phiOut,Q2,xB,t,F1,F2,W2,y,squared_amplitude_M2,spin_signal_M2,trace,normalized_by_squared_amplitude,entanglement_h_in,entanglement_s_in,C12,C13,C23,C1_23,C2_13,C3_12,F3,M1,M2,M3
transverse_Tx,Tx_h_in_plus_plus_h_in_minus_over_sqrt2,user_frame_independent,s,1.5491407679999998e+01,qOut,2.9999999999999999e-01,1.5491407679999998e+01,3.9359125600043505e+00,1.8561849961402406e+00,1.6828073846391449e+00,2.9999999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,7.4188251104480321e+00,8.6519240697604660e-01,-6.2538072062274583e+00,2.0262039646727580e-02,9.4572378748047151e-03,2.0357879821029909e+00,5.8684814851732725e-01,1.4190506563874804e+01,7.0952532819374019e+00,5.0000000000000000e-01,True,1,1,2.3460009498717421e-01,1.1994994127919684e-01,6.5551481801192132e-03,2.6675129181670604e-01,2.3835106892465396e-01,1.2712992024714531e-01,3.4973489146568129e-02,1.7310587050075373e-03,1.7310575218706669e-03,1.7310582414994384e-03
transverse_Tx,Tx_h_in_plus_plus_h_in_minus_over_sqrt2,user_frame_independent,s,1.6782358319999997e+01,qOut,2.9999999999999999e-01,1.6782358319999997e+01,4.0966276765163796e+00,1.9409274622587744e+00,1.7690374255446943e+00,2.9999999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,8.0873095812001541e+00,8.7066020188654647e-01,-6.8731713220279218e+00,1.7180955776419815e-02,7.5402319028729601e-03,2.0812437955194540e+00,5.8410319209947514e-01,1.0033416216271920e+01,5.0167081081359610e+00,5.0000000000000000e-01,True,1,1,2.3421794570061547e-01,1.1548669792252493e-01,6.3295192233332092e-03,2.6411491274819254e-01,2.3761223159790909e-01,1.2222398736997897e-01,3.3521318359262878e-02,1.5614636507203794e-03,1.5614637031233904e-03,1.5614628779697089e-03
transverse_Tx,Tx_h_in_plus_plus_h_in_minus_over_sqrt2,user_frame_independent,s,1.8073308959999999e+01,qOut,2.9999999999999999e-01,1.8073308959999999e+01,4.2512714521658115e+00,2.0221556249061430e+00,1.8515410179402194e+00,2.9999999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,8.7549434060180058e+00,8.7546862892926780e-01,-7.4937454313009582e+00,1.4727948060597226e-02,6.1015946341548442e-03,2.1251942843745835e+00,5.8163341209336938e-01,7.2620149785735091e+00,3.6310074892867541e+00,4.9999999999999983e-01,True,1,1,2.3338393550863018e-01,1.1148390137005063e-01,6.1082858831297097e-03,2.6136584521162937e-01,2.3647569606572585e-01,1.1781915177844263e-01,3.2160030774812838e-02,1.4153834250057659e-03,1.4153823198430537e-03,1.4153811046744820e-03
transverse_Tx,Tx_h_in_plus_plus_h_in_minus_over_sqrt2,user_frame_independent,s,1.9364259599999997e+01,qOut,2.9999999999999999e-01,1.9364259599999997e+01,4.4004840188324739e+00,2.1002707339571525e+00,1.9307630924636907e+00,2.9999999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,9.4218077742891033e+00,8.7974200188956631e-01,-8.1153718161423498e+00,1.2745037876316954e-02,5.0013393915817233e-03,2.1677758471593913e+00,5.7939292500264350e-01,5.3636041000701224e+00,2.6818020500350603e+00,4.9999999999999989e-01,True,1,1,2.3222444809865458e-01,1.0786737995562311e-01,5.8949000107977115e-03,2.5855822409209223e-01,2.3505686920512592e-01,1.1383720156825362e-01,3.0887773194181574e-02,1.2887892924411028e-03,1.2887876196536511e-03,1.2887869562631402e-03
transverse_Tx,Tx_h_in_plus_plus_h_in_minus_over_sqrt2,user_frame_independent,s,2.0655210239999995e+01,qOut,2.9999999999999999e-01,2.0655210239999995e+01,4.5448003520506806e+00,2.1756034047873034e+00,2.0070665971092763e+00,2.9999999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.0087972679678296e+01,8.8357407715694158e-01,-8.7379243249322673e+00,1.1120699448281335e-02,4.1459917963361714e-03,2.2091060949522152e+00,5.7734631238012990e-01,4.0321974389909840e+00,2.0160987194954911e+00,4.9999999999999989e-01,True,1,1,2.3083521357994793e-01,1.0457865527018913e-01,5.6912110162265746e-03,2.5573437412906358e-01,2.3344327742264390e-01,1.1021598891277531e-01,2.9700827534822324e-02,1.1784791445626254e-03,1.1784780624940828e-03,1.1784791910687366e-03
transverse_Tx,Tx_h_in_plus_plus_h_in_minus_over_sqrt2,user_frame_independent,s,2.1946160879999997e+01,qOut,2.9999999999999999e-01,2.1946160879999997e+01,4.6846729747123224e+00,2.2484298257012960e+00,2.0807521844140568e+00,2.9999999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.0753498756644710e+01,8.8703706145586314e-01,-9.3613002300028629e+00,9.7745897466949769e-03,3.4714252594161884e-03,2.2492871405014645e+00,5.7546565762786428e-01,3.0790184609940505e+00,1.5395092304970253e+00,4.9999999999999983e-01,True,1,1,2.2928381374880788e-01,1.0157096458960406e-01,5.4978981227105043e-03,2.5292204911669597e-01,2.3169619972173233e-01,1.0690519317594097e-01,2.8593781672323692e-02,1.0818348345277458e-03,1.0818348345271549e-03,1.0818325965549498e-03
transverse_Tx,Tx_h_in_plus_plus_h_in_minus_over_sqrt2,user_frame_independent,s,2.3237111519999996e+01,qOut,2.9999999999999999e-01,2.3237111519999996e+01,4.8204887221110670e+00,2.3189834899363619e+00,2.1520722128141747e+00,2.9999999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.1418438811976714e+01,8.9018758166121803e-01,-9.9854145818759648e+00,8.6475838366734965e-03,2.9326328483555209e-03,2.2884082233478882e+00,5.7372856606246880e-01,2.3840903356427341e+00,1.1920451678213668e+00,4.9999999999999983e-01,True,1,1,2.2761972268847708e-01,9.8806385412905165e-02,5.3150316889006514e-03,2.5014027262898175e-01,2.2986017862879937e-01,1.0386367734521340e-01,2.7560756086199189e-02,9.9671603575855403e-04,9.9671400063032945e-04,9.9671211145302007e-04
transverse_Tx,Tx_h_in_plus_plus_h_in_minus_over_sqrt2,user_frame_independent,s,2.4528062159999998e+01,qOut,2.9999999999999999e-01,2.4528062159999998e+01,4.9525813632892497e+00,2.3874638724051245e+00,2.2212409476235768e+00,2.9999999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.2082839084930187e+01,8.9307075451908147e-01,-1.0610196190282775e+01,7.6954718025769604e-03,2.4973858260244094e-03,2.3265478138704756e+00,5.7211679997461007e-01,1.8691965988487662e+00,9.3459829942438288e-01,4.9999999999999989e-01,True,1,1,2.2587687052745015e-01,9.6253851113236727e-02,5.1422730602118261e-03,2.4739949027693481e-01,2.2796522830126001e-01,1.0105735654813623e-01,2.6595539624676486e-02,9.2134329588354665e-04,9.2134170294534017e-04,9.2134248614221038e-04
transverse_Tx,Tx_h_in_plus_plus_h_in_minus_over_sqrt2,user_frame_independent,s,2.5819012799999996e+01,qOut,2.9999999999999999e-01,2.5819012799999996e+01,5.0812412656751498e+00,2.4540429686412759e+00,2.2884421503451335e+00,2.9999999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.2746740279672110e+01,8.9572303034623701e-01,-1.1235584697023736e+01,6.8842768873858115e-03,2.1421897800260521e-03,2.3637753094517331e+00,5.7061531213196826e-01,1.4820262486106746e+00,7.4101312430533717e-01,5.0000000000000000e-01,True,1,1,2.2409132814751634e-01,9.3887558287968312e-02,4.9794259551557947e-03,2.4471648703273546e-01,2.2604441859347246e-01,9.8458259665784920e-02,2.5693646090490262e-02,8.5436207344848775e-04,8.5436114350027393e-04,8.5436061229560341e-04
transverse_Tx,Tx_h_in_plus_plus_h_in_minus_over_sqrt2,user_frame_independent,s,1.5491407679999998e+01,qOut,4.5624999999999999e-01,1.5491407679999998e+01,3.9359125600043505e+00,1.8561849961402406e+00,1.5787096045608233e+00,4.5624999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,7.7326424865096959e+00,8.2189507721188892e-01,-5.8785123532048580e+00,2.2532175892602108e-02,1.0941212184851343e-02,2.5555100688123584e+00,6.4389470979070840e-01,7.0908241090476736e+00,3.5454120545238359e+00,4.9999999999999989e-01,True,1,1,2.3004500959226853e-01,1.7866887037241122e-01,9.7403341853538484e-03,2.9863973344026379e-01,2.3949529724944707e-01,1.9068261044472953e-01,5.2667428350461197e-02,4.3424187108113965e-03,4.3424168562517101e-03,4.3424185758206141e-03
