detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,selected_purity,pair_delta_xy,kinematic_point,incoming_state,initial_component,ensemble_weight,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,weighted_abs2,fraction,decomposition_rank,retained_fraction_total
c_p_gamma_low_egamma_ltx_region_0,egamma_region_max,C_p_gamma,C_{p\gamma},lepton_heavy_L_proton_Tx,low_Egamma_lepton_heavy_L_proton_Tx_region_0,0,9.9998334363020547e-01,1.0000000000000000e+00,0.0000000000000000e+00,high_s_high_theta_in_low_Egamma,"$|L_{\ell}\rangle\otimes|T_{x,p}\rangle$","electron L, proton Tx",1.0000000000000000e+00,5,1,-1,1,-2.7376212097091745e-03,-4.7610983884492462e+01,4.7610983963198770e+01,-1.5708538265771597e+00,2.2668057939439705e+03,2.2668057939439705e+03,5.0288584394663360e-01,1,9.9999999343312818e-01
c_p_gamma_low_egamma_ltx_region_0,egamma_region_max,C_p_gamma,C_{p\gamma},lepton_heavy_L_proton_Tx,low_Egamma_lepton_heavy_L_proton_Tx_region_0,0,9.9998334363020547e-01,1.0000000000000000e+00,0.0000000000000000e+00,high_s_high_theta_in_low_Egamma,"$|L_{\ell}\rangle\otimes|T_{x,p}\rangle$","electron L, proton Tx",1.0000000000000000e+00,6,1,1,-1,-2.7618288602369516e-03,-4.7336976290514329e+01,4.7336976371082415e+01,-1.5708546708014963e+00,2.2407893319564150e+03,2.2407893319564150e+03,4.9711414948649457e-01,2,9.9999999343312818e-01
c_p_gamma_low_egamma_ltx_region_1,egamma_region_max,C_p_gamma,C_{p\gamma},lepton_heavy_L_proton_Tx,low_Egamma_lepton_heavy_L_proton_Tx_region_1,1,9.9286252205666681e-01,9.9999999999999978e-01,3.1415926535897931e+00,high_s_high_theta_in_low_Egamma,"$|L_{\ell}\rangle\otimes|T_{x,p}\rangle$","electron L, proton Tx",1.0000000000000000e+00,7,1,1,1,-2.4174824739672957e+01,-9.6971654855570455e+02,9.7001783833802870e+02,-1.5957209488110384e+00,9.4093460669398203e+05,9.4093460669398203e+05,5.5926874750444067e-01,1,9.9935602928351275e-01
c_p_gamma_low_egamma_ltx_region_1,egamma_region_max,C_p_gamma,C_{p\gamma},lepton_heavy_L_proton_Tx,low_Egamma_lepton_heavy_L_proton_Tx_region_1,1,9.9286252205666681e-01,9.9999999999999978e-01,3.1415926535897931e+00,high_s_high_theta_in_low_Egamma,"$|L_{\ell}\rangle\otimes|T_{x,p}\rangle$","electron L, proton Tx",1.0000000000000000e+00,4,1,-1,-1,-2.1459154961250512e+01,-8.6020856009222427e+02,8.6047618339358394e+02,-1.5957376097469804e+00,7.4041926218758873e+05,7.4041926218758873e+05,4.4008728177907208e-01,2,9.9935602928351275e-01
c_p_gamma_low_egamma_ltx_region_2,egamma_region_max,C_p_gamma,C_{p\gamma},lepton_heavy_L_proton_Tx,low_Egamma_lepton_heavy_L_proton_Tx_region_2,2,9.1363829526042195e-01,1.0000000000000000e+00,1.3744467859455343e+00,high_s_high_theta_in_low_Egamma,"$|L_{\ell}\rangle\otimes|T_{x,p}\rangle$","electron L, proton Tx",1.0000000000000000e+00,6,1,1,-1,-5.7765745970996658e+00,-9.3711468382912699e+01,9.3889339759940285e+01,-1.6323605602292488e+00,8.8152081205575032e+03,8.8152081205575032e+03,6.5369680406755526e-01,1,9.9038319000536956e-01
c_p_gamma_low_egamma_ltx_region_2,egamma_region_max,C_p_gamma,C_{p\gamma},lepton_heavy_L_proton_Tx,low_Egamma_lepton_heavy_L_proton_Tx_region_2,2,9.1363829526042195e-01,1.0000000000000000e+00,1.3744467859455343e+00,high_s_high_theta_in_low_Egamma,"$|L_{\ell}\rangle\otimes|T_{x,p}\rangle$","electron L, proton Tx",1.0000000000000000e+00,5,1,-1,1,-3.8776724229139417e+00,-6.2836142720319913e+01,6.2955676276153532e+01,-1.6324290291780199e+00,3.9634171753878409e+03,3.9634171753878409e+03,2.9390946932897066e-01,2,9.9038319000536956e-01
c_p_gamma_low_egamma_ltx_region_2,egamma_region_max,C_p_gamma,C_{p\gamma},lepton_heavy_L_proton_Tx,low_Egamma_lepton_heavy_L_proton_Tx_region_2,2,9.1363829526042195e-01,1.0000000000000000e+00,1.3744467859455343e+00,high_s_high_theta_in_low_Egamma,"$|L_{\ell}\rangle\otimes|T_{x,p}\rangle$","electron L, proton Tx",1.0000000000000000e+00,4,1,-1,-1,-1.4891727678185722e+00,-2.3971567916616127e+01,2.4017778912991766e+01,-1.6328390569456341e+00,5.7685370391335186e+02,5.7685370391335186e+02,4.2776916608843675e-02,3,9.9038319000536956e-01
c_p_gamma_low_egamma_ltx_region_3,egamma_region_max,C_p_gamma,C_{p\gamma},lepton_heavy_L_proton_Tx,low_Egamma_lepton_heavy_L_proton_Tx_region_3,3,8.6486321251013032e-01,1.0000000000000000e+00,1.3744467859455345e+00,high_s_high_theta_in_low_Egamma,"$|L_{\ell}\rangle\otimes|T_{x,p}\rangle$","electron L, proton Tx",1.0000000000000000e+00,5,1,-1,1,5.4619512133244195e+00,-8.8997699775564556e+01,8.9165147206732399e+01,-1.5095013809541766e+00,7.9504234763982586e+03,7.9504234763982586e+03,7.1172820012652749e-01,1,9.9720080299714975e-01
c_p_gamma_low_egamma_ltx_region_3,egamma_region_max,C_p_gamma,C_{p\gamma},lepton_heavy_L_proton_Tx,low_Egamma_lepton_heavy_L_proton_Tx_region_3,3,8.6486321251013032e-01,1.0000000000000000e+00,1.3744467859455345e+00,high_s_high_theta_in_low_Egamma,"$|L_{\ell}\rangle\otimes|T_{x,p}\rangle$","electron L, proton Tx",1.0000000000000000e+00,6,1,1,-1,3.1053929003219083e+00,-5.0676694336234789e+01,5.0771752125700182e+01,-1.5095943344582605e+00,2.5777708139135411e+03,2.5777708139135411e+03,2.3076408284059491e-01,2,9.9720080299714975e-01
c_p_gamma_low_egamma_ltx_region_3,egamma_region_max,C_p_gamma,C_{p\gamma},lepton_heavy_L_proton_Tx,low_Egamma_lepton_heavy_L_proton_Tx_region_3,3,8.6486321251013032e-01,1.0000000000000000e+00,1.3744467859455345e+00,high_s_high_theta_in_low_Egamma,"$|L_{\ell}\rangle\otimes|T_{x,p}\rangle$","electron L, proton Tx",1.0000000000000000e+00,4,1,-1,-1,-1.1872253303434646e+00,1.9062885245380389e+01,1.9099819314945115e+01,1.6329954065120078e+00,3.6480309786355048e+02,3.6480309786355048e+02,3.2657461959577277e-02,3,9.9720080299714975e-01
c_p_gamma_low_egamma_ltx_region_3,egamma_region_max,C_p_gamma,C_{p\gamma},lepton_heavy_L_proton_Tx,low_Egamma_lepton_heavy_L_proton_Tx_region_3,3,8.6486321251013032e-01,1.0000000000000000e+00,1.3744467859455345e+00,high_s_high_theta_in_low_Egamma,"$|L_{\ell}\rangle\otimes|T_{x,p}\rangle$","electron L, proton Tx",1.0000000000000000e+00,7,1,1,1,9.4838886407009859e-01,-1.5666010141167517e+01,1.5694690668524043e+01,-1.5103321224988822e+00,2.4632331518065567e+02,2.4632331518065567e+02,2.2051058070450054e-02,4,9.9720080299714975e-01
c_p_gamma_mid_egamma_ltx_region_0,egamma_region_max,C_p_gamma,C_{p\gamma},lepton_heavy_L_proton_Tx,mid_Egamma_lepton_heavy_L_proton_Tx_region_0,0,9.9965910857038165e-01,9.9999999999999933e-01,1.9634954084936207e-01,high_s_high_theta_in_mid_Egamma,"$|L_{\ell}\rangle\otimes|T_{x,p}\rangle$","electron L, proton Tx",1.0000000000000000e+00,5,1,-1,1,-2.2384816888495590e-01,-4.6128510509822886e+00,4.6182792056415947e+00,-1.6192853637545248e+00,2.1328502821261559e+01,2.1328502821261559e+01,5.1033525403656865e-01,1,9.9973405716894381e-01
c_p_gamma_mid_egamma_ltx_region_0,egamma_region_max,C_p_gamma,C_{p\gamma},lepton_heavy_L_proton_Tx,mid_Egamma_lepton_heavy_L_proton_Tx_region_0,0,9.9965910857038165e-01,9.9999999999999933e-01,1.9634954084936207e-01,high_s_high_theta_in_mid_Egamma,"$|L_{\ell}\rangle\otimes|T_{x,p}\rangle$","electron L, proton Tx",1.0000000000000000e+00,6,1,1,-1,-2.1921034575301518e-01,-4.5172392041913536e+00,4.5225549420176741e+00,-1.6192857922395785e+00,2.0453503203568488e+01,2.0453503203568488e+01,4.8939880313237516e-01,2,9.9973405716894381e-01
c_p_gamma_mid_egamma_ltx_region_1,egamma_region_max,C_p_gamma,C_{p\gamma},lepton_heavy_L_proton_Tx,mid_Egamma_lepton_heavy_L_proton_Tx_region_1,1,9.8465430219875572e-01,1.0000000000000004e+00,1.1780972450961724e+00,high_s_high_theta_in_mid_Egamma,"$|L_{\ell}\rangle\otimes|T_{x,p}\rangle$","electron L, proton Tx",1.0000000000000000e+00,5,1,-1,1,9.7932003737144768e-01,-6.2727439835811278e+00,6.3487309613142733e+00,-1.4159234939057763e+00,4.0306384819150459e+01,4.0306384819150459e+01,4.4955033518820875e-01,1,9.9708413897258907e-01
c_p_gamma_mid_egamma_ltx_region_1,egamma_region_max,C_p_gamma,C_{p\gamma},lepton_heavy_L_proton_Tx,mid_Egamma_lepton_heavy_L_proton_Tx_region_1,1,9.8465430219875572e-01,1.0000000000000004e+00,1.1780972450961724e+00,high_s_high_theta_in_mid_Egamma,"$|L_{\ell}\rangle\otimes|T_{x,p}\rangle$","electron L, proton Tx",1.0000000000000000e+00,6,1,1,-1,1.5435907099838475e+00,-5.7458857808809052e+00,5.9496113895680454e+00,-1.3083499284711846e+00,3.5397875686877811e+01,3.5397875686877811e+01,3.9480412225970174e-01,2,9.9708413897258907e-01
c_p_gamma_mid_egamma_ltx_region_1,egamma_region_max,C_p_gamma,C_{p\gamma},lepton_heavy_L_proton_Tx,mid_Egamma_lepton_heavy_L_proton_Tx_region_1,1,9.8465430219875572e-01,1.0000000000000004e+00,1.1780972450961724e+00,high_s_high_theta_in_mid_Egamma,"$|L_{\ell}\rangle\otimes|T_{x,p}\rangle$","electron L, proton Tx",1.0000000000000000e+00,7,1,1,1,-5.1397345041128661e-01,3.0498851673277412e+00,3.0928899498064015e+00,1.7377498723786997e+00,9.5659682416134455e+00,9.5659682416134455e+00,1.0669238257691313e-01,3,9.9708413897258907e-01
c_p_gamma_mid_egamma_ltx_region_1,egamma_region_max,C_p_gamma,C_{p\gamma},lepton_heavy_L_proton_Tx,mid_Egamma_lepton_heavy_L_proton_Tx_region_1,1,9.8465430219875572e-01,1.0000000000000004e+00,1.1780972450961724e+00,high_s_high_theta_in_mid_Egamma,"$|L_{\ell}\rangle\otimes|T_{x,p}\rangle$","electron L, proton Tx",1.0000000000000000e+00,4,1,-1,-1,5.2995596761064456e-01,-1.9613312710218194e+00,2.0316677096154772e+00,-1.3068960677090027e+00,4.1276736822941986e+00,4.1276736822941986e+00,4.6037298947765454e-02,4,9.9708413897258907e-01
