detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,selected_purity,pair_delta_xy,kinematic_point,incoming_state,initial_component,ensemble_weight,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,weighted_abs2,fraction,decomposition_rank,retained_fraction_total
c_e_gamma_L_electron_region_3,enhanced_cluster,C_e_gamma,C_{e\gamma},L_electron,enhanced_region_3,3,1.9873123097836280e-02,8.7375790675161602e-01,2.0999278451297521e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_e,h_p)$","electron L, proton h=-1",5.0000000000000000e-01,1,-1,-1,1,9.8149976294831500e+00,8.3288672776547173e+01,8.3864993837390287e+01,1.4534941953205363e+00,7.0333371913455112e+03,3.5166685956727556e+03,8.8158503292984225e-01,1,9.9894391662192994e-01
c_e_gamma_L_electron_region_3,enhanced_cluster,C_e_gamma,C_{e\gamma},L_electron,enhanced_region_3,3,1.9873123097836280e-02,8.7375790675161602e-01,2.0999278451297521e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_e,h_p)$","electron L, proton h=+1",5.0000000000000000e-01,3,-1,1,1,-2.0396743919431994e+01,-3.6531459610765205e+00,2.0721308788969285e+01,-2.9643673733188924e+00,4.2937263792781573e+02,2.1468631896390787e+02,5.3819187229149801e-02,2,9.9894391662192994e-01
c_e_gamma_L_electron_region_3,enhanced_cluster,C_e_gamma,C_{e\gamma},L_electron,enhanced_region_3,3,1.9873123097836280e-02,8.7375790675161602e-01,2.0999278451297521e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_e,h_p)$","electron L, proton h=-1",5.0000000000000000e-01,3,-1,1,1,-1.9640893716723458e+00,-1.6666892735692016e+01,1.6782221561014488e+01,-1.6880990865652232e+00,2.8164296052297954e+02,1.4082148026148977e+02,3.5302191814808995e-02,3,9.9894391662192994e-01
c_e_gamma_L_electron_region_3,enhanced_cluster,C_e_gamma,C_{e\gamma},L_electron,enhanced_region_3,3,1.9873123097836280e-02,8.7375790675161602e-01,2.0999278451297521e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_e,h_p)$","electron L, proton h=+1",5.0000000000000000e-01,1,-1,-1,1,-1.4774256187146523e+01,-2.6460962433815376e+00,1.5009346128751751e+01,-2.9643698389869848e+00,2.2528047121267520e+02,1.1264023560633760e+02,2.8237504648128887e-02,4,9.9894391662192994e-01
c_e_gamma_low_egamma_l_electron_region_0,egamma_region_max,C_e_gamma,C_{e\gamma},L_electron,low_Egamma_L_electron_region_0,0,4.2925082540178801e-02,5.0003187132202498e-01,1.2657444085644620e-01,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_e,h_p)$","electron L, proton h=-1",5.0000000000000000e-01,1,-1,-1,1,-2.6733594837905344e+04,1.8825777934330308e+06,1.8827675994185095e+06,1.5849958983405779e+00,3.5448138334201372e+12,1.7724069167100686e+12,4.8556075234957541e-01,1,9.6327153624209239e-01
c_e_gamma_low_egamma_l_electron_region_0,egamma_region_max,C_e_gamma,C_{e\gamma},L_electron,low_Egamma_L_electron_region_0,0,4.2925082540178801e-02,5.0003187132202498e-01,1.2657444085644620e-01,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_e,h_p)$","electron L, proton h=+1",5.0000000000000000e-01,3,-1,1,1,1.5663808452616743e+05,1.8609056966821696e+06,1.8674864126595883e+06,1.4868212401910861e+00,3.4875055014681782e+12,1.7437527507340891e+12,4.7771078389251698e-01,2,9.6327153624209239e-01
c_e_gamma_low_egamma_l_electron_region_1,egamma_region_max,C_e_gamma,C_{e\gamma},L_electron,low_Egamma_L_electron_region_1,1,3.7662121928424941e-02,5.5275561896812675e-01,1.0961885504316919e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_e,h_p)$","electron L, proton h=-1",5.0000000000000000e-01,1,-1,-1,1,1.8545480729414311e+02,1.7379574163302780e+03,1.7478242092744690e+03,1.4644901136950059e+00,3.0548894665259230e+06,1.5274447332629615e+06,5.3377463132222791e-01,1,9.9894230250729610e-01
c_e_gamma_low_egamma_l_electron_region_1,egamma_region_max,C_e_gamma,C_{e\gamma},L_electron,low_Egamma_L_electron_region_1,1,3.7662121928424941e-02,5.5275561896812675e-01,1.0961885504316919e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_e,h_p)$","electron L, proton h=+1",5.0000000000000000e-01,3,-1,1,1,-8.3456088596295388e+02,8.4824483320653837e+02,1.1899626756503158e+03,2.3480630431154701e+00,1.4160111694408585e+06,7.0800558472042927e+05,2.4741675540097227e-01,2,9.9894230250729610e-01
c_e_gamma_low_egamma_l_electron_region_1,egamma_region_max,C_e_gamma,C_{e\gamma},L_electron,low_Egamma_L_electron_region_1,1,3.7662121928424941e-02,5.5275561896812675e-01,1.0961885504316919e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_e,h_p)$","electron L, proton h=-1",5.0000000000000000e-01,3,-1,1,1,-8.4427279801060763e+01,-7.9118304525691917e+02,7.9567491896918477e+02,-1.6771042065939457e+00,6.3309857667661877e+05,3.1654928833830939e+05,1.1062002833788022e-01,3,9.9894230250729610e-01
c_e_gamma_low_egamma_l_electron_region_1,egamma_region_max,C_e_gamma,C_{e\gamma},L_electron,low_Egamma_L_electron_region_1,1,3.7662121928424941e-02,5.5275561896812675e-01,1.0961885504316919e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_e,h_p)$","electron L, proton h=+1",5.0000000000000000e-01,1,-1,-1,1,-5.4916308793433973e+02,5.5816618537618763e+02,7.8302591760872383e+02,2.3480642083644638e+00,6.1312958764698391e+05,3.0656479382349196e+05,1.0713088744621566e-01,4,9.9894230250729610e-01
c_e_gamma_low_egamma_l_electron_region_2,egamma_region_max,C_e_gamma,C_{e\gamma},L_electron,low_Egamma_L_electron_region_2,2,3.5733105842413834e-02,5.9692009136662616e-01,1.3172095573452203e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_e,h_p)$","electron L, proton h=-1",5.0000000000000000e-01,1,-1,-1,1,-8.6839902978007004e+01,7.2851256852800759e+02,7.3367004249356171e+02,1.6894381654259467e+00,5.3827173125250463e+05,2.6913586562625231e+05,6.0386240009025927e-01,1,9.9894300466572417e-01
c_e_gamma_low_egamma_l_electron_region_2,egamma_region_max,C_e_gamma,C_{e\gamma},L_electron,low_Egamma_L_electron_region_2,2,3.5733105842413834e-02,5.9692009136662616e-01,1.3172095573452203e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_e,h_p)$","electron L, proton h=+1",5.0000000000000000e-01,3,-1,1,1,3.5381719421456683e+02,2.4703436270269194e+02,4.3152356051297323e+02,6.0951536442521748e-01,1.8621258327779366e+05,9.3106291638896830e+04,2.0890336782777597e-01,2,9.9894300466572417e-01
c_e_gamma_low_egamma_l_electron_region_2,egamma_region_max,C_e_gamma,C_{e\gamma},L_electron,low_Egamma_L_electron_region_2,2,3.5733105842413834e-02,5.9692009136662616e-01,1.3172095573452203e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_e,h_p)$","electron L, proton h=-1",5.0000000000000000e-01,3,-1,1,1,-3.4555512059630644e+01,2.8988795141254047e+02,2.9194024694766341e+02,1.6894394879671284e+00,8.5229107787862697e+04,4.2614553893931348e+04,9.5614632160920657e-02,3,9.9894300466572417e-01
c_e_gamma_low_egamma_l_electron_region_2,egamma_region_max,C_e_gamma,C_{e\gamma},L_electron,low_Egamma_L_electron_region_2,2,3.5733105842413834e-02,5.9692009136662616e-01,1.3172095573452203e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_e,h_p)$","electron L, proton h=+1",5.0000000000000000e-01,1,-1,-1,1,-2.3295972864535730e+02,-1.6265174158624765e+02,2.8412290335620253e+02,-2.5320779029951113e+00,8.0725824211558007e+04,4.0362912105779003e+04,9.0562604586768278e-02,4,9.9894300466572417e-01
c_e_gamma_low_egamma_l_electron_region_3,egamma_region_max,C_e_gamma,C_{e\gamma},L_electron,low_Egamma_L_electron_region_3,3,1.9873123097836280e-02,8.7375790675161602e-01,2.0999278451297521e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_e,h_p)$","electron L, proton h=-1",5.0000000000000000e-01,1,-1,-1,1,9.8149976294831500e+00,8.3288672776547173e+01,8.3864993837390287e+01,1.4534941953205363e+00,7.0333371913455112e+03,3.5166685956727556e+03,8.8158503292984225e-01,1,9.9894391662192994e-01
